system	atom	index	radius_A	delta_N	delta_m	delta_up	delta_down	sampled_volume_A3
pristine	Co(act)	21	0.6	0.013980656085432898	0.11677860988701973	0.06537963298622632	-0.05139897690079341	0.8989630621089973
pristine	Co(act)	21	0.7	0.016931747469087172	0.14250790058599003	0.0797198240275386	-0.06278807655845142	1.4540275031427408
pristine	Co(act)	21	0.8	0.018389989172505346	0.15837351807461186	0.0883817536235586	-0.06999176445105326	2.14785805443492
pristine	Oads	347	0.6	-0.1252819034816355	0.7527419327366337	0.3137300146274991	-0.4390119181091346	0.9170629895340108
pristine	Oads	347	0.7	-0.19740665593806564	0.890440744569162	0.3465170443155482	-0.5439237002536138	1.4419608848593986
pristine	Oads	347	0.8	-0.29730481916972024	1.003389095763456	0.3530421382968678	-0.6503469574665881	2.1579135696710385
pristine	Obridge	258	0.6	0.0006477400377868088	0.00493048461695516	0.0027891123273709843	-0.002141372289584176	0.89494085601455
pristine	Obridge	258	0.7	0.001103336035376998	0.00582830435288964	0.003465820194133319	-0.002362484158756321	1.4399497818121747
pristine	Obridge	258	0.8	0.0016787793230322865	0.00649191318159382	0.004085346252313053	-0.0024065669292807667	2.151880260529367
pristine	Co(adj)	23	0.6	0.00014528030863515567	0.0011894469790608092	0.0006673636438479824	-0.0005220833352128268	0.9049963712506685
pristine	Co(adj)	23	0.7	0.0002658152371562055	0.0013959452178647625	0.000830880227510484	-0.0005650649903542785	1.43190536962328
pristine	Co(adj)	23	0.8	0.00034251994816744474	0.0015911838668075545	0.0009668519074874996	-0.0006243319593200549	2.1357914361515777
Al16	Co(act)	16	0.6	0.007290354118105924	-0.0172135749252445	-0.004961610403569289	0.012251964521675212	0.8989630621089973
Al16	Co(act)	16	0.7	0.011017277620356595	-0.023096690541724422	-0.0060397064606839135	0.01705698408104051	1.4540275031427408
Al16	Co(act)	16	0.8	0.013909803562464846	-0.026820586874890112	-0.006455391656212633	0.020365195218677478	2.14785805443492
Al16	Oads	347	0.6	-0.11581522017930419	0.5261616725810268	0.2051732262008613	-0.3209884463801655	0.9170629895340108
Al16	Oads	347	0.7	-0.18204040913971634	0.6240303643087395	0.2209949775845116	-0.4030353867242279	1.4419608848593986
Al16	Oads	347	0.8	-0.27464246096225203	0.7053596766104936	0.21535860782412078	-0.49000106878637284	2.1579135696710385
Al16	Obridge	258	0.6	0.0003076881866497187	-0.002284704672400387	-0.0009885082428753341	0.0012961964295250528	0.89494085601455
Al16	Obridge	258	0.7	0.00042338052992305574	-0.002688044217215985	-0.0011323318436464646	0.0015557123735695203	1.4399497818121747
Al16	Obridge	258	0.8	0.0005545395988033573	-0.002923828361187418	-0.0011846443811920303	0.0017391839799953876	2.151880260529367
Al16	Al	51	0.6	1.2977983478397846e-05	-6.107338171428463e-06	3.4353226534846916e-06	9.542660824913154e-06	0.9049963712506685
Al16	Al	51	0.7	2.5922185886091327e-05	-1.2062120901273565e-05	6.930032492408881e-06	1.8992153393682444e-05	1.43190536962328
Al16	Al	51	0.8	4.4436820624300236e-05	-2.1960377380605328e-05	1.1238221621847454e-05	3.3198599002452785e-05	2.1357914361515777
