dataset	system	transition	map_type	source_path	source_file	size_bytes	sha256
density	pristine	*O-*OH_at_*OH_geometry	charge_density	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\undoped_control_O_minus_OH_charge_ds2.raw	undoped_control_O_minus_OH_charge_ds2.raw	24696108	3bbf4b37870f03218e651b24066b73243cd336fa1c976d17398bf83d25335e91
density	pristine	*O-*OH_at_*OH_geometry	magnetization	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\undoped_control_O_minus_OH_spin_ds2.raw	undoped_control_O_minus_OH_spin_ds2.raw	24696108	4a4ec1c674cd3586b58778ca7c55c50cf667a79fac0d2d1dfbb9ef2b3081a951
structure	pristine	*O-*OH_at_*OH_geometry	structure	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\undoped_control_O_at_OHgeom_POSCAR	undoped_control_O_at_OHgeom_POSCAR	21491	113fe43090c7a6e30b8822cb6e70d7c2f2969c3fa97efdfb457864adbd0d2740
metadata	pristine	*O-*OH_at_*OH_geometry	charge_stats	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\undoped_control_O_minus_OH_charge_ds2.stats	undoped_control_O_minus_OH_charge_ds2.stats	192	45a6348b402eaa825f2772326a02dd1716a136493d1480c624a4d5feb0c18014
metadata	pristine	*O-*OH_at_*OH_geometry	spin_stats	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\undoped_control_O_minus_OH_spin_ds2.stats	undoped_control_O_minus_OH_spin_ds2.stats	210	832c686f895b1532d8b4595a20bbbd55128d4f0cb7229ece8815ec71f79682cd
density	Al16	*O-*OH_at_*OH_geometry	charge_density	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\Al16_adjacent_O_minus_OH_charge_ds2.raw	Al16_adjacent_O_minus_OH_charge_ds2.raw	24696108	594719a7e28f5fa36880a640caf3e5198f6c521fa3201067d94a8a386766b17c
density	Al16	*O-*OH_at_*OH_geometry	magnetization	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\Al16_adjacent_O_minus_OH_spin_ds2.raw	Al16_adjacent_O_minus_OH_spin_ds2.raw	24696108	7f255d2b7c93a57fb02ae6567a999b46a86fefa5c3dcb4f35bdccfb14ed69b67
structure	Al16	*O-*OH_at_*OH_geometry	structure	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\Al16_adjacent_O_at_OHgeom_POSCAR	Al16_adjacent_O_at_OHgeom_POSCAR	21500	507591c205eab933711b4e8c2ae08b9445d4b3f42be4feede79404e1e7203a9a
metadata	Al16	*O-*OH_at_*OH_geometry	charge_stats	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\Al16_adjacent_O_minus_OH_charge_ds2.stats	Al16_adjacent_O_minus_OH_charge_ds2.stats	193	cef28297ee5c9c0b22b556a69dfaf5465920d90bc89e673411780e4872376f80
metadata	Al16	*O-*OH_at_*OH_geometry	spin_stats	E:\Codex project\projection 6\artifacts\reaction_density_final_20260901\Al16_adjacent_O_minus_OH_spin_ds2.stats	Al16_adjacent_O_minus_OH_spin_ds2.stats	211	4770e8db63bc12112cc9a32a635a494cfafac4cc10ffa42934ae7dc1a468d821

