system	state	pair_role	atom1_index	atom2_index	distance_A	energy_eV_rel_EF	spin	pCOHP_raw	minus_pCOHP	source_file
Al16	*OH	Coact-Oads	16	348	1.875883	-15.03759	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-15.03759	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-15.03759	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-15.03759	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-15.03759	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-15.03759	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.98747	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.98747	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.98747	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.98747	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.98747	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.98747	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.93734	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.93734	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.93734	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.93734	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.93734	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.93734	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.88722	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.88722	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.88722	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.88722	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.88722	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.88722	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.83709	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Oads	16	348	1.875883	-14.83709	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.83709	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	Coact-Obridge	16	259	2.069958	-14.83709	down	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
Al16	*OH	neighbor-Obridge	51	259	2.112332	-14.83709	up	0	-0	source_manifest:COHP/PDOS/Al16/*OH/COHPCAR.lobster
