system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
Al16	*O	-7.95883	up	TDOS	0	all	total	42.24	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	down	TDOS	0	all	total	15.97	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	up	TDOS	0	all	total	50.31	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	down	TDOS	0	all	total	23.85	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.73783	up	TDOS	0	all	total	67.02	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.73783	down	TDOS	0	all	total	29.89	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.62783	up	TDOS	0	all	total	82.79	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.62783	down	TDOS	0	all	total	32.2	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.51683	up	TDOS	0	all	total	86.13	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.51683	down	TDOS	0	all	total	33.7	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.40583	up	TDOS	0	all	total	84.63	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.40583	down	TDOS	0	all	total	37.25	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.29583	up	TDOS	0	all	total	88.1	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.29583	down	TDOS	0	all	total	41.89	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.18483	up	TDOS	0	all	total	89.91	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.18483	down	TDOS	0	all	total	43.36	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.07483	up	TDOS	0	all	total	81.74	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.07483	down	TDOS	0	all	total	41.77	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.96383	up	TDOS	0	all	total	70.87	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.96383	down	TDOS	0	all	total	43.36	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.85383	up	TDOS	0	all	total	67.38	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.85383	down	TDOS	0	all	total	50.83	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.74283	up	TDOS	0	all	total	64.33	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.74283	down	TDOS	0	all	total	55.07	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.63283	up	TDOS	0	all	total	58.69	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.63283	down	TDOS	0	all	total	53.94	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.52183	up	TDOS	0	all	total	55.64	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.52183	down	TDOS	0	all	total	51.5	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.41083	up	TDOS	0	all	total	55.33	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.41083	down	TDOS	0	all	total	47.29	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.30083	up	TDOS	0	all	total	58.6	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.30083	down	TDOS	0	all	total	45.02	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.18983	up	TDOS	0	all	total	65.29	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.18983	down	TDOS	0	all	total	46.23	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.07983	up	TDOS	0	all	total	76.04	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-6.07983	down	TDOS	0	all	total	49.59	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.96883	up	TDOS	0	all	total	90.42	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.96883	down	TDOS	0	all	total	50.81	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.85883	up	TDOS	0	all	total	96.43	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.85883	down	TDOS	0	all	total	50.58	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.74783	up	TDOS	0	all	total	89.9	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.74783	down	TDOS	0	all	total	53.52	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.63783	up	TDOS	0	all	total	84.15	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.63783	down	TDOS	0	all	total	56.76	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.52683	up	TDOS	0	all	total	84.49	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.52683	down	TDOS	0	all	total	56.91	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.41583	up	TDOS	0	all	total	86.1	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.41583	down	TDOS	0	all	total	50.85	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.30583	up	TDOS	0	all	total	86.65	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.30583	down	TDOS	0	all	total	42.51	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.19483	up	TDOS	0	all	total	87.73	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.19483	down	TDOS	0	all	total	44.31	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.08483	up	TDOS	0	all	total	91.14	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-5.08483	down	TDOS	0	all	total	50.87	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.97383	up	TDOS	0	all	total	94.03	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.97383	down	TDOS	0	all	total	49.29	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.86383	up	TDOS	0	all	total	94.34	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.86383	down	TDOS	0	all	total	45.45	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.75283	up	TDOS	0	all	total	95.12	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.75283	down	TDOS	0	all	total	47.64	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.64283	up	TDOS	0	all	total	96.89	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.64283	down	TDOS	0	all	total	50.57	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.53183	up	TDOS	0	all	total	98.01	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.53183	down	TDOS	0	all	total	54.29	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.42083	up	TDOS	0	all	total	98.77	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.42083	down	TDOS	0	all	total	63.29	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.31083	up	TDOS	0	all	total	99.61	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.31083	down	TDOS	0	all	total	66.12	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.19983	up	TDOS	0	all	total	97.25	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.19983	down	TDOS	0	all	total	60.1	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.08983	up	TDOS	0	all	total	91.35	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-4.08983	down	TDOS	0	all	total	64.45	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.97883	up	TDOS	0	all	total	89.03	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.97883	down	TDOS	0	all	total	80.82	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.86883	up	TDOS	0	all	total	92.88	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.86883	down	TDOS	0	all	total	90.42	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.75783	up	TDOS	0	all	total	96.23	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.75783	down	TDOS	0	all	total	90.64	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.64783	up	TDOS	0	all	total	96.63	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.64783	down	TDOS	0	all	total	91.02	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.53683	up	TDOS	0	all	total	99.97	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.53683	down	TDOS	0	all	total	95.95	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.42583	up	TDOS	0	all	total	106.1	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.42583	down	TDOS	0	all	total	101.3	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.31583	up	TDOS	0	all	total	110.8	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.31583	down	TDOS	0	all	total	100.7	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.20483	up	TDOS	0	all	total	115.4	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.20483	down	TDOS	0	all	total	94.72	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-3.09483	up	TDOS	0	all	total	120.1	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
