system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
Al16	*OH	-7.94016	up	TDOS	0	all	total	43.39	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	down	TDOS	0	all	total	16.63	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.83016	up	TDOS	0	all	total	50.71	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.83016	down	TDOS	0	all	total	24.1	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.72016	up	TDOS	0	all	total	67.66	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.72016	down	TDOS	0	all	total	28.72	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.60916	up	TDOS	0	all	total	84.17	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.60916	down	TDOS	0	all	total	31.73	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.49916	up	TDOS	0	all	total	88.62	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.49916	down	TDOS	0	all	total	34.91	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.38916	up	TDOS	0	all	total	87.91	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.38916	down	TDOS	0	all	total	38.05	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.27816	up	TDOS	0	all	total	89.66	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.27816	down	TDOS	0	all	total	41.83	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.16816	up	TDOS	0	all	total	89.16	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.16816	down	TDOS	0	all	total	43.61	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.05816	up	TDOS	0	all	total	80.97	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.05816	down	TDOS	0	all	total	42.59	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.94816	up	TDOS	0	all	total	71.61	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.94816	down	TDOS	0	all	total	42.97	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.83716	up	TDOS	0	all	total	67.13	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.83716	down	TDOS	0	all	total	49.54	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.72716	up	TDOS	0	all	total	60.99	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.72716	down	TDOS	0	all	total	56.83	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.61716	up	TDOS	0	all	total	54.57	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.61716	down	TDOS	0	all	total	56.78	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-6.50616	up	TDOS	0	all	total	53.45	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
