system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
pristine	*O	-7.91322	up	TDOS	0	all	total	8.351	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.91322	down	TDOS	0	all	total	-0.788	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.80722	up	TDOS	0	all	total	24.61	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.80722	down	TDOS	0	all	total	0.9702	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.70122	up	TDOS	0	all	total	43.07	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.70122	down	TDOS	0	all	total	8.33	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.59622	up	TDOS	0	all	total	51.09	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.59622	down	TDOS	0	all	total	18.47	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.49022	up	TDOS	0	all	total	51.23	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.49022	down	TDOS	0	all	total	23.9	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.38422	up	TDOS	0	all	total	60.77	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.38422	down	TDOS	0	all	total	24.4	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.27822	up	TDOS	0	all	total	83.55	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.27822	down	TDOS	0	all	total	25.39	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.17222	up	TDOS	0	all	total	110.6	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.17222	down	TDOS	0	all	total	28.84	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.06622	up	TDOS	0	all	total	122	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-7.06622	down	TDOS	0	all	total	32.93	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.96022	up	TDOS	0	all	total	113	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.96022	down	TDOS	0	all	total	38.68	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.85422	up	TDOS	0	all	total	108.9	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.85422	down	TDOS	0	all	total	49.62	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.74822	up	TDOS	0	all	total	115.6	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.74822	down	TDOS	0	all	total	64.16	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.64222	up	TDOS	0	all	total	104.3	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.64222	down	TDOS	0	all	total	75.36	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.53622	up	TDOS	0	all	total	69.18	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.53622	down	TDOS	0	all	total	81.33	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.43022	up	TDOS	0	all	total	45.81	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.43022	down	TDOS	0	all	total	85.69	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.32422	up	TDOS	0	all	total	49.17	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.32422	down	TDOS	0	all	total	88.06	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.21822	up	TDOS	0	all	total	59.83	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.21822	down	TDOS	0	all	total	82.58	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.11222	up	TDOS	0	all	total	63.39	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-6.11222	down	TDOS	0	all	total	70.11	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
