dataset	system	state	source_path	source_filename	file_size_bytes	sha256	copied_to_repo	note
COHP/PDOS	Al16	*OH	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/COHPCAR.lobster	COHPCAR.lobster	100614	3391216dbc03282e081706ef05d524d8a25f42ea68445c811b5d88dd1003e5a7	no	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	Al16	*OH	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/ICOHPLIST.lobster	ICOHPLIST.lobster	608	bc298d04246ee747b2dd49001520fa87e6e71ab6ac0a0395b5f4400a6e01e90e	no	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	Al16	*OH	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/lobsterout	lobsterout	2553	41e62db87d85ff799c81c9fac52a32571a27a0b48026e6001d235d75be9ba672	yes	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	Al16	*OH	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/POSCAR.lobster.vasp	POSCAR.lobster.vasp	16926	216cf9b36d8fd0328e40031488212df6afa4682b62d5df26f5a6387adf62870c	yes	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	Al16	*OH	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/lobsterin	lobsterin	285	8a065f7b489d8cf207715dc50e017aa93cea3b3f3ff243132ba45123613b452f	yes	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	Al16	*OH	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/Al16_adjacent/OH/DOSCAR	DOSCAR	23925201	71a6a8f745a32b73e3ee0e2cfc4ce9cf8c4ab41a3de096e365495dd28c7aef11	no	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	pristine	*O	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/COHPCAR.lobster	COHPCAR.lobster	100614	45aa8c5bdd7ead1063a68b95c118bdc0b8f3a17622cf8f91f5a0b8abfb816df4	no	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	pristine	*O	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/ICOHPLIST.lobster	ICOHPLIST.lobster	608	44966c9bdc7f604829303c0c9cacb25a0e0dc5be436222281360aa5e0f7c0cbf	no	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	pristine	*O	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/lobsterout	lobsterout	2503	0e47dd019c48abf5956293916b8668fe408d2bae4af4cb04cfe9cb984a8ee275	yes	server source; compact extraction performed under sync_server_extract_20260913_run2
COHP/PDOS	pristine	*O	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/POSCAR.lobster.vasp	POSCAR.lobster.vasp	16862	b25aef0f84eb3d9afb9d7f4e79765ef607cd1e5583a53215aae5f191923df193	yes	server source; compact extraction performed under sync_server_extract_20260913_run2
