energy_eV_rel_EF,spin,dos,projection,system,state
-5.89663,down,0.078195,Coact d,pristine,*OH
-5.89663,up,0.87045,Coact d,pristine,*OH
-5.79163,down,0.044296999999999996,Coact d,pristine,*OH
-5.79163,up,0.91667,Coact d,pristine,*OH
-5.68563,down,0.0183971,Coact d,pristine,*OH
-5.68563,up,0.4836,Coact d,pristine,*OH
-5.58063,down,0.057652,Coact d,pristine,*OH
-5.58063,up,0.144191,Coact d,pristine,*OH
-5.47463,down,0.237219,Coact d,pristine,*OH
-5.47463,up,0.119132,Coact d,pristine,*OH
-5.36963,down,0.437132,Coact d,pristine,*OH
-5.36963,up,0.19546,Coact d,pristine,*OH
-5.26363,down,0.373573,Coact d,pristine,*OH
-5.26363,up,0.26900999999999997,Coact d,pristine,*OH
-5.15863,down,0.145979,Coact d,pristine,*OH
-5.15863,up,0.30887,Coact d,pristine,*OH
-5.05363,down,0.0350119,Coact d,pristine,*OH
-5.05363,up,0.31449,Coact d,pristine,*OH
-4.94763,down,0.0133342,Coact d,pristine,*OH
-4.94763,up,0.39587,Coact d,pristine,*OH
-4.84263,down,-0.0020071,Coact d,pristine,*OH
-4.84263,up,0.5701499999999999,Coact d,pristine,*OH
-4.73663,down,-0.0057031,Coact d,pristine,*OH
-4.73663,up,0.8038700000000001,Coact d,pristine,*OH
-4.63163,down,0.0146254,Coact d,pristine,*OH
-4.63163,up,1.123,Coact d,pristine,*OH
-4.52563,down,0.065363,Coact d,pristine,*OH
-4.52563,up,1.2617,Coact d,pristine,*OH
-4.42063,down,0.1417,Coact d,pristine,*OH
-4.42063,up,1.055,Coact d,pristine,*OH
-4.31463,down,0.21952,Coact d,pristine,*OH
-4.31463,up,0.87134,Coact d,pristine,*OH
-4.20963,down,0.264224,Coact d,pristine,*OH
-4.20963,up,0.81478,Coact d,pristine,*OH
-4.10363,down,0.27415,Coact d,pristine,*OH
-4.10363,up,0.63802,Coact d,pristine,*OH
-3.99863,down,0.29132,Coact d,pristine,*OH
-3.99863,up,0.40234,Coact d,pristine,*OH
-3.89263,down,0.34973,Coact d,pristine,*OH
-3.89263,up,0.25127,Coact d,pristine,*OH
-3.78763,down,0.46314,Coact d,pristine,*OH
-3.78763,up,0.155783,Coact d,pristine,*OH
-3.68263,down,0.63641,Coact d,pristine,*OH
-3.68263,up,0.102003,Coact d,pristine,*OH
-3.57663,down,0.81548,Coact d,pristine,*OH
-3.57663,up,0.14269500000000002,Coact d,pristine,*OH
-3.47163,down,0.8883,Coact d,pristine,*OH
-3.47163,up,0.24758,Coact d,pristine,*OH
-3.36563,down,0.7270900000000001,Coact d,pristine,*OH
-3.36563,up,0.28228,Coact d,pristine,*OH
-3.26063,down,0.45155,Coact d,pristine,*OH
-3.26063,up,0.215403,Coact d,pristine,*OH
-3.15463,down,0.37468,Coact d,pristine,*OH
-3.15463,up,0.177699,Coact d,pristine,*OH
-3.04963,down,0.57553,Coact d,pristine,*OH
-3.04963,up,0.236517,Coact d,pristine,*OH
-2.94363,down,0.8385199999999999,Coact d,pristine,*OH
-2.94363,up,0.28704999999999997,Coact d,pristine,*OH
-2.83863,down,0.88515,Coact d,pristine,*OH
-2.83863,up,0.238848,Coact d,pristine,*OH
-2.73263,down,0.7145400000000001,Coact d,pristine,*OH
-2.73263,up,0.149287,Coact d,pristine,*OH
-2.62763,down,0.55723,Coact d,pristine,*OH
-2.62763,up,0.10423199999999999,Coact d,pristine,*OH
-2.52163,down,0.47518099999999996,Coact d,pristine,*OH
-2.52163,up,0.11316300000000001,Coact d,pristine,*OH
-2.41663,down,0.424443,Coact d,pristine,*OH
-2.41663,up,0.13433,Coact d,pristine,*OH
-2.31163,down,0.49084,Coact d,pristine,*OH
-2.31163,up,0.13256199999999999,Coact d,pristine,*OH
-2.20563,down,0.74531,Coact d,pristine,*OH
-2.20563,up,0.122947,Coact d,pristine,*OH
-2.10063,down,1.05537,Coact d,pristine,*OH
-2.10063,up,0.143976,Coact d,pristine,*OH
-1.99463,down,1.0884800000000001,Coact d,pristine,*OH
-1.99463,up,0.184686,Coact d,pristine,*OH
-1.88963,down,0.72721,Coact d,pristine,*OH
-1.88963,up,0.19728700000000002,Coact d,pristine,*OH
-1.78363,down,0.31573,Coact d,pristine,*OH
-1.78363,up,0.17379,Coact d,pristine,*OH
-1.67863,down,0.12871353400000002,Coact d,pristine,*OH
-1.67863,up,0.138325,Coact d,pristine,*OH
-1.57263,down,0.08465713999999999,Coact d,pristine,*OH
-1.57263,up,0.10277800000000001,Coact d,pristine,*OH
-1.46763,down,0.051593,Coact d,pristine,*OH
-1.46763,up,0.07417,Coact d,pristine,*OH
-1.36163,down,0.0335865,Coact d,pristine,*OH
-1.36163,up,0.061938,Coact d,pristine,*OH
-1.25663,down,0.0666422,Coact d,pristine,*OH
-1.25663,up,0.065234,Coact d,pristine,*OH
-1.15063,down,0.130917,Coact d,pristine,*OH
-1.15063,up,0.06899,Coact d,pristine,*OH
-1.04563,down,0.191532,Coact d,pristine,*OH
-1.04563,up,0.065809,Coact d,pristine,*OH
-0.94063,down,0.20349,Coact d,pristine,*OH
-0.94063,up,0.077905,Coact d,pristine,*OH
-0.83463,down,0.14051000000000002,Coact d,pristine,*OH
-0.83463,up,0.113053,Coact d,pristine,*OH
-0.72963,down,0.060357999999999995,Coact d,pristine,*OH
-0.72963,up,0.12369100000000001,Coact d,pristine,*OH
-0.62363,down,0.015721,Coact d,pristine,*OH
-0.62363,up,0.087149,Coact d,pristine,*OH
-0.51863,down,0.0012174199999999999,Coact d,pristine,*OH
-0.51863,up,0.04703,Coact d,pristine,*OH
-0.41263,down,-0.0013336,Coact d,pristine,*OH
-0.41263,up,0.054669,Coact d,pristine,*OH
-0.30763,down,-0.00063309,Coact d,pristine,*OH
-0.30763,up,0.165225,Coact d,pristine,*OH
-0.20163,down,0.00169158,Coact d,pristine,*OH
-0.20163,up,0.42115800000000003,Coact d,pristine,*OH
-0.09663,down,0.003971668,Coact d,pristine,*OH
-0.09663,up,0.828318,Coact d,pristine,*OH
0.00937,down,0.0032703,Coact d,pristine,*OH
0.00937,up,1.14976,Coact d,pristine,*OH
0.11437,down,0.0009114090000000001,Coact d,pristine,*OH
0.11437,up,0.92245,Coact d,pristine,*OH
0.22037,down,-0.00016097380000000002,Coact d,pristine,*OH
0.22037,up,0.3246794,Coact d,pristine,*OH
0.32537,down,-0.000143596,Coact d,pristine,*OH
0.32537,up,-0.014481659999999999,Coact d,pristine,*OH
0.43037,down,-3.10681e-05,Coact d,pristine,*OH
0.43037,up,-0.04115592,Coact d,pristine,*OH
0.53637,down,-3.15238e-06,Coact d,pristine,*OH
0.53637,up,-0.008455795,Coact d,pristine,*OH
0.64137,down,-1.7662299999999998e-07,Coact d,pristine,*OH
0.64137,up,0.0009599230000000001,Coact d,pristine,*OH
0.74737,down,-6.394800000000001e-07,Coact d,pristine,*OH
0.74737,up,0.00040684769999999997,Coact d,pristine,*OH
0.85237,down,-2.961e-05,Coact d,pristine,*OH
0.85237,up,-0.0001749811,Coact d,pristine,*OH
0.95837,down,-0.0007823999999999999,Coact d,pristine,*OH
0.95837,up,-0.0001046062,Coact d,pristine,*OH
1.06337,down,-0.0113585,Coact d,pristine,*OH
1.06337,up,-2.0550730000000002e-05,Coact d,pristine,*OH
1.16937,down,-0.085427,Coact d,pristine,*OH
1.16937,up,-1.979552e-06,Coact d,pristine,*OH
1.27437,down,-0.27814,Coact d,pristine,*OH
1.27437,up,-1.0200920000000001e-07,Coact d,pristine,*OH
1.38037,down,0.023755,Coact d,pristine,*OH
1.38037,up,-2.904622e-09,Coact d,pristine,*OH
1.48537,down,2.4044999999999996,Coact d,pristine,*OH
1.48537,up,-4.640007e-11,Coact d,pristine,*OH
1.59137,down,5.7548,Coact d,pristine,*OH
1.59137,up,-4.188576e-13,Coact d,pristine,*OH
1.69637,down,5.4416,Coact d,pristine,*OH
1.69637,up,-2.146744e-15,Coact d,pristine,*OH
1.80137,down,2.1325000000000003,Coact d,pristine,*OH
1.80137,up,-2.0930000000000002e-17,Coact d,pristine,*OH
1.90737,down,0.992794,Coact d,pristine,*OH
1.90737,up,-2.9468e-15,Coact d,pristine,*OH
2.01237,down,1.97204,Coact d,pristine,*OH
2.01237,up,-3.3681999999999997e-13,Coact d,pristine,*OH
2.11837,down,1.82255,Coact d,pristine,*OH
2.11837,up,-2.1752e-11,Coact d,pristine,*OH
2.22337,down,0.582339,Coact d,pristine,*OH
2.22337,up,-7.8815e-10,Coact d,pristine,*OH
2.32937,down,-0.0667627,Coact d,pristine,*OH
2.32937,up,-1.5853e-08,Coact d,pristine,*OH
2.43437,down,-0.094381,Coact d,pristine,*OH
2.43437,up,-1.727e-07,Coact d,pristine,*OH
2.54037,down,-0.080405,Coact d,pristine,*OH
2.54037,up,-9.544100000000002e-07,Coact d,pristine,*OH
2.64537,down,-0.129296,Coact d,pristine,*OH
2.64537,up,-2.0442e-06,Coact d,pristine,*OH
2.75137,down,0.238244,Coact d,pristine,*OH
2.75137,up,2.63236e-06,Coact d,pristine,*OH
2.85637,down,1.5360699999999998,Coact d,pristine,*OH
2.85637,up,2.09455e-05,Coact d,pristine,*OH
2.96237,down,2.5262000000000002,Coact d,pristine,*OH
2.96237,up,4.0705e-05,Coact d,pristine,*OH
-5.89663,down,0.08864,Oads p,pristine,*OH
-5.89663,up,0.098206,Oads p,pristine,*OH
-5.79163,down,0.108496,Oads p,pristine,*OH
-5.79163,up,0.10341900000000001,Oads p,pristine,*OH
-5.68563,down,0.057853999999999996,Oads p,pristine,*OH
-5.68563,up,0.052762199999999995,Oads p,pristine,*OH
-5.58063,down,0.09431899999999999,Oads p,pristine,*OH
-5.58063,up,0.018126,Oads p,pristine,*OH
-5.47463,down,0.5238200000000001,Oads p,pristine,*OH
-5.47463,up,0.034841000000000004,Oads p,pristine,*OH
-5.36963,down,1.08261,Oads p,pristine,*OH
-5.36963,up,0.08732999999999999,Oads p,pristine,*OH
-5.26363,down,0.9601000000000001,Oads p,pristine,*OH
-5.26363,up,0.1567,Oads p,pristine,*OH
-5.15863,down,0.37083,Oads p,pristine,*OH
-5.15863,up,0.18728999999999998,Oads p,pristine,*OH
-5.05363,down,0.073827,Oads p,pristine,*OH
-5.05363,up,0.15866,Oads p,pristine,*OH
-4.94763,down,0.024869000000000002,Oads p,pristine,*OH
-4.94763,up,0.16938999999999999,Oads p,pristine,*OH
-4.84263,down,0.00012770000000000001,Oads p,pristine,*OH
-4.84263,up,0.22531,Oads p,pristine,*OH
-4.73663,down,-0.007871000000000001,Oads p,pristine,*OH
-4.73663,up,0.21285,Oads p,pristine,*OH
-4.63163,down,0.0038509999999999994,Oads p,pristine,*OH
-4.63163,up,0.1784,Oads p,pristine,*OH
-4.52563,down,0.027586,Oads p,pristine,*OH
-4.52563,up,0.22372000000000003,Oads p,pristine,*OH
-4.42063,down,0.04979,Oads p,pristine,*OH
-4.42063,up,0.30246,Oads p,pristine,*OH
-4.31463,down,0.05185,Oads p,pristine,*OH
-4.31463,up,0.35875,Oads p,pristine,*OH
-4.20963,down,0.04769,Oads p,pristine,*OH
-4.20963,up,0.367031,Oads p,pristine,*OH
-4.10363,down,0.083892,Oads p,pristine,*OH
-4.10363,up,0.295967,Oads p,pristine,*OH
-3.99863,down,0.152757,Oads p,pristine,*OH
-3.99863,up,0.1844,Oads p,pristine,*OH
-3.89263,down,0.18047,Oads p,pristine,*OH
-3.89263,up,0.110624,Oads p,pristine,*OH
-3.78763,down,0.16829,Oads p,pristine,*OH
-3.78763,up,0.074104,Oads p,pristine,*OH
-3.68263,down,0.17174,Oads p,pristine,*OH
-3.68263,up,0.05606,Oads p,pristine,*OH
-3.57663,down,0.185614,Oads p,pristine,*OH
-3.57663,up,0.114918,Oads p,pristine,*OH
-3.47163,down,0.177506,Oads p,pristine,*OH
-3.47163,up,0.26239999999999997,Oads p,pristine,*OH
-3.36563,down,0.13691,Oads p,pristine,*OH
-3.36563,up,0.34896,Oads p,pristine,*OH
-3.26063,down,0.10425,Oads p,pristine,*OH
-3.26063,up,0.28047999999999995,Oads p,pristine,*OH
-3.15463,down,0.16624,Oads p,pristine,*OH
-3.15463,up,0.177,Oads p,pristine,*OH
-3.04963,down,0.38761,Oads p,pristine,*OH
-3.04963,up,0.15061,Oads p,pristine,*OH
-2.94363,down,0.65705,Oads p,pristine,*OH
-2.94363,up,0.16864,Oads p,pristine,*OH
-2.83863,down,0.70509,Oads p,pristine,*OH
-2.83863,up,0.16244,Oads p,pristine,*OH
-2.73263,down,0.48397,Oads p,pristine,*OH
-2.73263,up,0.12639,Oads p,pristine,*OH
-2.62763,down,0.24375999999999998,Oads p,pristine,*OH
-2.62763,up,0.09767,Oads p,pristine,*OH
-2.52163,down,0.13949999999999999,Oads p,pristine,*OH
-2.52163,up,0.08853,Oads p,pristine,*OH
-2.41663,down,0.12112,Oads p,pristine,*OH
-2.41663,up,0.09178,Oads p,pristine,*OH
-2.31163,down,0.11747,Oads p,pristine,*OH
-2.31163,up,0.10568,Oads p,pristine,*OH
-2.20563,down,0.11506,Oads p,pristine,*OH
-2.20563,up,0.14375,Oads p,pristine,*OH
-2.10063,down,0.14993,Oads p,pristine,*OH
-2.10063,up,0.25273,Oads p,pristine,*OH
-1.99463,down,0.20062,Oads p,pristine,*OH
-1.99463,up,0.42383,Oads p,pristine,*OH
-1.88963,down,0.18941,Oads p,pristine,*OH
-1.88963,up,0.5307999999999999,Oads p,pristine,*OH
-1.78363,down,0.17449,Oads p,pristine,*OH
-1.78363,up,0.47430000000000005,Oads p,pristine,*OH
-1.67863,down,0.21476,Oads p,pristine,*OH
-1.67863,up,0.2996,Oads p,pristine,*OH
-1.57263,down,0.193099,Oads p,pristine,*OH
-1.57263,up,0.14121999999999998,Oads p,pristine,*OH
-1.46763,down,0.08605,Oads p,pristine,*OH
-1.46763,up,0.070933,Oads p,pristine,*OH
-1.36163,down,0.031742,Oads p,pristine,*OH
-1.36163,up,0.060537999999999995,Oads p,pristine,*OH
-1.25663,down,0.0890795,Oads p,pristine,*OH
-1.25663,up,0.068315,Oads p,pristine,*OH
-1.15063,down,0.221495,Oads p,pristine,*OH
-1.15063,up,0.07328899999999999,Oads p,pristine,*OH
-1.04563,down,0.392588,Oads p,pristine,*OH
-1.04563,up,0.076566,Oads p,pristine,*OH
-0.94063,down,0.477036,Oads p,pristine,*OH
-0.94063,up,0.12695,Oads p,pristine,*OH
-0.83463,down,0.36404,Oads p,pristine,*OH
-0.83463,up,0.26354,Oads p,pristine,*OH
-0.72963,down,0.170681,Oads p,pristine,*OH
-0.72963,up,0.37657,Oads p,pristine,*OH
-0.62363,down,0.041427,Oads p,pristine,*OH
-0.62363,up,0.31889,Oads p,pristine,*OH
-0.51863,down,-0.028576999999999998,Oads p,pristine,*OH
-0.51863,up,0.17386000000000001,Oads p,pristine,*OH
-0.41263,down,-0.09065999999999999,Oads p,pristine,*OH
-0.41263,up,0.175624,Oads p,pristine,*OH
-0.30763,down,0.050802,Oads p,pristine,*OH
-0.30763,up,0.54322,Oads p,pristine,*OH
-0.20163,down,0.8258,Oads p,pristine,*OH
-0.20163,up,1.2424,Oads p,pristine,*OH
-0.09663,down,1.6881,Oads p,pristine,*OH
-0.09663,up,1.8054,Oads p,pristine,*OH
0.00937,down,1.3685,Oads p,pristine,*OH
0.00937,up,1.6282,Oads p,pristine,*OH
0.11437,down,0.37857,Oads p,pristine,*OH
0.11437,up,0.77772,Oads p,pristine,*OH
0.22037,down,-0.06811,Oads p,pristine,*OH
0.22037,up,0.09723599999999999,Oads p,pristine,*OH
0.32537,down,-0.059899999999999995,Oads p,pristine,*OH
0.32537,up,-0.06800400000000001,Oads p,pristine,*OH
0.43037,down,-0.012856,Oads p,pristine,*OH
0.43037,up,-0.0314713,Oads p,pristine,*OH
0.53637,down,-0.0012882,Oads p,pristine,*OH
0.53637,up,-0.0044022,Oads p,pristine,*OH
0.64137,down,-6.747e-05,Oads p,pristine,*OH
0.64137,up,0.00045639,Oads p,pristine,*OH
0.74737,down,-1.9560999999999998e-06,Oads p,pristine,*OH
0.74737,up,0.00014773,Oads p,pristine,*OH
0.85237,down,-1.3814399999999999e-06,Oads p,pristine,*OH
0.85237,up,-8.267e-05,Oads p,pristine,*OH
0.95837,down,-3.40775e-05,Oads p,pristine,*OH
0.95837,up,-4.334e-05,Oads p,pristine,*OH
1.06337,down,-0.000465695,Oads p,pristine,*OH
1.06337,up,-8.064999999999998e-06,Oads p,pristine,*OH
1.16937,down,-0.00321985,Oads p,pristine,*OH
1.16937,up,-7.474e-07,Oads p,pristine,*OH
1.27437,down,-0.008967600000000001,Oads p,pristine,*OH
1.27437,up,-3.7302e-08,Oads p,pristine,*OH
1.38037,down,0.0065775,Oads p,pristine,*OH
1.38037,up,-1.0328e-09,Oads p,pristine,*OH
1.48537,down,0.087448,Oads p,pristine,*OH
1.48537,up,-1.6073999999999998e-11,Oads p,pristine,*OH
1.59137,down,0.168734,Oads p,pristine,*OH
1.59137,up,-1.4164e-13,Oads p,pristine,*OH
1.69637,down,0.116896,Oads p,pristine,*OH
1.69637,up,-7.1e-16,Oads p,pristine,*OH
1.80137,down,0.05747,Oads p,pristine,*OH
1.80137,up,-2.8976e-16,Oads p,pristine,*OH
1.90737,down,0.25613,Oads p,pristine,*OH
1.90737,up,-5.826e-14,Oads p,pristine,*OH
2.01237,down,0.54284,Oads p,pristine,*OH
2.01237,up,-6.7e-12,Oads p,pristine,*OH
2.11837,down,0.46547000000000005,Oads p,pristine,*OH
2.11837,up,-4.3627e-10,Oads p,pristine,*OH
2.22337,down,0.14599,Oads p,pristine,*OH
2.22337,up,-1.6023e-08,Oads p,pristine,*OH
2.32937,down,-0.015932,Oads p,pristine,*OH
2.32937,up,-3.2911999999999997e-07,Oads p,pristine,*OH
2.43437,down,-0.020815,Oads p,pristine,*OH
2.43437,up,-3.7042e-06,Oads p,pristine,*OH
2.54037,down,-0.0052189,Oads p,pristine,*OH
2.54037,up,-2.1646000000000002e-05,Oads p,pristine,*OH
2.64537,down,-0.0008476,Oads p,pristine,*OH
2.64537,up,-5.309e-05,Oads p,pristine,*OH
2.75137,down,0.00033072,Oads p,pristine,*OH
2.75137,up,3.2962999999999996e-05,Oads p,pristine,*OH
2.85637,down,0.0027988,Oads p,pristine,*OH
2.85637,up,0.0004498,Oads p,pristine,*OH
2.96237,down,0.004958,Oads p,pristine,*OH
2.96237,up,0.0009709999999999999,Oads p,pristine,*OH
-5.89663,down,0.57013,Obridge p,pristine,*OH
-5.89663,up,0.33045,Obridge p,pristine,*OH
-5.79163,down,0.24069999999999997,Obridge p,pristine,*OH
-5.79163,up,0.24493,Obridge p,pristine,*OH
-5.68563,down,0.11811,Obridge p,pristine,*OH
