energy_eV_rel_EF,spin,dos,projection,system,state
-2.41663,down,0.424443,Coact d,pristine,*OH
-2.41663,up,0.13433,Coact d,pristine,*OH
-2.31163,down,0.49084,Coact d,pristine,*OH
-2.31163,up,0.13256199999999999,Coact d,pristine,*OH
-2.20563,down,0.74531,Coact d,pristine,*OH
-2.20563,up,0.122947,Coact d,pristine,*OH
-2.10063,down,1.05537,Coact d,pristine,*OH
-2.10063,up,0.143976,Coact d,pristine,*OH
-1.99463,down,1.0884800000000001,Coact d,pristine,*OH
-1.99463,up,0.184686,Coact d,pristine,*OH
-1.88963,down,0.72721,Coact d,pristine,*OH
-1.88963,up,0.19728700000000002,Coact d,pristine,*OH
-1.78363,down,0.31573,Coact d,pristine,*OH
-1.78363,up,0.17379,Coact d,pristine,*OH
-1.67863,down,0.12871353400000002,Coact d,pristine,*OH
-1.67863,up,0.138325,Coact d,pristine,*OH
-1.57263,down,0.08465713999999999,Coact d,pristine,*OH
-1.57263,up,0.10277800000000001,Coact d,pristine,*OH
-1.46763,down,0.051593,Coact d,pristine,*OH
-1.46763,up,0.07417,Coact d,pristine,*OH
-1.36163,down,0.0335865,Coact d,pristine,*OH
-1.36163,up,0.061938,Coact d,pristine,*OH
-1.25663,down,0.0666422,Coact d,pristine,*OH
-1.25663,up,0.065234,Coact d,pristine,*OH
-1.15063,down,0.130917,Coact d,pristine,*OH
-1.15063,up,0.06899,Coact d,pristine,*OH
-1.04563,down,0.191532,Coact d,pristine,*OH
-1.04563,up,0.065809,Coact d,pristine,*OH
-0.94063,down,0.20349,Coact d,pristine,*OH
-0.94063,up,0.077905,Coact d,pristine,*OH
-0.83463,down,0.14051000000000002,Coact d,pristine,*OH
-0.83463,up,0.113053,Coact d,pristine,*OH
-0.72963,down,0.060357999999999995,Coact d,pristine,*OH
-0.72963,up,0.12369100000000001,Coact d,pristine,*OH
-0.62363,down,0.015721,Coact d,pristine,*OH
-0.62363,up,0.087149,Coact d,pristine,*OH
-0.51863,down,0.0012174199999999999,Coact d,pristine,*OH
-0.51863,up,0.04703,Coact d,pristine,*OH
-0.41263,down,-0.0013336,Coact d,pristine,*OH
-0.41263,up,0.054669,Coact d,pristine,*OH
-0.30763,down,-0.00063309,Coact d,pristine,*OH
-0.30763,up,0.165225,Coact d,pristine,*OH
-0.20163,down,0.00169158,Coact d,pristine,*OH
-0.20163,up,0.42115800000000003,Coact d,pristine,*OH
-0.09663,down,0.003971668,Coact d,pristine,*OH
-0.09663,up,0.828318,Coact d,pristine,*OH
0.00937,down,0.0032703,Coact d,pristine,*OH
0.00937,up,1.14976,Coact d,pristine,*OH
0.11437,down,0.0009114090000000001,Coact d,pristine,*OH
0.11437,up,0.92245,Coact d,pristine,*OH
0.22037,down,-0.00016097380000000002,Coact d,pristine,*OH
0.22037,up,0.3246794,Coact d,pristine,*OH
0.32537,down,-0.000143596,Coact d,pristine,*OH
0.32537,up,-0.014481659999999999,Coact d,pristine,*OH
0.43037,down,-3.10681e-05,Coact d,pristine,*OH
0.43037,up,-0.04115592,Coact d,pristine,*OH
0.53637,down,-3.15238e-06,Coact d,pristine,*OH
0.53637,up,-0.008455795,Coact d,pristine,*OH
0.64137,down,-1.7662299999999998e-07,Coact d,pristine,*OH
0.64137,up,0.0009599230000000001,Coact d,pristine,*OH
0.74737,down,-6.394800000000001e-07,Coact d,pristine,*OH
0.74737,up,0.00040684769999999997,Coact d,pristine,*OH
0.85237,down,-2.961e-05,Coact d,pristine,*OH
0.85237,up,-0.0001749811,Coact d,pristine,*OH
0.95837,down,-0.0007823999999999999,Coact d,pristine,*OH
0.95837,up,-0.0001046062,Coact d,pristine,*OH
-2.41663,down,0.12112,Oads p,pristine,*OH
-2.41663,up,0.09178,Oads p,pristine,*OH
-2.31163,down,0.11747,Oads p,pristine,*OH
-2.31163,up,0.10568,Oads p,pristine,*OH
-2.20563,down,0.11506,Oads p,pristine,*OH
-2.20563,up,0.14375,Oads p,pristine,*OH
