system,state,site_role,orbital,spin,window,Emin_eV,Emax_eV,integrated_PDOS
pristine,*OH,Coact,dxy,up,occupied -2 to 0 eV,-2.0,0.0,0.04720947
pristine,*OH,Coact,dxy,up,near-EF -1 to 0 eV,-1.0,0.0,0.037823555
pristine,*OH,Coact,dxy,up,unoccupied 0 to 1 eV,0.0,1.0,0.023157328465
pristine,*OH,Coact,dxy,down,occupied -2 to 0 eV,-2.0,0.0,0.07835001956000001
pristine,*OH,Coact,dxy,down,near-EF -1 to 0 eV,-1.0,0.0,0.01742233356
pristine,*OH,Coact,dxy,down,unoccupied 0 to 1 eV,0.0,1.0,6.381840884999989e-06
pristine,*OH,Coact,dyz,up,occupied -2 to 0 eV,-2.0,0.0,0.06919838349999999
pristine,*OH,Coact,dyz,up,near-EF -1 to 0 eV,-1.0,0.0,0.048059455
pristine,*OH,Coact,dyz,up,unoccupied 0 to 1 eV,0.0,1.0,0.08252201262499999
pristine,*OH,Coact,dyz,down,occupied -2 to 0 eV,-2.0,0.0,0.025134113089999997
pristine,*OH,Coact,dyz,down,near-EF -1 to 0 eV,-1.0,0.0,0.0033019300899999994
pristine,*OH,Coact,dyz,down,unoccupied 0 to 1 eV,0.0,1.0,1.4291477014999999e-05
pristine,*OH,Coact,dz2,up,occupied -2 to 0 eV,-2.0,0.0,0.0130005505
pristine,*OH,Coact,dz2,up,near-EF -1 to 0 eV,-1.0,0.0,0.0028662749999999997
pristine,*OH,Coact,dz2,up,unoccupied 0 to 1 eV,0.0,1.0,0.0003655528917
pristine,*OH,Coact,dz2,down,occupied -2 to 0 eV,-2.0,0.0,0.11902024233499996
pristine,*OH,Coact,dz2,down,near-EF -1 to 0 eV,-1.0,0.0,0.007275982334999999
pristine,*OH,Coact,dz2,down,unoccupied 0 to 1 eV,0.0,1.0,3.454772629999987e-06
pristine,*OH,Coact,dxz,up,occupied -2 to 0 eV,-2.0,0.0,0.0906686375
pristine,*OH,Coact,dxz,up,near-EF -1 to 0 eV,-1.0,0.0,0.046457067500000004
pristine,*OH,Coact,dxz,up,unoccupied 0 to 1 eV,0.0,1.0,0.052550587254999996
pristine,*OH,Coact,dxz,down,occupied -2 to 0 eV,-2.0,0.0,0.02073961715699999
pristine,*OH,Coact,dxz,down,near-EF -1 to 0 eV,-1.0,0.0,0.0029436680499999998
