system,state,site_role,window,Emin_eV,Emax_eV,integrated_PDOS
pristine,*OH,Coact,occupied -2 to 0 eV,-2.0,0.0,0.5524320407319999
pristine,*OH,Coact,near-EF -1 to 0 eV,-1.0,0.0,0.188322058275
pristine,*OH,Coact,unoccupied 0 to 1 eV,0.0,1.0,0.18548762781079348
pristine,*OH,Oads,occupied -2 to 0 eV,-2.0,0.0,1.10425487425
pristine,*OH,Oads,near-EF -1 to 0 eV,-1.0,0.0,0.6825336015000001
pristine,*OH,Oads,unoccupied 0 to 1 eV,0.0,1.0,0.26372479030203
pristine,*OH,Obridge,occupied -2 to 0 eV,-2.0,0.0,0.6316553333499999
pristine,*OH,Obridge,near-EF -1 to 0 eV,-1.0,0.0,0.27136233955
pristine,*OH,Obridge,unoccupied 0 to 1 eV,0.0,1.0,0.026418396965386004
pristine,*O,Coact,occupied -2 to 0 eV,-2.0,0.0,0.598894971568
pristine,*O,Coact,near-EF -1 to 0 eV,-1.0,0.0,0.257903784628
pristine,*O,Coact,unoccupied 0 to 1 eV,0.0,1.0,0.23204967308177502
pristine,*O,Oads,occupied -2 to 0 eV,-2.0,0.0,1.0048408272
pristine,*O,Oads,near-EF -1 to 0 eV,-1.0,0.0,0.4013329065
pristine,*O,Oads,unoccupied 0 to 1 eV,0.0,1.0,0.6662861538484999
pristine,*O,Obridge,occupied -2 to 0 eV,-2.0,0.0,0.49897870209999995
pristine,*O,Obridge,near-EF -1 to 0 eV,-1.0,0.0,0.1405359921
pristine,*O,Obridge,unoccupied 0 to 1 eV,0.0,1.0,0.05925192084335001
Al16,*OH,Coact,occupied -2 to 0 eV,-2.0,0.0,0.8467660417904999
Al16,*OH,Coact,near-EF -1 to 0 eV,-1.0,0.0,0.42049163229049996
Al16,*OH,Coact,unoccupied 0 to 1 eV,0.0,1.0,0.002070663709876118
Al16,*OH,Oads,occupied -2 to 0 eV,-2.0,0.0,1.18760203332
Al16,*OH,Oads,near-EF -1 to 0 eV,-1.0,0.0,0.83005454082
Al16,*OH,Oads,unoccupied 0 to 1 eV,0.0,1.0,0.1684152037720769
Al16,*OH,Obridge,occupied -2 to 0 eV,-2.0,0.0,0.21800171807949997
Al16,*OH,Obridge,near-EF -1 to 0 eV,-1.0,0.0,0.0409330462295
Al16,*OH,Obridge,unoccupied 0 to 1 eV,0.0,1.0,0.0017430037705227443
Al16,*O,Coact,occupied -2 to 0 eV,-2.0,0.0,0.9385988373642502
Al16,*O,Coact,near-EF -1 to 0 eV,-1.0,0.0,0.5323058688095
Al16,*O,Coact,unoccupied 0 to 1 eV,0.0,1.0,0.07864292325044708
Al16,*O,Oads,occupied -2 to 0 eV,-2.0,0.0,1.216573929151
Al16,*O,Oads,near-EF -1 to 0 eV,-1.0,0.0,0.5125477022580001
Al16,*O,Oads,unoccupied 0 to 1 eV,0.0,1.0,0.5953263985074896
Al16,*O,Obridge,occupied -2 to 0 eV,-2.0,0.0,0.20365127864100005
Al16,*O,Obridge,near-EF -1 to 0 eV,-1.0,0.0,0.041673218446
Al16,*O,Obridge,unoccupied 0 to 1 eV,0.0,1.0,0.0008061225611028406
