system	atom_index	element	site_role	source_structure	source_raw_doscar	source_raw_coop	cohp_status
Al16	16	Co	active_Co	artifacts/original_model_sources_20260920/Al16_adjacent/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/Al16_adjacent/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/Al16_adjacent/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
Al16	51	Al	substitution_site	artifacts/original_model_sources_20260920/Al16_adjacent/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/Al16_adjacent/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/Al16_adjacent/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
Al16	116	H	framework_H	artifacts/original_model_sources_20260920/Al16_adjacent/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/Al16_adjacent/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/Al16_adjacent/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
Al16	258	O	bridge_O	artifacts/original_model_sources_20260920/Al16_adjacent/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/Al16_adjacent/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/Al16_adjacent/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
Al16	259	O	framework_O	artifacts/original_model_sources_20260920/Al16_adjacent/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/Al16_adjacent/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/Al16_adjacent/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
Al16	294	O	framework_O	artifacts/original_model_sources_20260920/Al16_adjacent/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/Al16_adjacent/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/Al16_adjacent/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
undoped	21	Co	active_Co	artifacts/original_model_sources_20260920/undoped_control/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/undoped_control/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/undoped_control/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
undoped	23	Co	substitution_site	artifacts/original_model_sources_20260920/undoped_control/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/undoped_control/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/undoped_control/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
undoped	116	H	framework_H	artifacts/original_model_sources_20260920/undoped_control/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/undoped_control/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/undoped_control/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
undoped	258	O	bridge_O	artifacts/original_model_sources_20260920/undoped_control/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/undoped_control/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/undoped_control/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
undoped	259	O	framework_O	artifacts/original_model_sources_20260920/undoped_control/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/undoped_control/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/undoped_control/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
undoped	294	O	framework_O	artifacts/original_model_sources_20260920/undoped_control/bare/POSCAR.lobster.vasp	artifacts/original_model_sources_20260920/undoped_control/bare/DOSCAR.lobster	artifacts/original_model_sources_20260920/undoped_control/bare/COOPCAR.lobster	COHP unavailable; pCOHP disabled by insufficient NBANDS
