x_A,y_A,value
-3.96406,-1.66086,-0.0012673389
-3.89796,-1.66086,-0.0014920485
-3.83186,-1.66086,-0.0017446516
-3.76577,-1.66086,-0.0020186712
-3.69967,-1.66086,-0.002343093
-3.63357,-1.66086,-0.0027200233
-3.56747,-1.66086,-0.0031443706
-3.50138,-1.66086,-0.0036371714
-3.43528,-1.66086,-0.00416659
-3.36918,-1.66086,-0.004646142
-3.30309,-1.66086,-0.0051456685
-3.23699,-1.66086,-0.0056560389
-3.17089,-1.66086,-0.0060192342
-3.10479,-1.66086,-0.0062974896
-3.03870,-1.66086,-0.006647924
-2.97260,-1.66086,-0.006911926
-2.90650,-1.66086,-0.0069358312
-2.84041,-1.66086,-0.0067906128
-2.77431,-1.66086,-0.0065182052
-2.70821,-1.66086,-0.0059762713
-2.64211,-1.66086,-0.005241944
-2.57602,-1.66086,-0.0043932218
-2.50992,-1.66086,-0.0034105827
-2.44382,-1.66086,-0.0023566363
-2.37773,-1.66086,-0.0012206257
-2.31163,-1.66086,-3.7575021e-05
-2.24553,-1.66086,0.001063227
-2.17943,-1.66086,0.0021736573
-2.11334,-1.66086,0.0032880281
-2.04724,-1.66086,0.0041648308
-1.98114,-1.66086,0.0049928757
-1.91505,-1.66086,0.005761357
-1.84895,-1.66086,0.0062924456
-1.78285,-1.66086,0.006617527
-1.71675,-1.66086,0.0068604737
-1.65066,-1.66086,0.0069789016
-1.58456,-1.66086,0.0066635171
-1.51846,-1.66086,0.0063032736
-1.45237,-1.66086,0.0059427745
-1.38627,-1.66086,0.0051501174
-1.32017,-1.66086,0.0043585217
-1.25408,-1.66086,0.0038712434
-1.18798,-1.66086,0.0035273004
-1.12188,-1.66086,0.0032640616
-1.05578,-1.66086,0.0033503755
-0.98969,-1.66086,0.0037843259
-0.92359,-1.66086,0.0042052735
-0.85749,-1.66086,0.0045266314
-0.79140,-1.66086,0.0047941855
-0.72530,-1.66086,0.0046148892
-0.65920,-1.66086,0.0040822458
-0.59310,-1.66086,0.0033905208
-0.52701,-1.66086,0.0027209404
-0.46091,-1.66086,0.0018777307
-0.39481,-1.66086,0.0011251476
-0.32872,-1.66086,0.00061884383
-0.26262,-1.66086,0.0001384691
-0.19652,-1.66086,-0.00024769001
-0.13042,-1.66086,-0.00050233351
-0.06433,-1.66086,-0.00067368412
0.00177,-1.66086,-0.00077808922
0.06787,-1.66086,-0.00081168208
0.13396,-1.66086,-0.0007966712
0.20006,-1.66086,-0.00072172144
0.26616,-1.66086,-0.00064098695
0.33226,-1.66086,-0.00055168767
0.39835,-1.66086,-0.00042872506
0.46445,-1.66086,-0.00032582373
0.53055,-1.66086,-0.00023147835
0.59664,-1.66086,-0.00012806272
0.66274,-1.66086,-1.2691498e-05
0.72884,-1.66086,8.327511e-05
0.79493,-1.66086,0.0001649888
0.86103,-1.66086,0.00024679402
0.92713,-1.66086,0.00030391224
0.99323,-1.66086,0.00033434742
1.05932,-1.66086,0.0003456517
1.12542,-1.66086,0.00034180726
1.19152,-1.66086,0.00031583611
1.25761,-1.66086,0.00028788191
1.32371,-1.66086,0.00024828158
1.38981,-1.66086,0.00019533114
1.45591,-1.66086,0.00014634345
1.52200,-1.66086,9.0683701e-05
1.58810,-1.66086,2.2591699e-05
1.65420,-1.66086,-5.8539525e-05
1.72029,-1.66086,-0.00014675164
1.78639,-1.66086,-0.00022780482
1.85249,-1.66086,-0.00031700535
1.91859,-1.66086,-0.00040911726
1.98468,-1.66086,-0.0004768759
2.05078,-1.66086,-0.0005425876
2.11688,-1.66086,-0.00060212921
2.18297,-1.66086,-0.00064447627
2.24907,-1.66086,-0.00066969864
2.31517,-1.66086,-0.00068376982
2.38127,-1.66086,-0.00068616873
2.44736,-1.66086,-0.00066885108
2.51346,-1.66086,-0.00064013334
2.57956,-1.66086,-0.0006037319
2.64565,-1.66086,-0.00055968337
2.71175,-1.66086,-0.00051821204
2.77785,-1.66086,-0.00046895343
2.84394,-1.66086,-0.00042424793
2.91004,-1.66086,-0.00039767451
2.97614,-1.66086,-0.0003802217
3.04224,-1.66086,-0.00037713151
3.10833,-1.66086,-0.00038413634
3.17443,-1.66086,-0.00039664595
3.24053,-1.66086,-0.00040990609
3.30662,-1.66086,-0.00041341319
3.37272,-1.66086,-0.00038451067
3.43882,-1.66086,-0.0003147347
3.50492,-1.66086,-0.00021144928
3.57101,-1.66086,-3.347436e-05
3.63711,-1.66086,0.00027721465
3.70321,-1.66086,0.00069360086
3.76930,-1.66086,0.0012511854
3.83540,-1.66086,0.0022917974
3.90150,-1.66086,0.003690768
-3.96406,-1.61672,-0.0013727247
-3.89796,-1.61672,-0.0015970407
-3.83186,-1.61672,-0.0019041803
-3.76577,-1.61672,-0.0022544805
-3.69967,-1.61672,-0.002643412
-3.63357,-1.61672,-0.0031055375
-3.56747,-1.61672,-0.0035844808
-3.50138,-1.61672,-0.0041029165
-3.43528,-1.61672,-0.0047112252
-3.36918,-1.61672,-0.0052434052
-3.30309,-1.61672,-0.005792161
-3.23699,-1.61672,-0.0065290993
-3.17089,-1.61672,-0.0071488591
-3.10479,-1.61672,-0.0076671476
-3.03870,-1.61672,-0.0080623981
-2.97260,-1.61672,-0.0083305994
-2.90650,-1.61672,-0.0083780717
-2.84041,-1.61672,-0.0081452932
-2.77431,-1.61672,-0.0077740811
-2.70821,-1.61672,-0.0072698346
-2.64211,-1.61672,-0.0064995405
-2.57602,-1.61672,-0.0055398601
-2.50992,-1.61672,-0.004489142
-2.44382,-1.61672,-0.0032246578
-2.37773,-1.61672,-0.0018810622
-2.31163,-1.61672,-0.00051642623
-2.24553,-1.61672,0.00072891661
-2.17943,-1.61672,0.0019767652
-2.11334,-1.61672,0.0032082684
-2.04724,-1.61672,0.0042183432
-1.98114,-1.61672,0.0050995504
-1.91505,-1.61672,0.0059159878
-1.84895,-1.61672,0.0065213237
-1.78285,-1.61672,0.0068330904
-1.71675,-1.61672,0.0070646056
-1.65066,-1.61672,0.0071983468
-1.58456,-1.61672,0.0068659503
-1.51846,-1.61672,0.0064442069
-1.45237,-1.61672,0.0060328334
-1.38627,-1.61672,0.0053857248
-1.32017,-1.61672,0.0046653445
-1.25408,-1.61672,0.0042013708
-1.18798,-1.61672,0.0039760261
-1.12188,-1.61672,0.0039593102
-1.05578,-1.61672,0.0041158693
-0.98969,-1.61672,0.0045667356
-0.92359,-1.61672,0.0052759754
-0.85749,-1.61672,0.0055143735
-0.79140,-1.61672,0.0055982596
-0.72530,-1.61672,0.0054129409
-0.65920,-1.61672,0.0049587539
-0.59310,-1.61672,0.0043163896
-0.52701,-1.61672,0.0034528903
-0.46091,-1.61672,0.0026410124
