x_A,y_A,value
-3.96406,-1.66086,-0.00055160042
-3.89796,-1.66086,-0.00070545188
-3.83186,-1.66086,-0.00090106257
-3.76577,-1.66086,-0.0011238226
-3.69967,-1.66086,-0.0014049414
-3.63357,-1.66086,-0.0017638546
-3.56747,-1.66086,-0.0021943327
-3.50138,-1.66086,-0.0027198941
-3.43528,-1.66086,-0.0033221734
-3.36918,-1.66086,-0.0039354521
-3.30309,-1.66086,-0.0046160291
-3.23699,-1.66086,-0.005355509
-3.17089,-1.66086,-0.006006158
-3.10479,-1.66086,-0.0066163139
-3.03870,-1.66086,-0.0074077337
-2.97260,-1.66086,-0.0081615848
-2.90650,-1.66086,-0.0086536398
-2.84041,-1.66086,-0.0089692678
-2.77431,-1.66086,-0.0091550797
-2.70821,-1.66086,-0.0089176437
-2.64211,-1.66086,-0.0084349979
-2.57602,-1.66086,-0.0078177731
-2.50992,-1.66086,-0.0069184424
-2.44382,-1.66086,-0.005932977
-2.37773,-1.66086,-0.0048139114
-2.31163,-1.66086,-0.0035648732
-2.24553,-1.66086,-0.0023071184
-2.17943,-1.66086,-0.0010277823
-2.11334,-1.66086,0.00023107964
-2.04724,-1.66086,0.0012648646
-1.98114,-1.66086,0.0022282612
-1.91505,-1.66086,0.0030649637
-1.84895,-1.66086,0.0036270451
-1.78285,-1.66086,0.0039455206
-1.71675,-1.66086,0.0040998994
-1.65066,-1.66086,0.0040617762
-1.58456,-1.66086,0.003538453
-1.51846,-1.66086,0.0029276963
-1.45237,-1.66086,0.0022836877
-1.38627,-1.66086,0.001151363
-1.32017,-1.66086,6.1431201e-05
-1.25408,-1.66086,-0.00068683829
-1.18798,-1.66086,-0.001310779
-1.12188,-1.66086,-0.0018043157
-1.05578,-1.66086,-0.0018600657
-0.98969,-1.66086,-0.0014714117
-0.92359,-1.66086,-0.0010476511
-0.85749,-1.66086,-0.00064988853
-0.79140,-1.66086,-0.00011768728
-0.72530,-1.66086,7.9328427e-05
-0.65920,-1.66086,2.7490547e-05
-0.59310,-1.66086,-5.3775264e-05
-0.52701,-1.66086,-0.00025206327
-0.46091,-1.66086,-0.0006409405
-0.39481,-1.66086,-0.00089186418
-0.32872,-1.66086,-0.0010457159
-0.26262,-1.66086,-0.0012141828
-0.19652,-1.66086,-0.0012724362
-0.13042,-1.66086,-0.0012890635
-0.06433,-1.66086,-0.001270748
0.00177,-1.66086,-0.0011926031
0.06787,-1.66086,-0.0011074943
0.13396,-1.66086,-0.00100653
0.20006,-1.66086,-0.00085521233
0.26616,-1.66086,-0.00072585698
0.33226,-1.66086,-0.0006013934
0.39835,-1.66086,-0.00044960942
0.46445,-1.66086,-0.00032508175
0.53055,-1.66086,-0.00021354845
0.59664,-1.66086,-9.6028452e-05
0.66274,-1.66086,2.7452406e-05
0.72884,-1.66086,0.00013066313
0.79493,-1.66086,0.00022027438
0.86103,-1.66086,0.00030917965
0.92713,-1.66086,0.00037618951
0.99323,-1.66086,0.00042013195
1.05932,-1.66086,0.00044663355
