system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
pristine	*OH	-7.90063	up	TDOS	0	all	total	10.89	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.90063	down	TDOS	0	all	total	-0.7678	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.79563	up	TDOS	0	all	total	28	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.79563	down	TDOS	0	all	total	1.695	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.68963	up	TDOS	0	all	total	43.21	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.68963	down	TDOS	0	all	total	9.927	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.58463	up	TDOS	0	all	total	46.22	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.58463	down	TDOS	0	all	total	19.81	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.47863	up	TDOS	0	all	total	45.51	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.47863	down	TDOS	0	all	total	24.23	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.37363	up	TDOS	0	all	total	57.32	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.37363	down	TDOS	0	all	total	24.35	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.26763	up	TDOS	0	all	total	85.45	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.26763	down	TDOS	0	all	total	25.62	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.16263	up	TDOS	0	all	total	118.1	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.16263	down	TDOS	0	all	total	29.38	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.05663	up	TDOS	0	all	total	128.9	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-7.05663	down	TDOS	0	all	total	33.49	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.95163	up	TDOS	0	all	total	117.7	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.95163	down	TDOS	0	all	total	40.25	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.84563	up	TDOS	0	all	total	111.2	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.84563	down	TDOS	0	all	total	54.32	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.74063	up	TDOS	0	all	total	112.2	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.74063	down	TDOS	0	all	total	70.77	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.63463	up	TDOS	0	all	total	95.43	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.63463	down	TDOS	0	all	total	79.81	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.52963	up	TDOS	0	all	total	60.33	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.52963	down	TDOS	0	all	total	84.21	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.42463	up	TDOS	0	all	total	42.79	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.42463	down	TDOS	0	all	total	88.02	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.31863	up	TDOS	0	all	total	51.49	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.31863	down	TDOS	0	all	total	86.33	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.21363	up	TDOS	0	all	total	66.95	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.21363	down	TDOS	0	all	total	79	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.10763	up	TDOS	0	all	total	74.6	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.10763	down	TDOS	0	all	total	74	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.00263	up	TDOS	0	all	total	65.43	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-6.00263	down	TDOS	0	all	total	78.03	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-5.89663	up	TDOS	0	all	total	53.44	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
