x_A,y_A,value
-3.96406,-1.66086,-0.00071573845
-3.89796,-1.66086,-0.00078659662
-3.83186,-1.66086,-0.00084358902
-3.76577,-1.66086,-0.00089484855
-3.69967,-1.66086,-0.00093815167
-3.63357,-1.66086,-0.00095616857
-3.56747,-1.66086,-0.00095003803
-3.50138,-1.66086,-0.00091727718
-3.43528,-1.66086,-0.00084441667
-3.36918,-1.66086,-0.00071068981
-3.30309,-1.66086,-0.00052963942
-3.23699,-1.66086,-0.00030052965
-3.17089,-1.66086,-1.3076235e-05
-3.10479,-1.66086,0.00031882431
-3.03870,-1.66086,0.00075980974
-2.97260,-1.66086,0.0012496589
-2.90650,-1.66086,0.0017178087
-2.84041,-1.66086,0.0021786545
-2.77431,-1.66086,0.0026368748
-2.70821,-1.66086,0.0029413726
-2.64211,-1.66086,0.0031930541
-2.57602,-1.66086,0.0034245509
-2.50992,-1.66086,0.00350786
-2.44382,-1.66086,0.0035763406
-2.37773,-1.66086,0.0035932856
-2.31163,-1.66086,0.0035272981
-2.24553,-1.66086,0.0033703456
-2.17943,-1.66086,0.0032014395
-2.11334,-1.66086,0.0030569485
-2.04724,-1.66086,0.0028999662
-1.98114,-1.66086,0.0027646145
-1.91505,-1.66086,0.0026963933
-1.84895,-1.66086,0.0026654005
-1.78285,-1.66086,0.0026720064
-1.71675,-1.66086,0.0027605742
-1.65066,-1.66086,0.0029171254
-1.58456,-1.66086,0.0031250641
-1.51846,-1.66086,0.0033755773
-1.45237,-1.66086,0.0036590868
-1.38627,-1.66086,0.0039987545
-1.32017,-1.66086,0.0042970907
-1.25408,-1.66086,0.0045580817
-1.18798,-1.66086,0.0048380792
-1.12188,-1.66086,0.0050683776
-1.05578,-1.66086,0.0052104411
-0.98969,-1.66086,0.0052557373
-0.92359,-1.66086,0.0052529247
-0.85749,-1.66086,0.00517652
-0.79140,-1.66086,0.0049118726
-0.72530,-1.66086,0.0045355605
-0.65920,-1.66086,0.004054755
-0.59310,-1.66086,0.0034442961
-0.52701,-1.66086,0.0029730038
-0.46091,-1.66086,0.0025186711
-0.39481,-1.66086,0.0020170119
-0.32872,-1.66086,0.0016645597
-0.26262,-1.66086,0.0013526519
-0.19652,-1.66086,0.0010247461
-0.13042,-1.66086,0.00078672997
-0.06433,-1.66086,0.00059706392
0.00177,-1.66086,0.00041451395
0.06787,-1.66086,0.00029581221
0.13396,-1.66086,0.00020985879
0.20006,-1.66086,0.00013349089
0.26616,-1.66086,8.4870029e-05
0.33226,-1.66086,4.9705763e-05
0.39835,-1.66086,2.0884356e-05
0.46445,-1.66086,-7.4197305e-07
0.53055,-1.66086,-1.7929888e-05
0.59664,-1.66086,-3.203427e-05
0.66274,-1.66086,-4.0143903e-05
0.72884,-1.66086,-4.7388021e-05
0.79493,-1.66086,-5.5285578e-05
0.86103,-1.66086,-6.2385647e-05
0.92713,-1.66086,-7.2277267e-05
0.99323,-1.66086,-8.578453e-05
1.05932,-1.66086,-0.00010098185
1.12542,-1.66086,-0.00011861487
1.19152,-1.66086,-0.00014045465
1.25761,-1.66086,-0.00016363921
1.32371,-1.66086,-0.00018406828
1.38981,-1.66086,-0.00020819892
1.45591,-1.66086,-0.00023221094
1.52200,-1.66086,-0.00025348249
1.58810,-1.66086,-0.00027448454
1.65420,-1.66086,-0.00029664949
1.72029,-1.66086,-0.00031900563
1.78639,-1.66086,-0.00033342419
1.85249,-1.66086,-0.0003475679
1.91859,-1.66086,-0.00036157295
1.98468,-1.66086,-0.0003656827
2.05078,-1.66086,-0.00036602718
2.11688,-1.66086,-0.00036493212
2.18297,-1.66086,-0.00035912645
2.24907,-1.66086,-0.00034785605
2.31517,-1.66086,-0.0003364931
2.38127,-1.66086,-0.00032536281
2.44736,-1.66086,-0.00031033807
2.51346,-1.66086,-0.00029414633
2.57956,-1.66086,-0.00027791024
2.64565,-1.66086,-0.00025864525
2.71175,-1.66086,-0.00024018304
2.77785,-1.66086,-0.00022092783
2.84394,-1.66086,-0.00020131175
2.91004,-1.66086,-0.00018703945
2.97614,-1.66086,-0.00017670468
3.04224,-1.66086,-0.00017009038
3.10833,-1.66086,-0.0001680858
3.17443,-1.66086,-0.0001701701
3.24053,-1.66086,-0.00017342853
3.30662,-1.66086,-0.00017688208
