"category"	"file"	"format"	"rows"	"status"
"bare_model_pdos"	"Al16_bare_selected_sites_pdos.csv"	"csv"	"4812"	"complete"
"bare_model_pdos"	"Al16_bare_selected_sites_pdos.tsv"	"tsv"	"4812"	"complete"
"bare_model_pdos"	"undoped_bare_selected_sites_pdos.csv"	"csv"	"4812"	"complete"
"bare_model_pdos"	"undoped_bare_selected_sites_pdos.tsv"	"tsv"	"4812"	"complete"
"bare_model_d_center"	"bare_d_p_center_width_weight.csv"	"csv"	"20"	"complete"
"bare_model_d_center"	"bare_d_p_center_width_weight.tsv"	"tsv"	"20"	"complete"
"formal_cohp"	"cohp_curves_Al16_O.csv"	"csv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_Al16_O.tsv"	"tsv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_Al16_OH.csv"	"csv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_Al16_OH.tsv"	"tsv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_pristine_O.csv"	"csv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_pristine_O.tsv"	"tsv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_pristine_OH.csv"	"csv"	"2406"	"complete"
"formal_cohp"	"cohp_curves_pristine_OH.tsv"	"tsv"	"2406"	"complete"
"formal_cohp"	"icohp_summary.csv"	"csv"	"12"	"complete"
"formal_cohp"	"icohp_summary.tsv"	"tsv"	"12"	"complete"
"formal_cohp"	"lobster_quality.csv"	"csv"	"4"	"complete"
"formal_cohp"	"lobster_quality.tsv"	"tsv"	"4"	"complete"
"formal_pdos"	"pdos_curves_Al16_O.csv"	"csv"	"3488"	"complete"
"formal_pdos"	"pdos_curves_Al16_O.tsv"	"tsv"	"3488"	"complete"
"formal_pdos"	"pdos_curves_Al16_OH.csv"	"csv"	"3488"	"complete"
"formal_pdos"	"pdos_curves_Al16_OH.tsv"	"tsv"	"3488"	"complete"
"formal_pdos"	"pdos_curves_pristine_O.csv"	"csv"	"3842"	"complete"
"formal_pdos"	"pdos_curves_pristine_O.tsv"	"tsv"	"3842"	"complete"
"formal_pdos"	"pdos_curves_pristine_OH.csv"	"csv"	"3842"	"complete"
"formal_pdos"	"pdos_curves_pristine_OH.tsv"	"tsv"	"3842"	"complete"
"formal_pdos"	"pdos_site_mapping.csv"	"csv"	"20"	"complete"
"formal_pdos"	"pdos_site_mapping.tsv"	"tsv"	"20"	"complete"
"difference_density"	"charge_total_Al16.csv"	"csv"	"9600"	"complete"
"difference_density"	"charge_total_undoped.csv"	"csv"	"9600"	"complete"
"difference_density"	"magnetization_Al16.csv"	"csv"	"9600"	"complete"
"difference_density"	"magnetization_undoped.csv"	"csv"	"9600"	"complete"
"difference_density"	"spin_down_Al16.csv"	"csv"	"9600"	"complete"
"difference_density"	"spin_down_undoped.csv"	"csv"	"9600"	"complete"
"difference_density"	"spin_up_Al16.csv"	"csv"	"9600"	"complete"
"difference_density"	"spin_up_undoped.csv"	"csv"	"9600"	"complete"
