energy_eV_rel_EF,TDOS_up,TDOS_down,Al_s_up,Al_s_down,Al_px_up,Al_px_down,Al_py_up,Al_py_down,Al_pz_up,Al_pz_down,Al_dxy_up,Al_dxy_down,Al_dyz_up,Al_dyz_down,Al_dz2_up,Al_dz2_down,Al_dxz_up,Al_dxz_down,Al_dx2y2_up,Al_dx2y2_down,Al_p_total_up,Al_p_total_down,Al_d_total_up,Al_d_total_down,Al_total_up,Al_total_down,Co_s_up,Co_s_down,Co_px_up,Co_px_down,Co_py_up,Co_py_down,Co_pz_up,Co_pz_down,Co_dxy_up,Co_dxy_down,Co_dyz_up,Co_dyz_down,Co_dz2_up,Co_dz2_down,Co_dxz_up,Co_dxz_down,Co_dx2y2_up,Co_dx2y2_down,Co_p_total_up,Co_p_total_down,Co_d_total_up,Co_d_total_down,Co_total_up,Co_total_down,H_s_up,H_s_down,H_px_up,H_px_down,H_py_up,H_py_down,H_pz_up,H_pz_down,H_dxy_up,H_dxy_down,H_dyz_up,H_dyz_down,H_dz2_up,H_dz2_down,H_dxz_up,H_dxz_down,H_dx2y2_up,H_dx2y2_down,H_p_total_up,H_p_total_down,H_d_total_up,H_d_total_down,H_total_up,H_total_down,O_s_up,O_s_down,O_px_up,O_px_down,O_py_up,O_py_down,O_pz_up,O_pz_down,O_dxy_up,O_dxy_down,O_dyz_up,O_dyz_down,O_dz2_up,O_dz2_down,O_dxz_up,O_dxz_down,O_dx2y2_up,O_dx2y2_down,O_p_total_up,O_p_total_down,O_d_total_up,O_d_total_down,O_total_up,O_total_down
-22.72015882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-22.610158820000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-22.499158819999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-22.38915882,-1.206e-29,0.0,-6.86756053e-32,0.0,-2.0182724560000002e-33,0.0,-3.12585389e-33,0.0,-2.5317631308e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6758894768e-33,0.0,0.0,0.0,-7.635149477679999e-32,0.0,-2.1337485182e-31,0.0,-1.7411335728999993e-32,0.0,-1.3410481636599998e-32,0.0,-1.0583211160399998e-32,0.0,-1.519835489768e-32,0.0,-7.45900935429e-33,0.0,-2.9164057002900013e-33,0.0,-1.5520000228740001e-32,0.0,-4.218401432850001e-33,0.0,-4.140502852599999e-32,0.0,-4.531217161385e-32,0.0,-3.0009205195985e-31,0.0,-1.2438886342499997e-30,0.0,-2.956203804052999e-32,0.0,-1.55463310789e-32,0.0,-2.0964395812989986e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5475232724932987e-31,0.0,0.0,0.0,-1.4986409614993297e-30,0.0,-8.465805243e-30,0.0,-4.3618448684410006e-32,0.0,-1.7213703650500004e-32,0.0,-1.2890690177868301e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8973905411359302e-31,0.0,0.0,0.0,-8.655544297113592e-30,0.0
-22.27915882,-8.278e-26,-6.383e-30,-4.71618327e-28,-3.79745912e-32,-1.3878178020000004e-29,-1.007205789e-33,-2.14780824e-29,-1.65368997e-33,-1.7371458474000004e-29,-1.2776651172200002e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2727718894e-29,-3.93856087622e-33,0.0,0.0,-5.243460458940001e-28,-4.191315207622e-32,-1.4648080298e-27,-1.0719851301199995e-31,-1.1958599508000001e-28,-9.221344552999997e-33,-9.226193464799997e-29,-7.146642217999999e-33,-7.257201540327999e-29,-5.206913851289999e-33,-1.042748035701e-28,-4.798181243921001e-33,-5.121339350809999e-29,-2.108749930350001e-33,-2.0021838430699986e-29,-1.14816967751e-33,-1.0652642243190999e-28,-4.383377730342999e-33,-2.8989894131799997e-29,-1.1733557653499998e-33,-2.8441994513127997e-28,-2.1574900622289995e-32,-3.1102635207260997e-28,-1.3611834347474002e-32,-2.0602543270038898e-27,-1.4238524798176395e-31,-8.540639518460005e-27,-6.646236740399e-31,-2.025871975168e-28,-1.419123987664e-32,-1.0660736143640002e-28,-7.560511438155001e-33,-1.4398533784950004e-27,-1.1406548956879995e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7490479374482005e-27,-1.3581724088359496e-31,0.0,0.0,-1.0289687455908205e-26,-8.00440914923495e-31,-5.812758479189e-26,-4.4839546481490004e-30,-2.990248467143001e-28,-2.1952106425979996e-32,-1.1810179209960002e-28,-8.43614982215e-33,-8.852283431270897e-28,-7.074085233061902e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3023549819409898e-27,-1.0112910857874902e-31,0.0,0.0,-5.942993977383099e-26,-4.5850837567277494e-30
-22.16915882,-3.075e-22,-4.582e-26,-1.751976645e-24,-2.726276474e-28,-5.1601307200000003e-26,-7.25200613e-30,-7.984355900000001e-26,-1.1887625999999999e-29,-6.449312821e-26,-9.160152911600001e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9593799441000001e-25,-2.82997850416e-29,0.0,0.0,-1.94791463941e-24,-3.009274324416e-28,-5.4416503983e-24,-7.693538238600001e-28,-4.444026019e-25,-6.622186957000003e-29,-3.431376732299999e-25,-5.148745749299999e-29,-2.694450264086999e-25,-3.727879306503e-29,-3.8724262371959993e-25,-3.439269580535001e-29,-1.9030196498899998e-25,-1.5139545283199996e-29,-7.438677664779999e-26,-8.2426831293e-30,-3.9570018866709988e-25,-3.143544988309002e-29,-1.0773691989599996e-25,-8.443816843600001e-30,-1.0569853015386998e-24,-1.5498812012803002e-28,-1.1553684739194998e-24,-9.765419094454002e-29,-7.654004173758199e-24,-1.0219961349325701e-27,-3.172449914760001e-23,-4.770848105701004e-27,-7.520496888279999e-25,-1.015269463367e-28,-3.9577497009199995e-25,-5.415680812559998e-29,-5.349392914054001e-24,-8.19236736341e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.497217572974001e-24,-9.749204908032999e-28,0.0,0.0,-3.822171672057401e-23,-5.745768596504304e-27,-2.1595429686370004e-22,-3.218637471472999e-26,-1.1101374215129994e-24,-1.5707222079419993e-28,-4.385484470139999e-25,-6.047531616269998e-29,-3.2884436262226997e-24,-5.079044722863001e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.837129494749699e-24,-7.254520092431999e-28,0.0,0.0,-2.2079142635844974e-22,-3.291182672397319e-26
-22.058158820000003,-6.186e-19,-1.778e-22,-3.5242154800000005e-21,-1.057527409e-24,-1.039193799e-22,-2.8180988100000007e-26,-1.60696502e-22,-4.61443383e-26,-1.2960228679e-22,-3.5508406287e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9421816869e-22,-1.09833732687e-25,0.0,0.0,-3.918433648690001e-21,-1.167361141687e-24,-1.0945195513099998e-20,-2.9845336572e-24,-8.941133503999998e-22,-2.5698197356000005e-25,-6.914570346199997e-22,-2.0013685043000003e-25,-5.411594688534002e-22,-1.444526405262e-25,-7.7830178320199995e-22,-1.3333516379229998e-25,-3.8279364934700015e-22,-5.874309880999998e-26,-1.4961400417699994e-22,-3.197758005030002e-26,-7.957248099433e-22,-1.2191263172070002e-25,-2.168798621890001e-22,-3.279693410100002e-26,-2.1267298538733996e-21,-6.015714645162001e-25,-2.3233141088583e-21,-3.787654084743e-25,-1.53952394758317e-20,-3.9648705301905e-24,-6.381929465648998e-20,-1.8509127039090004e-23,-1.5103040514269993e-21,-3.9332851123100005e-25,-7.953541346319997e-22,-2.0988243348799995e-25,-1.0764030443500001e-20,-3.1791313026209987e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3069688629559e-20,-3.782342247339999e-24,0.0,0.0,-7.688898328604898e-20,-2.229146928643e-23,-4.343706152079002e-19,-1.2488604619479999e-22,-2.229700875834e-21,-6.086693460650002e-25,-8.815740842710003e-22,-2.3443813462150003e-25,-6.615584009628697e-21,-1.9707886513207007e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.726858969733697e-21,-2.813896132007201e-24,0.0,0.0,-4.440974741776339e-19,-1.2769994232680718e-22
-21.948158820000003,-6.732e-16,-3.736e-19,-3.8354932899999995e-18,-2.222275502e-21,-1.1330391630000001e-19,-5.93360897e-23,-1.7507682899999998e-19,-9.706221299999999e-23,-1.4087696589999997e-19,-7.4551739585e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2925771119999994e-19,-2.30950042285e-22,0.0,0.0,-4.2647510012e-18,-2.453225544285e-21,-1.1908255716e-17,-6.270587294599998e-21,-9.734651985999998e-19,-5.401730478999999e-22,-7.546268158e-19,-4.216914130399999e-22,-5.879458786995999e-19,-3.0299105352180013e-22,-8.460690208409998e-19,-2.7979820945729997e-22,-4.166658881509999e-19,-1.2344400324e-22,-1.6282584568100004e-19,-6.719285109649998e-23,-8.655423395478002e-19,-2.559744324937999e-22,-2.362984573260002e-19,-6.903609566299998e-23,-2.3160378930995996e-18,-1.2648555144618e-21,-2.5274015515468002e-18,-7.954455919505999e-22,-1.67516951606464e-17,-8.330888401012398e-21,-6.944279544282001e-17,-3.8894390838170007e-20,-1.6408350997919996e-18,-8.247248408110003e-22,-8.643220589429998e-19,-4.40376922945e-22,-1.1718434720160001e-17,-6.682792628622998e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4223591878895e-17,-7.947894392378999e-21,0.0,0.0,-8.3666387321715e-17,-4.6842285230549e-20,-4.727317119736003e-16,-2.6243776095270005e-19,-2.421902203684e-18,-1.2761660095309989e-21,-9.583592681640003e-19,-4.921375894399997e-22,-7.2003549072526e-18,-4.142271442692898e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05806163791006e-17,-5.910575041663897e-21,0.0,0.0,-4.833123283527009e-16,-2.6834833599436393e-19
-21.838158819999997,-3.834e-13,-4.249e-16,-2.184991045e-15,-2.527606278e-18,-6.47497833e-17,-6.77114908e-20,-9.991263199999999e-17,-1.10537621e-19,-8.009452218e-17,-8.4664345654e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4475693748e-16,-2.62913457454e-19,0.0,0.0,-2.4297479824799997e-15,-2.790519735454e-18,-6.779575833199997e-15,-7.130048700200002e-18,-5.549179097e-16,-6.147617349000001e-19,-4.318636216299998e-16,-4.8156946789e-19,-3.338932178856999e-16,-3.4381164821210003e-19,-4.810314776210001e-16,-3.177061868019001e-19,-2.37464543599e-16,-1.4043390723399998e-19,-9.274261582600001e-17,-7.64340820559e-20,-4.925360709552e-16,-2.9085034103209993e-19,-1.348967477839999e-16,-7.874335055700001e-20,-1.3206747492156997e-15,-1.4401428510021002e-18,-1.4386714557852e-15,-9.041678676809e-19,-9.538922038200897e-15,-9.474359418883002e-18,-3.954640664432997e-14,-4.423155913699999e-17,-9.310839457460003e-16,-9.350707840840001e-19,-4.910194890950003e-16,-4.996977184260001e-19,-6.677828313130004e-15,-7.604486663370995e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.099931747971005e-15,-9.039255165880995e-18,0.0,0.0,-4.764633839230098e-14,-5.327081430288098e-17,-2.692805967905999e-13,-2.985003726197e-16,-1.3753777315749993e-15,-1.4476158909850004e-18,-5.449369069199997e-16,-5.590387903630001e-19,-4.102071061033698e-15,-4.712466140359196e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.022385699528697e-15,-6.719120821707196e-18,0.0,0.0,-2.7530298249012857e-13,-3.052194934414072e-16
-21.72715882,-1.209e-10,-2.534e-13,-6.8906561e-13,-1.507040663e-15,-2.051462234e-14,-4.05929394e-17,-3.15847437e-14,-6.60495e-17,-2.5193854483999996e-14,-5.0366113382e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.729322052399999e-14,-1.57008552782e-16,0.0,0.0,-7.66358830524e-13,-1.664049215782e-15,-2.1376179778999995e-12,-4.2488442225999994e-15,-1.7522847299000006e-13,-3.6685473641000004e-16,-1.371607869200001e-13,-2.8908365266000006e-16,-1.0485297573009997e-13,-2.0411674618399995e-16,-1.5139081296929995e-13,-1.889456536641e-16,-7.499930491900002e-14,-8.376308400100001e-17,-2.9251774454400003e-14,-4.5574543481799996e-17,-1.551931578879e-13,-1.7311643190570004e-16,-4.269268506240001e-14,-4.715971840399999e-17,-4.172422356401001e-13,-8.600551352540001e-16,-4.53527735293e-13,-5.385594314566e-16,-3.0083879488330997e-12,-5.647458789310599e-15,-1.2472763424899998e-11,-2.6370154067270016e-14,-2.922823468695999e-13,-5.546249784589995e-16,-1.5440209939099997e-13,-2.9686950456199984e-16,-2.108195253911001e-12,-4.538217765968999e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.554879700171601e-12,-5.389712248989999e-15,0.0,0.0,-1.50276431250716e-11,-3.175986631626001e-14,-8.494177174229998e-11,-1.779926779606001e-13,-4.316356593889e-13,-8.589405181340001e-16,-1.7148028698529997e-13,-3.3258030152439986e-16,-1.2942033807828996e-12,-2.8108932895103994e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8973193271570995e-12,-4.0024141091688e-15,0.0,0.0,-8.683909106945708e-11,-1.8199509206976889e-13
