energy_eV_rel_EF	TDOS_up	TDOS_down	Al_s_up	Al_s_down	Al_px_up	Al_px_down	Al_py_up	Al_py_down	Al_pz_up	Al_pz_down	Al_dxy_up	Al_dxy_down	Al_dyz_up	Al_dyz_down	Al_dz2_up	Al_dz2_down	Al_dxz_up	Al_dxz_down	Al_dx2y2_up	Al_dx2y2_down	Al_p_total_up	Al_p_total_down	Al_d_total_up	Al_d_total_down	Al_total_up	Al_total_down	Co_s_up	Co_s_down	Co_px_up	Co_px_down	Co_py_up	Co_py_down	Co_pz_up	Co_pz_down	Co_dxy_up	Co_dxy_down	Co_dyz_up	Co_dyz_down	Co_dz2_up	Co_dz2_down	Co_dxz_up	Co_dxz_down	Co_dx2y2_up	Co_dx2y2_down	Co_p_total_up	Co_p_total_down	Co_d_total_up	Co_d_total_down	Co_total_up	Co_total_down	H_s_up	H_s_down	H_px_up	H_px_down	H_py_up	H_py_down	H_pz_up	H_pz_down	H_dxy_up	H_dxy_down	H_dyz_up	H_dyz_down	H_dz2_up	H_dz2_down	H_dxz_up	H_dxz_down	H_dx2y2_up	H_dx2y2_down	H_p_total_up	H_p_total_down	H_d_total_up	H_d_total_down	H_total_up	H_total_down	O_s_up	O_s_down	O_px_up	O_px_down	O_py_up	O_py_down	O_pz_up	O_pz_down	O_dxy_up	O_dxy_down	O_dyz_up	O_dyz_down	O_dz2_up	O_dz2_down	O_dxz_up	O_dxz_down	O_dx2y2_up	O_dx2y2_down	O_p_total_up	O_p_total_down	O_d_total_up	O_d_total_down	O_total_up	O_total_down
-22.773825640000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-22.66282564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-22.552825640000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-22.44182564	-1.283e-29	0.0	-7.315837160000001e-32	0.0	-2.032738133e-33	0.0	-2.9314995400000002e-33	0.0	-3.1197369551e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.083974628100001e-33	0.0	0.0	0.0	-8.124234622810001e-32	0.0	-2.361466391900001e-31	0.0	-1.7135752294e-32	0.0	-1.2278385396400002e-32	0.0	-1.0869837346529999e-32	0.0	-1.65604537091e-32	0.0	-7.930515050500001e-33	0.0	-3.0502420735499997e-33	0.0	-1.8120089550025995e-32	0.0	-4.310300540150001e-33	0.0	-4.028397503693e-32	0.0	-4.9971600923326e-32	0.0	-3.264022151502561e-31	0.0	-1.3210057574040004e-30	0.0	-3.093528367278001e-32	0.0	-1.646919445065e-32	0.0	-2.2238024043460008e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.697847185580301e-31	0.0	0.0	0.0	-1.5907904759620303e-30	0.0	-8.999161622874e-30	0.0	-4.6644902693819996e-32	0.0	-1.8236919405219998e-32	0.0	-1.3834539465749994e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0322721675653995e-31	0.0	0.0	0.0	-9.20238883963054e-30	0.0
-22.33182564	-8.942e-26	-6.715e-30	-5.09881331e-28	-3.999132876e-32	-1.4172604089999998e-29	-1.0134694000000001e-33	-2.04606019e-29	-1.47562355e-33	-2.1727368039e-29	-1.66903249609e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.6360574029e-29	-4.15812544609e-33	0.0	0.0	-5.6624190502900005e-28	-4.4149454206089996e-32	-1.6455260437299996e-27	-1.1192995354e-31	-1.1950669374000001e-28	-9.888929099999998e-33	-8.570654055000002e-29	-6.8382557595e-33	-7.569501164839e-29	-5.8398017020809985e-33	-1.1537736097394e-28	-5.176827547555999e-33	-5.526377845270003e-29	-2.25501252632e-33	-2.1258679459400005e-29	-1.1679532849999997e-33	-1.2625657615369001e-28	-4.9213740876889965e-33	-3.003865457120001e-29	-1.1927100294600007e-33	-2.8090824593839004e-28	-2.2566986561580998e-32	-3.4819504961093008e-28	-1.4713877476024995e-32	-2.2746293392793195e-27	-1.49210817577606e-31	-9.205773319453011e-27	-7.012050025635997e-31	-2.153442839721002e-28	-1.559733175378e-32	-1.1471102906409998e-28	-8.11312714719e-33	-1.550254484233001e-27	-1.1926257566542996e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.880309797269201e-27	-1.4297303456639995e-31	0.0	0.0	-1.1086083116722212e-26	-8.441780371299997e-31	-6.272037967485e-26	-4.714696487632e-30	-3.2467458158800013e-28	-2.4538589657119987e-32	-1.270281234695999e-28	-8.997966895910002e-33	-9.642397293463097e-28	-7.495494919410401e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4159424344039097e-27	-1.08491505747134e-31	0.0	0.0	-6.413632210925391e-26	-4.8231879933791336e-30
-22.22082564	-3.364e-22	-4.893e-26	-1.917366102e-24	-2.914063744e-28	-5.33301186e-26	-7.396743530000001e-30	-7.70505788e-26	-1.07823964e-29	-8.167466190300001e-26	-1.2150206861999999e-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.12055359303e-25	-3.0329346792e-29	0.0	0.0	-2.129421461303e-24	-3.21735721192e-28	-6.1886410212999994e-24	-8.153927530600001e-28	-4.496031039599998e-25	-7.209738135200001e-29	-3.226468584099999e-25	-4.995356579500002e-29	-2.845558685869999e-25	-4.248303667147001e-29	-4.338962289344e-25	-3.7697030313169995e-29	-2.07843455264e-25	-1.6418229506499998e-29	-7.996689015940005e-26	-8.510019121210001e-30	-4.748341098651001e-25	-3.584350613996e-29	-1.13015154351e-25	-8.6986892834e-30	-1.0568058309569996e-24	-1.6453398381847004e-28	-1.3095558385739e-24	-1.0716747436423999e-28	-8.5550026908309e-24	-1.0870942112427102e-27	-3.462632326912e-23	-5.108499493602998e-27	-8.096185826289997e-25	-1.1342361852319998e-28	-4.312864117309999e-25	-5.903638941050004e-29	-5.832029729432e-24	-8.693816816263999e-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.072934723791999e-24	-1.0418416895601e-27	0.0	0.0	-4.1699257992912e-23	-6.150341183163098e-27	-2.3592686984400013e-22	-3.4353906745639985e-26	-1.2207129912699993e-24	-1.7849429887040005e-28	-4.776573234140995e-25	-6.549346776979999e-29	-3.6267693923083045e-24	-5.462835373150697e-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.3251397069924034e-24	-7.902713039552698e-28	0.0	0.0	-2.4125200955099253e-22	-3.5144178049595255e-26
-22.10982564	-6.829e-19	-1.923e-22	-3.893837666e-21	-1.1452278060000001e-24	-1.083490739e-22	-2.909934074e-26	-1.56688212e-22	-4.24518524e-26	-1.6570356311e-22	-4.7713007083e-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.3074084901e-22	-1.19264200223e-25	0.0	0.0	-4.32457851501e-21	-1.2644920062230002e-24	-1.2565604662199996e-20	-3.2050131609999994e-24	-9.133696677e-22	-2.8348728472e-25	-6.560409768800003e-22	-1.9661934432999997e-25	-5.773760048537e-22	-1.6686960168880007e-25	-8.806940969427e-22	-1.481221038864e-25	-4.2185985712199993e-22	-6.45157070511e-26	-1.6233658448999999e-22	-3.34476436987e-26	-9.640759193926001e-22	-1.4086190785820005e-25	-2.29541022779e-22	-3.42060451141e-26	-2.1467866494337e-21	-6.469762307388e-25	-2.6585074807263e-21	-4.211534076085e-25	-1.7370898792359995e-20	-4.2731427993473e-24	-7.031234216193e-20	-2.0082331500020005e-23	-1.6416340152269996e-21	-4.453700030470002e-25	-8.750252689670003e-22	-2.31912391252e-25	-1.184294017852e-20	-3.417804078654002e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4359599462714e-20	-4.095086472953002e-24	0.0	0.0	-8.4671941624644e-20	-2.4177417972973007e-23	-4.790185810210004e-19	-1.350510285033e-22	-2.4755638024290007e-21	-7.0084868357810035e-25	-9.69224856575e-22	-2.573227248864e-25	-7.364957468229804e-21	-2.1476084213797988e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0809746127233804e-20	-3.105779829844299e-24	0.0	0.0	-4.8982832714823415e-19	-1.381568083331443e-22
-21.99982564	-7.478e-16	-4.082e-19	-4.263296852e-18	-2.42993199e-21	-1.187686764e-19	-6.18263958e-23	-1.71979703e-19	-9.03061663e-23	-1.8121779268000001e-19	-1.0113541289300001e-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.7196617208e-19	-2.5326797499300003e-22	0.0	0.0	-4.73526302408e-18	-2.6831999649929998e-21	-1.3755776600199999e-17	-6.801564823699997e-21	-1.0008893749999998e-18	-6.0182801859e-22	-7.2008149738000015e-19	-4.1814166834000003e-22	-6.315579331322003e-19	-3.5372294307739993e-22	-9.637972044651996e-19	-3.141870148477e-22	-4.618726183839999e-19	-1.3687869790199998e-22	-1.77773071157e-19	-7.097459781090001e-23	-1.055469338467e-18	-2.988395497752999e-22	-2.5145403857100006e-19	-7.264078244699999e-23	-2.3525288055122003e-18	-1.3736926300074e-21	-2.9103662710441996e-18	-8.935206427828999e-22	-1.90186716767564e-17	-9.068778096490297e-21	-7.699137958501003e-17	-4.2619400752489986e-20	-1.7947626046289997e-18	-9.436272920260006e-22	-9.570704798509992e-19	-4.915460492519996e-22	-1.2971505418150005e-17	-7.255257177876004e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5723338502630004e-17	-8.690430519154005e-21	0.0	0.0	-9.271471808764002e-17	-5.130983127164399e-20	-5.245177625344004e-16	-2.8662986547210013e-19	-2.7072149541970003e-18	-1.4849784445230006e-21	-1.0603364441459993e-18	-5.455164226539996e-22	-8.065089777930101e-18	-4.558623049691499e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1832641176273101e-17	-6.589117916868499e-21	0.0	0.0	-5.363504037106736e-16	-2.932189833889686e-19
-21.88882564	-4.272e-13	-4.674e-16	-2.4344519429999998e-15	-2.7827914440000003e-18	-6.796426219999999e-17	-7.09202023e-20	-9.86888935e-17	-1.03780359e-19	-1.0331273722000002e-16	-1.1562723946100001e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.6996589292000002e-16	-2.90327800761e-19	0.0	0.0	-2.70441783592e-15	-3.0731192447610003e-18	-7.855290890099999e-15	-7.784792348400001e-18	-5.724665205e-16	-6.895903978000002e-19	-4.1303056232999996e-16	-4.803665103399998e-19	-3.600237734606e-16	-4.042607463749e-19	-5.499873036992999e-16	-3.5936088184679995e-19	-2.6371549023099997e-16	-1.5664401309500004e-19	-1.0153577017840003e-16	-8.126031064660001e-20	-6.028069340559001e-16	-3.4200758814170003e-19	-1.4372632200500003e-16	-8.3267663588e-20	-1.3455208562906e-15	-1.5742176545149e-18	-1.6617718201696e-15	-1.0225404573181e-18	-1.08625835665602e-14	-1.0381550460233002e-17	-4.3976530878170025e-14	-4.8791003754410026e-17	-1.0223678498699993e-15	-1.0777226694890004e-18	-5.456125009979999e-16	-5.617258360269991e-19	-7.412473029762999e-15	-8.311848285186001e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.980453380630998e-15	-9.951296790702001e-18	0.0	0.0	-5.2956984258801025e-14	-5.874230054511203e-17	-2.9964176789030003e-13	-3.28218851873e-16	-1.5421493116089999e-15	-1.696081441507001e-18	-6.046534396320003e-16	-6.237828850609998e-19	-4.607140736168899e-15	-5.220039193977097e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.753943487409899e-15	-7.539903520545098e-18	0.0	0.0	-3.063957113777099e-13	-3.357587553935451e-16
-21.77882564	-1.347e-10	-2.795e-13	-7.673691470000001e-13	-1.663526349e-15	-2.1482993920000004e-14	-4.254567879999999e-17	-3.13012794e-14	-6.24286987e-17	-3.2469181374e-14	-6.8914338133e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.5253454694e-14	-1.73888715633e-16	0.0	0.0	-8.526226016940001e-13	-1.837415064633e-15	-2.474666726200001e-12	-4.6538934504999995e-15	-1.8081928072999995e-13	-4.1268958028999985e-16	-1.3099952841800003e-13	-2.8877101304999986e-16	-1.1312589378210002e-13	-2.410329082948e-16	-1.731424532759999e-13	-2.145265743033e-16	-8.309502561699998e-14	-9.358141475000002e-17	-3.200241848849999e-14	-4.8573181979600004e-17	-1.8990770596190003e-13	-2.043147465878999e-16	-4.535837647630001e-14	-4.9891752340000015e-17	-4.249447029301e-13	-9.424935016347997e-16	-5.235059798196999e-13	-6.108876699607999e-16	-3.4231174089498008e-12	-6.207274622095599e-15	-1.3860556546260002e-11	-2.916934077996001e-14	-3.209550045188999e-13	-6.417165496639998e-16	-1.7145352203299996e-13	-3.3487705157100004e-16	-2.338636188791e-12	-4.972949357804e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.8310447153428997e-12	-5.9495429590390005e-15	0.0	0.0	-1.6691601261602902e-11	-3.5118883738999007e-14	-9.445323595047998e-11	-1.962598699682001e-13	-4.842587174705004e-13	-1.0103502708500003e-15	-1.9015603859340007e-13	-3.721642828371001e-16	-1.4527042703525991e-12	-3.1224331594465994e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1271190264164997e-12	-4.5049477131337e-15	0.0	0.0	-9.658035497689648e-11	-2.007648176813338e-13
