"energy_eV_rel_EF","TDOS_up","TDOS_down"
"-22.72015882","0.0","0.0"
"-22.610158820000002","0.0","0.0"
"-22.499158819999998","0.0","0.0"
"-22.38915882","-1.206e-29","0.0"
"-22.27915882","-8.278e-26","-6.383e-30"
"-22.16915882","-3.075e-22","-4.582e-26"
"-22.058158820000003","-6.186e-19","-1.778e-22"
"-21.948158820000003","-6.732e-16","-3.736e-19"
"-21.838158819999997","-3.834e-13","-4.249e-16"
"-21.72715882","-1.209e-10","-2.534e-13"
"-21.61715882","-2.051e-08","-8.361e-11"
"-21.50715882","-1.864e-06","-1.486e-08"
"-21.39715882","-9.028e-05","-1.417e-06"
"-21.286158819999997","-0.002307","-7.212e-05"
"-21.176158819999998","-0.03045","-0.001941"
"-21.06615882","-0.1962","-0.02705"
"-20.95515882","-0.4947","-0.1851"
"-20.84515882","0.4179","-0.5106"
"-20.735158820000002","4.886","0.2786"
"-20.624158819999998","11.48","4.736"
"-20.51415882","16.15","11.62"
"-20.40415882","19.63","16.24"
"-20.29415882","25.58","19.21"
"-20.183158820000003","35.7","25.19"
"-20.073158820000003","48.81","34.85"
"-19.963158819999997","58.71","46.42"
"-19.85215882","62.84","55.49"
"-19.74215882","62.01","58.62"
"-19.63215882","51.7","58.22"
"-19.521158819999997","43.08","51.29"
"-19.411158819999997","47.18","38.99"
"-19.301158819999998","49.94","35.25"
"-19.19115882","49.04","41.18"
"-19.08015882","55.59","48.84"
"-18.97015882","65.75","55.31"
"-18.860158820000002","71.88","56.62"
"-18.749158819999998","75.81","62.68"
"-18.63915882","79.48","76.97"
"-18.52915882","70.5","80.98"
"-18.418158820000002","46.87","73.13"
"-18.308158820000003","33.81","55.76"
"-18.198158820000003","33.1","31.7"
"-18.088158819999997","26.55","23.99"
"-17.97715882","26.4","28.38"
"-17.86715882","36.61","25.37"
"-17.75715882","32.55","25.76"
"-17.646158819999997","16.87","37.45"
"-17.536158819999997","7.982","42.7"
"-17.426158819999998","3.245","31.83"
"-17.31615882","-0.4915","14.99"
"-17.20515882","0.2195","8.591"
"-17.09515882","7.565","11.8"
"-16.985158820000002","15.1","10.79"
"-16.874158819999998","11.78","4.941"
"-16.76415882","3.067","0.7349"
"-16.65415882","-0.5768","-0.365"
"-16.543158820000002","-0.45","-0.198"
"-16.433158820000003","-0.08713","-0.03721"
"-16.323158820000003","-0.00767","-0.003305"
"-16.213158819999997","-0.0003407","-0.0001486"
"-16.10215882","-7.915e-06","-3.479e-06"
"-15.992158819999998","-9.767e-08","-4.302e-08"
"-15.882158819999999","-6.453e-10","-2.833e-10"
"-15.771158819999998","-2.295e-12","-9.985e-13"
"-15.661158819999999","-4.026e-15","-2.013e-15"
"-15.55115882","0.0","0.0"
"-15.440158819999999","0.0","0.0"
"-15.33015882","0.0","0.0"
"-15.22015882","0.0","0.0"
"-15.11015882","0.0","0.0"
"-14.99915882","0.0","0.0"
"-14.88915882","0.0","0.0"
