"energy_eV_rel_EF","TDOS_up","TDOS_down"
"-22.773825640000002","0.0","0.0"
"-22.66282564","0.0","0.0"
"-22.552825640000002","0.0","0.0"
"-22.44182564","-1.283e-29","0.0"
"-22.33182564","-8.942e-26","-6.715e-30"
"-22.22082564","-3.364e-22","-4.893e-26"
"-22.10982564","-6.829e-19","-1.923e-22"
"-21.99982564","-7.478e-16","-4.082e-19"
"-21.88882564","-4.272e-13","-4.674e-16"
"-21.77882564","-1.347e-10","-2.795e-13"
"-21.66782564","-2.274e-08","-9.224e-11"
"-21.55782564","-2.049e-06","-1.633e-08"
"-21.44682564","-9.793e-05","-1.544e-06"
"-21.33682564","-0.002456","-7.764e-05"
"-21.22582564","-0.03157","-0.002053"
"-21.114825640000003","-0.1961","-0.02795"
"-21.00482564","-0.4631","-0.1854"
"-20.893825640000003","0.4937","-0.4847"
"-20.78382564","4.783","0.3514"
"-20.672825640000003","11.15","4.669"
"-20.56282564","16.07","11.31"
"-20.451825640000003","19.32","16.12"
"-20.340825640000002","24.71","18.94"
"-20.230825640000003","35.01","24.16"
"-20.119825640000002","46.7","33.54"
"-20.009825640000003","54.32","43.87"
"-19.898825640000002","58.31","52.01"
"-19.788825640000002","60.53","56.14"
"-19.677825640000002","55.62","56.78"
"-19.567825640000002","46.3","51.64"
"-19.45682564","44.6","40.95"
"-19.34582564","47.34","37.14"
"-19.23582564","48.11","41.94"
"-19.12482564","53.69","45.3"
"-19.01482564","62.38","50.03"
"-18.90382564","68.33","54.3"
"-18.79382564","74.58","58.66"
"-18.68282564","80.58","71.24"
"-18.57282564","75.88","80.35"
"-18.46182564","52.9","76.8"
"-18.35082564","33.11","65.02"
"-18.24082564","29.64","42.97"
"-18.12982564","24.55","26.86"
"-18.01982564","23.91","26.44"
"-17.90882564","37.9","23.52"
"-17.79882564","40.41","20.0"
"-17.68782564","23.43","29.67"
"-17.57782564","9.439","40.43"
"-17.46682564","3.088","35.75"
"-17.355825640000003","-0.4905","18.7"
"-17.24582564","0.2601","6.8"
"-17.134825640000003","7.636","6.963"
"-17.024825640000003","15.01","10.22"
"-16.913825640000002","11.59","9.698"
"-16.803825640000003","3.054","4.94"
"-16.692825640000002","-0.5232","0.5998"
"-16.582825640000003","-0.4383","-0.4427"
"-16.471825640000002","-0.08888","-0.1777"
"-16.36082564","-0.008291","-0.02956"
"-16.250825640000002","-0.0003948","-0.04131"
"-16.13982564","-9.916e-06","-0.1673"
"-16.029825640000002","-1.331e-07","-0.05093"
"-15.91882564","-9.598e-10","1.492"
"-15.80882564","-3.728e-12","3.779"
"-15.69782564","-8.034e-15","3.378"
"-15.58782564","0.0","0.974"
"-15.47682564","0.0","-0.1569"
"-15.365825639999999","0.0","-0.1322"
"-15.25582564","0.0","-0.02484"
"-15.144825639999999","0.0","-0.002058"
"-15.03482564","0.0","-8.429e-05"
"-14.923825639999999","0.0","-1.779e-06"
"-14.81382564","0.0","-1.972e-08"
"-14.702825639999999","0.0","-1.16e-10"
"-14.59282564","0.0","-3.655e-13"
"-14.481825639999999","0.0","0.0"
"-14.370825639999998","0.0","0.0"
"-14.260825639999998","0.0","0.0"
"-14.149825640000001","0.0","0.0"
"-14.039825639999998","0.0","0.0"
"-13.928825640000001","0.0","0.0"
"-13.818825639999998","0.0","0.0"
"-13.707825640000001","0.0","0.0"
"-13.597825639999998","0.0","0.0"
"-13.486825640000001","0.0","0.0"
"-13.37582564","0.0","0.0"
"-13.265825640000001","0.0","0.0"
"-13.15482564","0.0","0.0"
"-13.04482564","0.0","0.0"
"-12.93382564","0.0","0.0"
"-12.82382564","0.0","0.0"
