"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-21.610633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-21.50563345","0.0","0.0","0.0","0.0","0.0","0.0"
"-21.39963345","0.0","0.0","0.0","0.0","0.0","0.0"
"-21.29463345","-2.311021108e-31","-1.3400265702900003e-31","-7.042694288409998e-31","-4.483432384507e-31","-3.831929412500001e-30","-2.4139248015699986e-30"
"-21.18863345","-1.4284244380000002e-27","-9.963552477499997e-28","-4.385517376910001e-27","-3.343350586669998e-27","-2.3842220961999993e-26","-1.7992048768399993e-26"
"-21.08363345","-4.3871295690000004e-24","-3.171381197599999e-24","-1.34820672497e-23","-1.0644423189449999e-23","-7.329025543799998e-23","-5.728311583699999e-23"
"-20.97763345","-7.712497889e-21","-5.768074843400002e-21","-2.3728778043199993e-20","-1.936561107662999e-20","-1.2897081684700005e-19","-1.0420741592700007e-19"
"-20.87263345","-7.755828745999999e-18","-5.9891974606e-18","-2.3891333624900005e-17","-2.0112964678530002e-17","-1.2983656934499997e-16","-1.0822813051400007e-16"
"-20.76663345","-4.324086904e-15","-3.452944583599999e-15","-1.3337960276099999e-14","-1.159867895531e-14","-7.247151030900003e-14","-6.240978656e-14"
"-20.66163345","-1.4114289680000002e-12","-1.1545249681700004e-12","-4.359517853760001e-12","-3.8789830510300005e-12","-2.3683125600000017e-11","-2.0871362346300012e-11"
"-20.55563345","-2.6170047770000006e-10","-2.1939041860999992e-10","-8.093838410609996e-10","-7.373542997190002e-10","-4.396015681500002e-09","-3.966847438199999e-09"
"-20.450633449999998","-2.748426931000001e-08","-2.3545223514999994e-08","-8.512718999419999e-08","-7.914660311580002e-08","-4.622801124500001e-07","-4.2580547407400015e-07"
"-20.34563345","-1.6258095829999997e-06","-1.4174073613e-06","-5.043164810370002e-06","-4.766517994939999e-06","-2.7377372827000008e-05","-2.5643515349299996e-05"
"-20.23963345","-5.3634749420000003e-05","-4.736324656600002e-05","-0.00016664310045500004","-0.0001593060988152","-0.0009043582600499998","-0.0008569889337200002"
"-20.13463345","-0.0009694253719999999","-0.0008606245290099997","-0.0030172454535699993","-0.0028954247959199994","-0.016366346144","-0.015575677803500002"
"-20.02863345","-0.009244897689999998","-0.008141758937199999","-0.0288320670001","-0.027402737989899995","-0.15627377891000005","-0.14740274561999994"
"-19.92363345","-0.0420231306","-0.035494717695999996","-0.13145503267899997","-0.11952749471979997","-0.7113773265000003","-0.64293193817"
"-19.81763345","-0.05332085307","-0.032576128621999996","-0.16928054537399995","-0.11047311086429998","-0.9090940625099997","-0.5937400347800001"
"-19.71263345","0.21555515901","0.2311586652399999","0.6589825901729996","0.7705426442544193","3.592025951679999","4.1484568795599985"
"-19.60663345","0.8694228967000002","0.7332454023999999","2.6652050423499976","2.4254845006879995","14.4297029343","13.066724828770003"
"-19.50163345","1.3701849248000006","0.811738424659","4.21159212406","2.636082629494001","22.66065992129","14.217306471609993"
"-19.39563345","1.5642203197000002","0.6457261169999999","5.1409877908000015","2.307814066339999","27.494422442","12.329425448399999"
