"energy_eV_rel_EF","TDOS_up","TDOS_down"
"-21.685224950000002","0.0","0.0"
"-21.57922495","0.0","0.0"
"-21.473224950000002","0.0","0.0"
"-21.36722495","-4.23e-30","0.0"
"-21.26222495","-2.219e-26","-5.434e-29"
"-21.156224950000002","-6.61e-23","-2.524e-25"
"-21.05022495","-1.118e-19","-6.643e-22"
"-20.944224950000002","-1.072e-16","-9.98e-19"
"-20.83822495","-5.675e-14","-8.558e-16"
"-20.732224950000003","-1.732e-11","-4.052e-13"
"-20.62622495","-2.991e-09","-1.126e-10"
"-20.520224950000003","-2.911e-07","-1.774e-08"
"-20.41422495","-1.592e-05","-1.583e-06"
"-20.30822495","-0.0004882","-7.952e-05"
"-20.20222495","-0.008353","-0.002221"
"-20.09622495","-0.07899","-0.03372"
"-19.99022495","-0.3982","-0.2641"
"-19.88422495","-0.887","-0.9067"
"-19.778224950000002","0.5786","-0.1503"
"-19.67222495","8.345","6.923"
"-19.56722495","21.56","17.13"
"-19.461224950000002","32.14","18.88"
"-19.35522495","41.62","22.54"
"-19.249224950000002","55.15","43.61"
"-19.14322495","62.35","58.47"
"-19.037224950000002","62.23","51.87"
"-18.93122495","70.62","53.13"
"-18.825224950000003","102.7","72.66"
"-18.71922495","167.5","93.67"
"-18.613224950000003","226.3","126.3"
"-18.50722495","207.5","187.2"
"-18.40122495","128.2","227.5"
"-18.29522495","63.58","179.9"
"-18.18922495","30.5","85.39"
"-18.08322495","21.16","28.07"
"-17.97722495","24.72","12.98"
"-17.87222495","22.14","13.31"
"-17.76622495","10.98","18.54"
"-17.66022495","2.043","19.96"
"-17.554224950000002","-0.6607","11.96"
"-17.44822495","-0.4865","2.608"
"-17.342224950000002","-0.1229","-0.7323"
"-17.23622495","-0.01586","-0.528"
"-17.130224950000002","-0.001114","-0.1166"
"-17.02422495","-4.331e-05","-0.01269"
"-16.918224950000003","-9.384e-07","-0.001366"
"-16.81222495","-1.139e-08","-0.009149"
"-16.706224950000003","-7.765e-11","-0.06687"
"-16.60022495","-2.976e-13","-0.1986"
"-16.49422495","0.0","0.1136"
"-16.38822495","0.0","1.915"
"-16.28222495","0.0","3.945"
"-16.17622495","0.0","3.198"
"-16.07122495","0.0","0.875"
"-15.965224949999998","0.0","-0.1621"
"-15.85922495","0.0","-0.138"
"-15.753224949999998","0.0","-0.02898"
"-15.64722495","0.0","-0.002831"
"-15.541224949999998","0.0","-0.0001438"
"-15.43522495","0.0","-3.956e-06"
"-15.329224949999999","0.0","-6.006e-08"
"-15.22322495","0.0","-5.086e-10"
"-15.117224949999999","0.0","-2.417e-12"
"-15.01122495","0.0","-6.288e-15"
"-14.90522495","0.0","0.0"
"-14.799224950000001","0.0","0.0"
"-14.69322495","0.0","0.0"
"-14.587224949999998","0.0","0.0"
"-14.48122495","0.0","0.0"
"-14.37622495","0.0","0.0"
"-14.270224950000001","0.0","0.0"
"-14.16422495","0.0","0.0"
"-14.058224949999998","0.0","0.0"
"-13.95222495","0.0","0.0"
"-13.846224949999998","0.0","0.0"
"-13.74022495","0.0","0.0"
"-13.634224949999998","0.0","0.0"
"-13.52822495","0.0","0.0"
"-13.422224949999999","0.0","0.0"
"-13.31622495","0.0","0.0"
"-13.210224949999999","0.0","0.0"
"-13.10422495","0.0","0.0"
"-12.998224949999999","0.0","0.0"
"-12.892224950000001","0.0","0.0"
"-12.78622495","0.0","0.0"
"-12.681224949999999","0.0","0.0"
"-12.575224949999999","0.0","0.0"
"-12.46922495","0.0","0.0"
"-12.36322495","0.0","0.0"
"-12.25722495","0.0","0.0"
"-12.15122495","0.0","0.0"
"-12.04522495","0.0","0.0"
"-11.93922495","0.0","0.0"
"-11.83322495","0.0","0.0"
"-11.72722495","0.0","0.0"
"-11.62122495","0.0","0.0"
"-11.515224949999999","0.0","0.0"
"-11.409224949999999","0.0","0.0"
"-11.303224949999999","0.0","0.0"
"-11.197224949999999","0.0","0.0"
"-11.091224949999999","0.0","0.0"
"-10.986224949999999","0.0","0.0"
"-10.880224949999999","0.0","0.0"
"-10.774224949999999","0.0","0.0"
"-10.668224949999999","0.0","0.0"
"-10.56222495","0.0","0.0"
"-10.45622495","0.0","0.0"
"-10.35022495","0.0","0.0"
"-10.24422495","0.0","0.0"
"-10.13822495","0.0","0.0"
"-10.03222495","0.0","0.0"
"-9.92622495","0.0","0.0"
"-9.82022495","0.0","0.0"
"-9.71422495","0.0","0.0"
"-9.608224949999999","-2.857e-30","0.0"
"-9.502224949999999","-1.577e-26","0.0"
"-9.396224949999999","-4.807e-23","-9.082e-31"
"-9.29122495","-8.343e-20","-6.6e-27"
"-9.18522495","-8.242e-17","-2.136e-23"
"-9.079224949999999","-4.527e-14","-3.937e-20"
"-8.973224949999999","-1.428e-11","-4.132e-17"
"-8.867224949999999","-2.573e-09","-2.389e-14"
"-8.761224949999999","-2.624e-07","-8.094e-12"
"-8.65522495","-1.51e-05","-1.551e-09"
"-8.54922495","-0.0004885","-1.683e-07"
"-8.44322495","-0.008797","-1.031e-05"
"-8.33722495","-0.08657","-0.0003547"
"-8.23122495","-0.4437","-0.006786"
"-8.12522495","-0.9828","-0.07059"
"-8.01922495","0.4878","-0.3754"
"-7.91322495","8.351","-0.788"
"-7.80722495","24.61","0.9702"
"-7.70122495","43.07","8.33"
"-7.59622495","51.09","18.47"
"-7.49022495","51.23","23.9"
"-7.38422495","60.77","24.4"
"-7.27822495","83.55","25.39"
"-7.172224949999999","110.6","28.84"
"-7.066224949999999","122.0","32.93"
"-6.960224949999999","113.0","38.68"
"-6.854224949999999","108.9","49.62"
"-6.748224949999999","115.6","64.16"
"-6.642224949999999","104.3","75.36"
"-6.536224949999999","69.18","81.33"
"-6.4302249499999995","45.81","85.69"
"-6.32422495","49.17","88.06"
"-6.21822495","59.83","82.58"
"-6.11222495","63.39","70.11"
"-6.00622495","61.27","66.07"
"-5.90022495","59.5","75.55"
"-5.79522495","54.46","81.14"
"-5.68922495","53.45","74.51"
"-5.58322495","81.34","65.9"
"-5.47722495","120.8","57.34"
"-5.37122495","129.0","41.13"
"-5.265224949999999","115.0","25.52"
"-5.159224949999999","112.1","24.11"
"-5.053224949999999","116.0","24.83"
"-4.947224949999999","107.0","14.18"
"-4.841224949999999","85.85","2.702"
"-4.735224949999999","71.63","2.18"
"-4.629224949999999","81.93","13.09"
