energy_eV_rel_EF	TDOS_up	TDOS_down	Co_s_up	Co_s_down	Co_px_up	Co_px_down	Co_py_up	Co_py_down	Co_pz_up	Co_pz_down	Co_dxy_up	Co_dxy_down	Co_dyz_up	Co_dyz_down	Co_dz2_up	Co_dz2_down	Co_dxz_up	Co_dxz_down	Co_dx2y2_up	Co_dx2y2_down	Co_p_total_up	Co_p_total_down	Co_d_total_up	Co_d_total_down	Co_total_up	Co_total_down	H_s_up	H_s_down	H_px_up	H_px_down	H_py_up	H_py_down	H_pz_up	H_pz_down	H_dxy_up	H_dxy_down	H_dyz_up	H_dyz_down	H_dz2_up	H_dz2_down	H_dxz_up	H_dxz_down	H_dx2y2_up	H_dx2y2_down	H_p_total_up	H_p_total_down	H_d_total_up	H_d_total_down	H_total_up	H_total_down	O_s_up	O_s_down	O_px_up	O_px_down	O_py_up	O_py_down	O_pz_up	O_pz_down	O_dxy_up	O_dxy_down	O_dyz_up	O_dyz_down	O_dz2_up	O_dz2_down	O_dxz_up	O_dxz_down	O_dx2y2_up	O_dx2y2_down	O_p_total_up	O_p_total_down	O_d_total_up	O_d_total_down	O_total_up	O_total_down
-21.610633449999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-21.50563345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-21.39963345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-21.29463345	-5.422e-30	-3.391e-30	-2.116826e-31	-1.2201721000000003e-31	-5.0195939999999984e-33	-2.6234514999999995e-33	-4.703721199999999e-33	-2.5579082e-33	-4.5668267999999994e-33	-3.305404981e-33	-5.619125999999999e-34	-5.1379258000000005e-34	-1.6421945999999995e-33	-1.0082454980000001e-33	-1.0905288000000005e-33	-6.6203315999999974e-34	-1.3357687999999999e-33	-8.929960900000001e-34	-4.98964e-34	-4.216150199999999e-34	-1.4290141999999997e-32	-8.486764680999999e-33	-5.1293687999999995e-33	-3.498682348e-33	-2.311021108e-31	-1.3400265702900003e-31	-5.908367999999998e-31	-3.7579588000000007e-31	-1.5910689794e-32	-1.2466843219600007e-32	-2.1987689047e-32	-1.4734803231099994e-32	-7.553425000000002e-32	-4.5345711999999986e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.13432628841e-31	-7.254735845069999e-32	0.0	0.0	-7.042694288409998e-31	-4.483432384507e-31	-3.714729000000001e-30	-2.3349143999999985e-30	-1.87454965e-32	-1.6244816460000004e-32	-3.040358599999999e-32	-1.691035581e-32	-6.805133e-32	-4.58552293e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1720041249999999e-31	-7.901040157000001e-32	0.0	0.0	-3.831929412500001e-30	-2.4139248015699986e-30
-21.18863345	-3.371e-26	-2.526e-26	-1.3031380000000002e-27	-9.039660999999998e-28	-3.2827869999999984e-29	-2.070452e-29	-3.064013400000001e-29	-2.0169737e-29	-2.7699112e-29	-2.490091359999999e-29	-3.949484e-30	-3.9403579999999995e-30	-1.0805385e-29	-7.687122950000002e-30	-6.921272e-30	-4.875367200000001e-30	-8.884857e-30	-6.864557e-30	-3.558324e-30	-3.246571999999999e-30	-9.1167116e-29	-6.57751706e-29	-3.4119322e-29	-2.661397715e-29	-1.4284244380000002e-27	-9.963552477499997e-28	-3.678583000000001e-27	-2.8021951999999982e-27	-1.0139838845e-28	-9.344693695000005e-29	-1.3774588846e-28	-1.1059378971999998e-28	-4.677900999999998e-28	-3.371146600000002e-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.069343769099998e-28	-5.411553866700002e-28	0.0	0.0	-4.385517376910001e-27	-3.343350586669998e-27	-2.3109839999999992e-26	-1.7400703999999994e-26	-1.1994819900000004e-28	-1.2194425749999994e-28	-1.859023630000001e-28	-1.269345609e-28	-4.265304e-28	-3.4246595e-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.3238096200000015e-28	-5.913447683999999e-28	0.0	0.0	-2.3842220961999993e-26	-1.7992048768399993e-26
-21.08363345	-1.036e-22	-8.042e-23	-3.999364e-24	-2.8764079999999992e-24	-1.0179469999999998e-25	-6.621531000000003e-26	-9.512153000000001e-26	-6.453613999999997e-26	-8.501416400000001e-26	-7.934510419999998e-26	-1.2336279999999998e-26	-1.257412e-26	-3.3483991000000003e-26	-2.4522902499999992e-26	-2.1309466999999997e-26	-1.5505625999999998e-26	-2.756984999999999e-26	-2.19076419e-26	-1.1135586999999998e-26	-1.0366353000000001e-26	-2.81930394e-25	-2.1009655419999995e-25	-1.0583517499999998e-25	-8.487664339999999e-26	-4.3871295690000004e-24	-3.171381197599999e-24	-1.1308337e-23	-8.921396999999998e-24	-3.1269573739999995e-25	-2.9766876717e-25	-4.239958123000001e-25	-3.5230452228000006e-25	-1.4370386999999995e-24	-1.0730529000000007e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1737302496999997e-24	-1.723026189450001e-24	0.0	0.0	-1.34820672497e-23	-1.0644423189449999e-23	-7.103706999999998e-23	-5.539975199999999e-23	-3.70092874e-25	-3.884724260000001e-25	-5.705495639999999e-25	-4.0435905099999995e-25	-1.3125429999999994e-24	-1.0905323599999998e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2531854379999994e-24	-1.883363837e-24	0.0	0.0	-7.329025543799998e-23	-5.728311583699999e-23
-20.97763345	-1.823e-19	-1.463e-19	-7.02524e-21	-5.229932000000002e-21	-1.807389e-22	-1.210067e-22	-1.6908563e-22	-1.1799964999999996e-22	-1.4938155999999998e-22	-1.4446542770000006e-22	-2.2076860000000007e-23	-2.2926544000000005e-23	-5.943528999999999e-23	-4.470003770000003e-23	-3.7566619000000017e-23	-2.8178764000000007e-23	-4.9004589999999995e-23	-3.9953315000000004e-23	-1.996844e-23	-1.8912405e-23	-4.992060899999999e-22	-3.8347177770000006e-22	-1.88051799e-22	-1.5467106570000004e-22	-7.712497889e-21	-5.768074843400002e-21	-1.9902631999999994e-20	-1.623088099999999e-20	-5.521825627999998e-22	-5.4174642483e-22	-7.471544804000003e-22	-6.412717518000004e-22	-2.5268089999999996e-21	-1.9517119000000018e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.8261460432e-21	-3.134730076630002e-21	0.0	0.0	-2.3728778043199993e-20	-1.936561107662999e-20	-1.2500240000000006e-19	-1.0077993000000007e-19	-6.5388954500000005e-22	-7.071498130000003e-22	-1.002240402e-21	-7.36060894e-22	-2.312286899999999e-21	-1.9842752200000004e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.968416846999999e-21	-3.4274859270000004e-21	0.0	0.0	-1.2897081684700005e-19	-1.0420741592700007e-19
-20.87263345	-1.835e-16	-1.519e-16	-7.05882e-18	-5.4287120000000005e-18	-1.8360080000000004e-19	-1.2624439999999996e-19	-1.7197153999999999e-19	-1.2316968e-19	-1.5016958e-19	-1.501615695e-19	-2.262057999999999e-20	-2.3865974999999997e-20	-6.038549e-20	-4.65162741e-20	-3.7890766e-20	-2.923240099999999e-20	-4.986437000000002e-20	-4.1596558999999997e-20	-2.0505620000000004e-20	-1.9698602e-20	-5.0574192e-19	-3.9957564949999993e-19	-1.91266826e-19	-1.609098111e-19	-7.755828745999999e-18	-5.9891974606e-18	-2.0038353000000006e-17	-1.6857185000000003e-17	-5.578855909e-19	-5.629367120299999e-19	-7.532590340000004e-19	-6.6637446650000005e-19	-2.5418359999999996e-18	-2.0264685000000003e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.8529806249e-18	-3.2557796785300004e-18	0.0	0.0	-2.3891333624900005e-17	-2.0112964678530002e-17	-1.2583787999999998e-16	-1.0466732000000007e-16	-6.61070412e-19	-7.348733470000002e-19	-1.007103133e-18	-7.6489586699999955e-19	-2.3305158000000003e-18	-2.0610412999999994e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.998689345e-18	-3.560810513999999e-18	0.0	0.0	-1.2983656934499997e-16	-1.0822813051400007e-16
-20.76663345	-1.024e-13	-8.76e-14	-3.931748e-15	-3.128722999999999e-15	-1.034375e-16	-7.316012e-17	-9.711084e-17	-7.140651000000001e-17	-8.375595599999999e-17	-8.668014450000001e-17	-1.2878662999999999e-17	-1.379964e-17	-3.4076961000000003e-17	-2.6884262300000013e-17	-2.1194890999999998e-17	-1.6839153000000005e-17	-2.817903000000002e-17	-2.4056398799999987e-17	-1.1705062999999999e-17	-1.1395355000000002e-17	-2.84304296e-16	-2.3124677450000004e-16	-1.0803460800000002e-16	-9.297480910000001e-17	-4.324086904e-15	-3.452944583599999e-15	-1.1186680999999999e-14	-9.72105e-15	-3.126429079000001e-16	-3.247946655100001e-16	-4.211364682000001e-16	-3.845223898000001e-16	-1.4174999e-15	-1.1683118999999997e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1512792761e-15	-1.8776289553099997e-15	0.0	0.0	-1.3337960276099999e-14	-1.159867895531e-14	-7.023723000000003e-14	-6.0355552e-14	-3.7070060900000016e-16	-4.240885530000001e-16	-5.609829e-16	-4.4137525699999994e-16	-1.3025967999999999e-15	-1.1887707500000008e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.234280309e-15	-2.054234560000001e-15	0.0	0.0	-7.247151030900003e-14	-6.240978656e-14
-20.66163345	-3.346e-11	-2.93e-11	-1.2822140000000001e-12	-1.0458161000000005e-12	-3.410757000000001e-14	-2.4567320000000003e-14	-3.202676e-14	-2.399431600000001e-14	-2.7376767000000004e-14	-2.9007790399999995e-14	-4.288505e-15	-4.624662e-15	-1.1250111999999997e-14	-9.00706147e-15	-6.940962e-15	-5.624837600000001e-15	-9.319920000000005e-15	-8.0620717e-15	-3.904371999999999e-15	-3.820809000000002e-15	-9.351109700000001e-14	-7.756942640000001e-14	-3.5703871e-14	-3.1139441770000005e-14	-1.4114289680000002e-12	-1.1545249681700004e-12	-3.656285e-12	-3.2510353000000004e-12	-1.0254189539000005e-13	-1.0866786794999992e-13	-1.3782785837000002e-13	-1.2865233308000008e-13	-4.628631e-13	-3.9062755000000007e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.0323285376e-13	-6.279477510300001e-13	0.0	0.0	-4.359517853760001e-12	-3.8789830510300005e-12	-2.2952240000000016e-11	-2.0184173000000013e-11	-1.2166266000000003e-13	-1.4189185950000002e-13	-1.8298964e-13	-1.476837567999999e-13	-4.2623330000000003e-13	-3.9761373000000033e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.308856e-13	-6.871893463000003e-13	0.0	0.0	-2.3683125600000017e-11	-2.0871362346300012e-11
