energy_eV_rel_EF	TDOS_up	TDOS_down	Co_s_up	Co_s_down	Co_px_up	Co_px_down	Co_py_up	Co_py_down	Co_pz_up	Co_pz_down	Co_dxy_up	Co_dxy_down	Co_dyz_up	Co_dyz_down	Co_dz2_up	Co_dz2_down	Co_dxz_up	Co_dxz_down	Co_dx2y2_up	Co_dx2y2_down	Co_p_total_up	Co_p_total_down	Co_d_total_up	Co_d_total_down	Co_total_up	Co_total_down	H_s_up	H_s_down	H_px_up	H_px_down	H_py_up	H_py_down	H_pz_up	H_pz_down	H_dxy_up	H_dxy_down	H_dyz_up	H_dyz_down	H_dz2_up	H_dz2_down	H_dxz_up	H_dxz_down	H_dx2y2_up	H_dx2y2_down	H_p_total_up	H_p_total_down	H_d_total_up	H_d_total_down	H_total_up	H_total_down	O_s_up	O_s_down	O_px_up	O_px_down	O_py_up	O_py_down	O_pz_up	O_pz_down	O_dxy_up	O_dxy_down	O_dyz_up	O_dyz_down	O_dz2_up	O_dz2_down	O_dxz_up	O_dxz_down	O_dx2y2_up	O_dx2y2_down	O_p_total_up	O_p_total_down	O_d_total_up	O_d_total_down	O_total_up	O_total_down
-21.685224950000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-21.57922495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-21.473224950000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-21.36722495	-4.23e-30	0.0	-1.7658544e-31	0.0	-3.964143660000001e-33	0.0	-5.115104337000002e-33	0.0	-8.626118074000001e-33	0.0	-6.2338281013999965e-34	0.0	-2.9678631960000004e-33	0.0	-3.1529928379999985e-34	0.0	-2.9698304403000008e-33	0.0	-4.3945754545e-34	0.0	-1.7705366071000003e-32	0.0	-7.31583327569e-33	0.0	-2.0160663934669e-31	0.0	-4.276868668999999e-31	0.0	-1.1981918835500002e-32	0.0	-1.3654282521790006e-32	0.0	-5.737259344e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.300879479729001e-32	0.0	0.0	0.0	-5.106956616972899e-31	0.0	-2.922528412999999e-30	0.0	-1.4941209846699998e-32	0.0	-2.2026463919099993e-32	0.0	-5.286721574299996e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.983488950879994e-32	0.0	0.0	0.0	-3.0123633025087988e-30	0.0
-21.26222495	-2.219e-26	-5.434e-29	-9.26049906e-28	-1.9408763999999995e-30	-2.079778649e-29	-5.120666059999999e-32	-2.682396949000001e-29	-5.3610106e-32	-4.5230768215000005e-29	-3.754652315000001e-32	-3.2692208100000005e-30	-6.923218512e-33	-1.5562978597000004e-29	-1.586414911e-32	-1.6556724160000002e-30	-1.0696617089999996e-32	-1.5570871785e-29	-1.2775034610000005e-32	-2.3046239418e-30	-5.9810206e-33	-9.285252419500001e-29	-1.4236328975e-31	-3.8363367549800006e-29	-5.2240039922e-32	-1.0572657977448001e-27	-2.1354797296719997e-30	-2.243186914999998e-27	-6.001988609999997e-30	-6.284866611179998e-29	-2.0491305488499998e-31	-7.162785659790004e-29	-2.2788333427500005e-31	-3.0092027240000004e-28	-7.306508709999997e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.353967951097e-28	-1.1634472601599997e-30	0.0	0.0	-2.678583710109698e-27	-7.165435870159997e-30	-1.5331006749999996e-26	-3.7473308199999984e-29	-7.837255528800003e-29	-2.5891153357000014e-31	-1.1553628843899994e-28	-2.598036564000001e-31	-2.7728754917500003e-28	-7.29409130833e-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.71196392902e-28	-1.2481243208030003e-30	0.0	0.0	-1.5802203142901995e-26	-3.872143252080298e-29
-21.156224950000002	-6.61e-23	-2.524e-25	-2.7586040099999998e-24	-9.017409499999999e-27	-6.196705750000001e-26	-2.3841349e-28	-7.990369041999998e-26	-2.4733506e-28	-1.3473828535499993e-25	-1.8255090849999997e-28	-9.738355030000003e-27	-3.2564414499999983e-29	-4.6346200064e-26	-7.355623169999999e-29	-4.933634600000001e-27	-4.9225223199999995e-29	-4.6381525927000003e-26	-5.958322989e-29	-6.867150095999999e-27	-2.7825999999999983e-29	-2.766090332749999e-25	-6.682994585e-28	-1.14266865717e-25	-2.4275509928999995e-28	-3.1494799089919996e-24	-9.928464057789999e-27	-6.683431182000006e-24	-2.7892427460000027e-26	-1.8719494652259998e-25	-9.474269892599994e-28	-2.1338864501350008e-25	-1.0590934248699996e-27	-8.964940202000004e-25	-3.397786291e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2970776117361005e-24	-5.404306705129999e-27	0.0	0.0	-7.980508793736107e-24	-3.3296734165130025e-26	-4.566417385e-23	-1.7406237129999995e-25	-2.334622927899999e-25	-1.1966600681000002e-27	-3.441565932699999e-25	-1.220496679e-27	-8.260415517399999e-25	-3.388767274539999e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4036604377999997e-24	-5.805924021639999e-27	0.0	0.0	-4.70678342878e-23	-1.7986829532163994e-25
-21.05022495	-1.118e-19	-6.643e-22	-4.66445937e-21	-2.3738799e-23	-1.0478341730000001e-22	-6.2676758e-25	-1.351174148e-22	-6.477763800000002e-25	-2.2772178939200005e-22	-4.908642909000001e-25	-1.6467484710000003e-23	-8.620838000000001e-26	-7.836153249999999e-23	-1.9372504970000004e-25	-8.352539159999997e-24	-1.2910198000000001e-25	-7.841186912999999e-23	-1.5740046510000003e-25	-1.1614245249999998e-23	-7.344375300000003e-26	-4.67622621492e-22	-1.7654082509000004e-24	-1.9320767074999997e-22	-6.3987962780000015e-25	-5.325289662242e-21	-2.61440868787e-23	-1.1302969929999996e-20	-7.342853529999996e-23	-3.166139514749998e-22	-2.4898413293999978e-24	-3.60921645135e-22	-2.7889595796999997e-24	-1.5160502439999999e-21	-8.944231560000005e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.19358584061e-21	-1.42230324691e-23	0.0	0.0	-1.3496555770609996e-20	-8.765156776909996e-23	-7.72345517e-20	-4.58072257e-22	-3.948152202900001e-22	-3.145618679100002e-24	-5.821185815199999e-22	-3.2263059349999998e-24	-1.3970497272100004e-21	-8.920361032199998e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3739835290200006e-21	-1.52922856463e-23	0.0	0.0	-7.960853522902001e-20	-4.733645426463e-22
-20.944224950000002	-1.072e-16	-9.98e-19	-4.475022639999999e-18	-3.5666179000000007e-20	-1.0054344379999999e-19	-9.4056709e-22	-1.296099724e-19	-9.678025500000001e-22	-2.1833412264999995e-19	-7.564733105999999e-22	-1.5796419509999998e-20	-1.3046404000000005e-22	-7.512968763e-20	-2.9118599769999995e-22	-8.028264089999997e-21	-1.9308686399999993e-22	-7.517716011999999e-20	-2.374960582e-22	-1.1142366649999996e-20	-1.10684829e-22	-4.484875388499999e-19	-2.6648429506e-21	-1.8527389799999998e-19	-9.629177888999998e-22	-5.108784076849998e-18	-3.929393973950001e-20	-1.0845020310000001e-17	-1.1032157459999995e-19	-3.0385783806300014e-19	-3.7328075942000026e-21	-3.46359388652e-19	-4.1924507816e-21	-1.4546147930000003e-18	-1.3441460720000003e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1048320197150002e-18	-2.1366719095800006e-20	0.0	0.0	-1.2949852329715001e-17	-1.3168829369579996e-19	-7.409026010000003e-17	-6.881151859999999e-19	-3.7879784537e-19	-4.718360942999996e-21	-5.585040192600002e-19	-4.873153471000003e-21	-1.3402452887200006e-18	-1.3404431970800006e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2775471533500007e-18	-2.2995946384800005e-20	0.0	0.0	-7.636780725335003e-17	-7.111111323847999e-19
-20.83822495	-5.675e-14	-8.558e-16	-2.3675311399999994e-15	-3.0589984e-17	-5.321635009999999e-17	-8.059636699999997e-19	-6.855173330000004e-17	-8.244176999999999e-19	-1.15411154178e-16	-6.681868856000001e-19	-8.356171189999997e-18	-1.1290877300000003e-19	-3.9717690849999996e-17	-2.4983506119999997e-19	-4.263999670000003e-18	-1.6462353300000007e-19	-3.973281986000001e-17	-2.0467874030000003e-19	-5.897422339999999e-18	-9.526538699999998e-20	-2.3717923757800003e-16	-2.2985682556e-18	-9.796810391e-17	-8.273114945000001e-19	-2.7026784814879994e-15	-3.37158637501e-17	-5.739430781e-15	-9.463658569999996e-17	-1.608158313044e-16	-3.1933859942e-18	-1.83370054718e-16	-3.598806058599999e-18	-7.695926005000003e-16	-1.1530580260000002e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1137784865224004e-15	-1.8322772312800002e-17	0.0	0.0	-6.8532092675224e-15	-1.1295935801279995e-16	-3.919995329e-14	-5.900009369999997e-16	-2.004580550600001e-16	-4.037612735999997e-18	-2.955654002899999e-16	-4.207046081e-18	-7.092217723299998e-16	-1.14976712381e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2052452276799998e-15	-1.9742330055099997e-17	0.0	0.0	-4.040519851768e-14	-6.097432670550997e-16
-20.732224950000003	-1.732e-11	-4.052e-13	-7.222165550000004e-13	-1.4485249200000003e-14	-1.6245047499999993e-14	-3.813974099999999e-16	-2.090447303e-14	-3.8748279000000013e-16	-3.5151574131000004e-14	-3.2704206140000004e-16	-2.548873937000001e-15	-5.404026600000001e-17	-1.210079035e-14	-1.183354791e-16	-1.30894317e-15	-7.7430951e-17	-1.2098921449999996e-14	-9.746855420000001e-17	-1.8006634400000005e-15	-4.5289201999999997e-17	-7.230109466099999e-14	-1.0959222614e-15	-2.9858192347e-14	-3.925644523e-16	-8.243758420080004e-13	-1.5973735913700002e-14	-1.7518415790000003e-12	-4.481710236999999e-14	-4.9081368521599997e-14	-1.50761477028e-15	-5.6005872908000003e-14	-1.7055025025999999e-15	-2.3488326520000004e-13	-5.461536529999999e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.399705066296e-13	-8.67465380288e-15	0.0	0.0	-2.0918120856296e-12	-5.3491756172879985e-14	-1.196345224e-11	-2.7931538710000004e-13	-6.117424704000002e-14	-1.9067544099e-15	-9.021453895000004e-14	-2.007413301000001e-15	-2.1641638700599994e-13	-5.4454710153000025e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.67805172996e-13	-9.359638726200004e-15	0.0	0.0	-1.2331257412996e-11	-2.8867502582620005e-13
