"energy_relative_to_EF_eV","O258_p_total_down","O258_p_total_up","O259_p_total_down","O259_p_total_up","O294_p_total_down","O294_p_total_up"
"-15.03759000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.98747000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.93734000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.88722000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.83709000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.78697000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.73684000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.68672000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.63659000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.58647000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.53634000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.48622000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.43609000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.38596000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.33584000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.28571000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.23559000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.18546000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.13534000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.08521000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-14.03509000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.98496000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.93484000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.88471000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.83459000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.78446000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.73434000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.68421000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
