energy_eV_rel_EF,Coact_16_dx2-y2_down,Coact_16_dx2-y2_up,Coact_16_dxy_down,Coact_16_dxy_up,Coact_16_dxz_down,Coact_16_dxz_up,Coact_16_dyz_down,Coact_16_dyz_up,Coact_16_dz2_down,Coact_16_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_51_px_down,neighbor_51_px_up,neighbor_51_py_down,neighbor_51_py_up,neighbor_51_pz_down,neighbor_51_pz_up,neighbor_51_s_down,neighbor_51_s_up
-7.94016,0.002341,0.1732,0.006569,0.7745,0.001372,0.5464,0.0002947,0.341,0.02331,0.06869,0.0001337,0.03655,0.0005515,0.006414,0.001466,0.1123,0.09522,0.2072,0.07312,0.08527,0.5113,0.3231,16.63,43.39,0.03107,0.01123,0.004657,0.005212,0.0001421,0.0003282,0.009463,0.02308
-7.83016,0.003217,0.1967,0.008604,0.9838,0.003496,0.8173,0.0009706,0.6518,0.02169,0.09042,9.02e-05,0.04365,0.0002496,0.00956,0.00204,0.1509,0.1098,0.1079,0.08278,0.04368,0.5011,0.134,24.1,50.71,0.0278,0.004369,0.0001455,0.004157,0.0001459,0.0003994,0.01136,0.02045
-7.72016,0.003818,0.1799,0.008606,0.7589,0.007241,0.7807,0.001891,0.9916,0.01511,0.07335,0.0002475,0.03533,0.0001282,0.009631,0.002455,0.106,0.1234,0.04945,0.08368,0.02591,0.3494,0.07617,28.72,67.66,0.01212,0.002829,0.002234,0.005316,0.0001045,0.0002821,0.01415,0.01259
-7.60916,0.004823,0.4355,0.009739,0.3969,0.01445,0.4026,0.00282,0.904,0.01585,0.03863,0.0006391,0.02227,0.0002515,0.01262,0.002336,0.04217,0.1384,0.02385,0.08466,0.0228,0.2831,0.05596,31.73,84.17,0.00365,0.002649,0.003687,0.007028,6.155e-05,0.0002529,0.01839,0.007495
-7.49916,0.005027,1.02,0.009761,0.2347,0.01956,0.08596,0.003066,0.3921,0.01758,0.027,0.0009591,0.01968,0.0004916,0.03073,0.001445,0.02513,0.1148,0.02692,0.06344,0.03088,0.2234,0.04856,34.91,88.62,0.002473,0.002877,0.003693,0.006217,5.86e-05,0.0005251,0.01829,0.006353
-7.38916,0.003367,1.311,0.006127,0.2227,0.01501,0.006128,0.001667,0.0588,0.01205,0.06864,0.0008495,0.02648,0.0006641,0.05186,0.0007151,0.05228,0.06915,0.03205,0.03196,0.03224,0.1146,0.05458,38.05,87.91,0.002626,0.003164,0.004464,0.00317,0.0002079,0.0009726,0.01587,0.005597
-7.27816,0.001445,0.8951,0.002513,0.2054,0.006929,0.04206,0.001075,0.02638,0.004567,0.1888,0.0006992,0.02551,0.0007716,0.04971,0.0007901,0.0919,0.04131,0.03282,0.01234,0.02072,0.03616,0.09453,41.83,89.66,0.002601,0.003596,0.005418,0.001622,0.0005131,0.001168,0.01358,0.007841
-7.16816,-0.000146,0.4123,0.00127,0.1902,0.002702,0.1002,0.008263,0.06393,-0.0009467,0.2757,0.001757,0.01502,0.002329,0.03154,0.001759,0.0955,0.05586,0.03598,0.0077,0.01266,0.04744,0.1254,43.61,89.16,0.002097,0.003347,0.00546,0.001925,0.0007122,0.001091,0.01218,0.01352
-7.05816,-0.001288,0.298,0.001643,0.18,0.001331,0.2003,0.02081,0.0851,-0.004268,0.2715,0.003846,0.00678,0.005628,0.01753,0.003696,0.06427,0.08877,0.04797,0.01001,0.01705,0.1099,0.1085,42.59,80.97,0.001868,0.002277,0.005462,0.002004,0.0006302,0.0009478,0.01123,0.01656
-6.94816,0.005785,0.2779,0.007495,0.1515,0.001235,0.379,0.02381,0.1603,0.01539,0.3715,0.006302,0.00622,0.01056,0.01482,0.01815,0.06986,0.07892,0.08388,0.008674,0.03672,0.1194,0.1152,42.97,71.61,0.002511,0.002349,0.004512,0.001657,0.000748,0.0008474,0.008646,0.02447
-6.83716,0.02747,0.2208,0.02443,0.1213,0.004116,0.4367,0.02486,0.2439,0.07528,0.4888,0.0126,0.008413,0.0229,0.0172,0.05935,0.09261,0.05742,0.1011,0.004103,0.06559,0.09477,0.1414,49.54,67.13,0.003898,0.003986,0.003005,0.001337,0.001428,0.0007716,0.008784,0.03758
-6.72716,0.03846,0.14,0.03365,0.1167,0.009114,0.2947,0.0326,0.192,0.1069,0.3366,0.01757,0.00676,0.0328,0.01492,0.08178,0.06083,0.07163,0.07296,0.006198,0.08482,0.1123,0.1213,56.83,60.99,0.004751,0.0044,0.002633,0.002199,0.00174,0.000625,0.01285,0.03645
-6.61716,0.02019,0.08335,0.01923,0.1581,0.008872,0.244,0.02874,0.09172,0.06086,0.1136,0.0128,0.005515,0.02568,0.01141,0.05518,0.01537,0.06263,0.0584,0.02317,0.09446,0.1021,0.1054,56.78,54.57,0.004083,0.003259,0.002055,0.006413,0.001524,0.0009572,0.01608,0.02373
-6.50616,0.002116,0.08731,0.00369,0.1644,0.004317,0.2784,0.01759,0.1024,0.01323,0.07053,0.007203,0.0136,0.0171,0.009852,0.04479,0.01006,0.03165,0.06338,0.04336,0.09348,0.04974,0.116,51.82,53.45,0.003395,0.002348,0.0009976,0.01158,0.001802,0.002215,0.01798,0.01702
-6.39616,0.001154,0.1321,-0.0002334,0.111,0.004089,0.2449,0.01394,0.2454,0.002268,0.1356,0.006535,0.032,0.01474,0.008664,0.07225,0.02946,0.04934,0.06296,0.0356,0.08167,0.03517,0.1071,47.22,55.48,0.003034,0.002076,0.0006966,0.01112,0.001983,0.003634,0.01567,0.02423
-6.28616,0.004531,0.1532,-0.0006809,0.07308,0.005773,0.1974,0.01136,0.357,0.001286,0.1846,0.005661,0.04118,0.009854,0.007535,0.08274,0.03817,0.0763,0.05795,0.009827,0.06738,0.04583,0.07311,45.7,59.89,0.002096,0.002523,0.0006466,0.006136,0.001419,0.004009,0.007422,0.0356
-6.17516,0.003467,0.1033,-0.0015,0.06344,0.002614,0.1692,0.007091,0.278,7.352e-05,0.1774,0.002797,0.03094,0.003207,0.005145,0.04421,0.03415,0.05329,0.04681,-0.0009383,0.05434,0.0294,0.04138,46.05,67.05,0.001076,0.003625,0.0003671,0.003705,0.0007876,0.003248,0.007076,0.03336
-6.06516,0.001765,0.04537,4.341e-05,0.05527,-0.0007459,0.1676,0.01477,0.1191,-0.0002828,0.1454,0.001275,0.021,-0.001198,0.002896,-0.0009017,0.04398,0.07061,0.0426,0.006058,0.04915,0.004133,0.02831,48.43,77.49,0.001477,0.004778,0.0006201,0.004964,0.0006208,0.00253,0.04628,0.02467
