energy_eV_rel_EF,Coact_16_dx2-y2_down,Coact_16_dx2-y2_up,Coact_16_dxy_down,Coact_16_dxy_up,Coact_16_dxz_down,Coact_16_dxz_up,Coact_16_dyz_down,Coact_16_dyz_up,Coact_16_dz2_down,Coact_16_dz2_up,Oads_347_px_down,Oads_347_px_up,Oads_347_py_down,Oads_347_py_up,Oads_347_pz_down,Oads_347_pz_up,Obridge_258_px_down,Obridge_258_px_up,Obridge_258_py_down,Obridge_258_py_up,Obridge_258_pz_down,Obridge_258_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_51_px_down,neighbor_51_px_up,neighbor_51_py_down,neighbor_51_py_up,neighbor_51_pz_down,neighbor_51_pz_up,neighbor_51_s_down,neighbor_51_s_up
-7.95883,0.0031,0.1176,0.01172,0.2947,0.002514,0.6253,0.000471,0.4437,0.01945,0.03433,0.0002234,0.01962,0.0002632,0.04804,0.0001041,0.01569,0.1067,0.1299,0.08071,0.07286,0.5463,0.2435,15.97,42.24,0.03258,0.008377,0.002395,0.005306,0.000159,0.0001744,0.009674,0.0188
-7.84883,0.004188,0.2186,0.01366,0.5545,0.006,0.8267,0.001304,0.8501,0.01584,0.01897,0.0001444,0.04096,0.0003242,0.06226,0.000213,0.03594,0.1129,0.08734,0.08285,0.04114,0.4665,0.1359,23.85,50.31,0.02428,0.004852,0.0005444,0.003754,0.0001382,0.0002284,0.01056,0.02175
-7.73783,0.005632,0.2164,0.01454,0.5588,0.01338,0.6562,0.002824,0.9492,0.01349,0.01633,0.0003514,0.05981,0.0004679,0.04137,0.0003347,0.04189,0.1276,0.07883,0.08567,0.0277,0.3281,0.1101,29.89,67.02,0.00928,0.004637,0.002649,0.005291,9.144e-05,0.0002373,0.01362,0.0184
-7.62783,0.006773,0.2139,0.01617,0.3026,0.02211,0.2979,0.004316,0.6237,0.01519,0.01358,0.0007636,0.04475,0.0007199,0.01333,0.0003317,0.02607,0.1316,0.05691,0.08284,0.02332,0.2754,0.07248,32.2,82.79,0.003142,0.003838,0.003549,0.007172,5.74e-05,0.0002263,0.01744,0.009999
-7.51683,0.00536,0.4464,0.01237,0.1661,0.02063,0.07018,0.003661,0.2511,0.01223,0.008633,0.0008754,0.01948,0.0007787,0.01006,0.000185,0.008495,0.0925,0.03686,0.05145,0.02294,0.1786,0.04825,33.7,86.13,0.00209,0.003234,0.003379,0.005964,8.738e-05,0.0003322,0.01696,0.005223
-7.40583,0.002521,0.8407,0.005118,0.2264,0.01038,0.03306,0.001412,0.08225,0.005345,0.02357,0.0006428,0.02087,0.0005775,0.02524,8.771e-05,0.003371,0.05035,0.03958,0.01883,0.02229,0.05895,0.05009,37.25,84.63,0.001924,0.003103,0.004411,0.00278,0.0002951,0.0007377,0.01619,0.00503
-7.29583,0.0006642,0.9881,0.0008891,0.3395,0.00362,0.07747,0.004495,0.06807,0.0009612,0.1147,0.0008499,0.0381,0.0007553,0.04006,7.641e-05,0.01563,0.04371,0.06036,0.007206,0.01993,0.0249,0.1152,41.89,88.1,0.002185,0.003444,0.005725,0.001753,0.0006036,0.001242,0.01482,0.01066
-7.18483,-0.001019,0.8267,-0.001779,0.4056,0.001909,0.1015,0.01814,0.1003,-0.001559,0.2304,0.002105,0.0448,0.002188,0.04941,4.671e-05,0.03325,0.06791,0.07177,0.007925,0.0196,0.0764,0.2055,43.36,89.91,0.002008,0.003194,0.005621,0.0028,0.0007306,0.001514,0.01215,0.01904
-7.07483,-0.0001836,0.5674,0.0008257,0.3264,0.001819,0.08575,0.02848,0.09691,0.0001688,0.2119,0.003165,0.03065,0.0036,0.04309,2.691e-05,0.0303,0.07999,0.06458,0.009524,0.02247,0.1194,0.176,41.77,81.74,0.001675,0.002459,0.00514,0.002621,0.0006405,0.001478,0.01083,0.02407
-6.96383,0.01497,0.2742,0.0296,0.2122,0.003623,0.1153,0.02732,0.09388,0.02238,0.3103,0.003593,0.01659,0.00405,0.02065,0.0004121,0.03349,0.06292,0.1005,0.007775,0.03685,0.109,0.0686,43.36,70.87,0.002553,0.00289,0.004467,0.00118,0.0007614,0.001315,0.01022,0.02983
-6.85383,0.03976,0.1285,0.07316,0.2765,0.008611,0.2348,0.02939,0.1225,0.05708,0.7927,0.004695,0.02568,0.005401,0.01316,0.001384,0.07245,0.07275,0.1712,0.005889,0.07407,0.1147,0.04397,50.83,67.38,0.004854,0.003842,0.0037,0.0009026,0.001227,0.001148,0.01205,0.03034
-6.74283,0.03867,0.1148,0.06797,0.3695,0.0104,0.3466,0.02604,0.1189,0.05434,0.9964,0.004151,0.03946,0.005467,0.03105,0.00169,0.08206,0.08688,0.1655,0.009826,0.1062,0.1119,0.09794,55.07,64.33,0.005537,0.003692,0.002932,0.003741,0.001453,0.0009968,0.01511,0.02244
-6.63283,0.01326,0.09646,0.02484,0.3048,0.00503,0.3754,0.01348,0.08669,0.01967,0.5832,0.001686,0.03963,0.002811,0.0488,0.0008302,0.03743,0.04986,0.09758,0.02811,0.1055,0.06612,0.1434,53.94,58.69,0.003976,0.003025,0.001499,0.009243,0.00167,0.001372,0.01705,0.01629
-6.52183,0.001573,0.09946,0.008675,0.1794,0.005091,0.2981,0.00946,0.1356,0.001792,0.2029,0.0006488,0.04295,0.001062,0.04417,0.001308,0.006352,0.02236,0.05767,0.04339,0.08976,0.0403,0.1366,51.5,55.64,0.003149,0.002462,0.0006144,0.0118,0.002214,0.002629,0.01717,0.01654
-6.41083,0.008447,0.1421,0.01949,0.1207,0.01713,0.18,0.01129,0.2704,0.001848,0.1061,0.001058,0.06094,0.0008262,0.02943,0.004293,0.00668,0.03972,0.04977,0.02931,0.08106,0.04222,0.09173,47.29,55.33,0.002396,0.002148,0.0008107,0.008155,0.002012,0.004076,0.009985,0.02664
-6.30083,0.01258,0.1474,0.02321,0.1023,0.02194,0.1178,0.008923,0.3092,0.002745,0.1216,0.001105,0.06824,0.0005835,0.02124,0.005431,0.009994,0.04635,0.04414,0.007314,0.08116,0.03577,0.04969,45.02,58.6,0.001004,0.00258,0.0008532,0.00369,0.001007,0.004287,0.001832,0.0365
-6.18983,0.006406,0.08661,0.01163,0.06089,0.00977,0.08993,0.008718,0.1861,0.001238,0.151,0.001091,0.04851,0.0002093,0.01544,0.002531,0.007973,0.04801,0.03095,0.002445,0.07191,0.01417,0.02841,46.23,65.29,0.000756,0.003799,0.0006104,0.003033,0.000387,0.003255,0.0193,0.03197
-6.07983,0.001687,0.03767,0.006366,0.0254,0.0017,0.07993,0.0213,0.06321,0.0003138,0.1454,0.002385,0.02933,6.258e-05,0.01191,8.588e-05,0.008615,0.1233,0.02126,0.01118,0.05368,-0.0003663,0.0254,49.59,76.04,0.002317,0.00499,0.001082,0.005083,0.0007772,0.00269,0.07668,0.02336
-5.96883,0.003576,0.02948,0.01534,0.0191,0.01351,0.1085,0.03249,0.03191,0.001232,0.1134,0.003151,0.03069,0.0002345,0.01521,5.408e-05,0.01663,0.2254,0.01959,0.0215,0.05021,-0.000176,0.0301,50.81,90.42,0.003176,0.005279,0.002103,0.006998,0.002788,0.003265,0.1143,0.02173
-5.85883,0.0104,0.02843,0.02424,0.02382,0.03386,0.1461,0.03137,0.05342,0.002845,0.08989,0.002245,0.03908,0.0006052,0.0223,0.0007923,0.02703,0.2434,0.02197,0.0472,0.07231,0.008114,0.02995,50.58,96.43,0.00189,0.004804,0.002815,0.006416,0.005303,0.005076,0.08637,0.02341
-5.74783,0.0182,0.02554,0.0192,0.02393,0.03379,0.1279,0.02787,0.08446,0.003007,0.07994,0.002308,0.03539,0.0008632,0.02383,0.001164,0.02716,0.1654,0.02371,0.1053,0.1058,0.02134,0.02513,53.52,89.9,0.00082,0.004006,0.002608,0.00415,0.00476,0.007959,0.04032,0.02221
-5.63783,0.01949,0.02478,0.01378,0.01685,0.0214,0.08211,0.02121,0.106,0.001695,0.06895,0.004092,0.02217,0.001129,0.01725,0.001678,0.01817,0.09247,0.02713,0.1491,0.1108,0.03972,0.02112,56.76,84.15,0.0008367,0.003617,0.002462,0.002921,0.002913,0.01044,0.01601,0.02125
-5.52683,0.01662,0.02422,0.02715,0.01003,0.03246,0.07588,0.01443,0.1167,0.0009064,0.05954,0.006938,0.01635,0.002193,0.01179,0.003444,0.01368,0.1149,0.03211,0.1746,0.08884,0.0718,0.01985,56.91,84.49,0.001097,0.004139,0.003927,0.003296,0.004125,0.01086,0.01469,0.02058
-5.41583,0.01809,0.02621,0.04524,0.008778,0.05563,0.08806,0.01319,0.1096,0.001166,0.05957,0.008647,0.02364,0.004287,0.01524,0.00677,0.01856,0.1746,0.03409,0.2103,0.09389,0.1194,0.02047,50.85,86.1,0.001351,0.005332,0.005479,0.003903,0.00803,0.009162,0.02003,0.01567
-5.30583,0.02617,0.02862,0.05461,0.01018,0.05599,0.07871,0.01414,0.07441,0.002161,0.06182,0.007653,0.02866,0.006449,0.01927,0.01102,0.02192,0.2184,0.03972,0.2009,0.1144,0.1822,0.0189,42.51,86.65,0.002003,0.006063,0.007214,0.004052,0.01443,0.01048,0.0154,0.01371
