energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-7.90063,-4.527e-05,-0.008509,-7.242e-05,-0.05618,-8.431e-06,-0.01284,-1.385e-05,-0.01929,-0.0002737,0.01187,-3.746e-06,-0.002461,-3.055e-05,0.0004161,-8.519e-05,-0.008223,-3.376e-05,-0.002765,-1.869e-05,-0.000457,-0.0007527,0.01286,-0.7678,10.89,-1.393e-05,0.0009931,-2.859e-06,-7.962e-05,-7.23e-07,-3.287e-06,-5.664e-06,9.414e-05,-0.000632,0.01433
-7.79563,0.0001544,0.03619,0.0002438,0.1798,2.407e-05,0.03734,3.059e-05,0.03539,0.001093,0.01896,3.014e-08,0.006285,9.392e-05,0.0007582,0.0003062,0.01761,9.814e-05,0.01277,5.836e-05,0.004173,0.002239,0.02192,1.695,28,3.31e-05,0.001987,-5.062e-06,0.0003072,2.838e-07,0.0001828,1.615e-05,0.0004956,0.001697,0.02545
-7.68963,0.0006791,0.1642,0.001076,0.8961,0.000114,0.1897,0.0001691,0.2148,0.004544,0.02508,2.382e-05,0.03439,0.0004498,0.001271,0.001355,0.1069,0.0004751,0.05882,0.0002736,0.01698,0.01099,0.02336,9.927,43.21,0.0001827,0.002435,4.273e-06,0.001829,6.186e-06,0.0006277,8.335e-05,0.001321,0.00895,0.02884
-7.58463,0.001104,0.2381,0.001752,1.381,0.0001918,0.2819,0.0003144,0.4154,0.007108,0.03947,6.604e-05,0.05699,0.0007914,0.003769,0.002251,0.1822,0.0008341,0.08903,0.0004716,0.02432,0.01984,0.01931,19.81,46.22,0.0003468,0.001249,4.916e-05,0.005377,1.665e-05,0.0009175,0.0001539,0.001623,0.01685,0.02639
-7.47863,0.001229,0.1318,0.001953,0.9194,0.0002215,0.2295,0.0003865,0.6887,0.007273,0.06975,0.0001181,0.05014,0.000891,0.01221,0.002403,0.1479,0.0009578,0.05953,0.0005302,0.01459,0.02268,0.02613,24.23,45.51,0.0004,-0.001172,0.0001492,0.01073,2.495e-05,0.0006638,0.0001629,0.0006959,0.01915,0.02221
-7.37363,0.001966,0.1095,0.003155,0.3155,0.0003858,0.4423,0.0005937,1.126,0.0102,0.1307,0.0002387,0.04161,0.001051,0.02694,0.002914,0.07763,0.001221,0.04055,0.0006662,0.01378,0.02396,0.09084,24.35,57.32,0.0004181,0.008824,0.0002923,0.01486,2.66e-05,0.000681,0.0001235,0.002041,0.01719,0.02076
-7.26763,0.004336,0.6205,0.007155,0.3289,0.0009509,1.05,0.001285,1.15,0.02097,0.2254,0.0005441,0.04663,0.001618,0.04493,0.004774,0.0564,0.001997,0.09098,0.001099,0.04445,0.02871,0.2247,25.62,85.45,0.0006164,0.05841,0.0004485,0.01741,2.612e-05,0.003037,9.003e-05,0.01202,0.0148,0.02599
-7.16263,0.007447,1.449,0.01271,0.5819,0.001826,1.318,0.00225,0.5991,0.03515,0.3124,0.000921,0.04545,0.002229,0.0619,0.006552,0.06456,0.002731,0.1345,0.001597,0.07221,0.03427,0.3018,29.38,118.1,0.001113,0.1274,0.00057,0.02809,3.142e-05,0.00895,9.305e-05,0.02647,0.01346,0.03416
-7.05663,0.008725,1.594,0.01577,0.5591,0.002499,0.9167,0.002959,0.1666,0.04073,0.3665,0.001088,0.0308,0.002206,0.06061,0.005877,0.06646,0.003752,0.09753,0.002089,0.05841,0.03852,0.2255,33.49,128.9,0.001769,0.1397,0.0006469,0.05477,4.505e-05,0.01586,0.0001401,0.03018,0.01392,0.03523
-6.95163,0.009297,1.008,0.0174,0.3197,0.003015,0.4422,0.005086,0.08491,0.03765,0.4629,0.002013,0.01596,0.0028,0.0373,0.007074,0.06841,0.01416,0.03432,0.005335,0.02749,0.05485,0.1035,40.25,117.7,0.003477,0.09769,0.0008978,0.08812,7.077e-05,0.02009,0.0002384,0.02491,0.01519,0.02503
