energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_347_px_down,Oads_347_px_up,Oads_347_py_down,Oads_347_py_up,Oads_347_pz_down,Oads_347_pz_up,Obridge_258_px_down,Obridge_258_px_up,Obridge_258_py_down,Obridge_258_py_up,Obridge_258_pz_down,Obridge_258_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-7.91322,-6.664e-05,0.0004198,-0.000132,0.000693,-1.785e-06,0.01295,-9.406e-06,0.01172,-0.0002667,0.0296,-4.362e-06,0.001391,-5.525e-06,0.001871,-7.112e-06,0.0001502,-0.0001098,0.003036,-5.471e-05,0.001443,-0.001583,0.02937,-0.788,8.351,-1.618e-05,0.001311,-2.523e-06,-0.0001071,-1.386e-06,9.165e-05,-7.209e-06,0.0002737,-0.0008719,0.02122
-7.80722,0.0002028,0.007832,0.0003949,0.002193,-2.037e-06,0.2129,8.286e-06,0.4843,0.0009915,0.04359,2.118e-06,0.01117,8.257e-06,0.02719,2.778e-05,0.0008005,0.0003258,0.003865,0.0001631,0.003107,0.004479,0.04493,0.9702,24.61,4.392e-05,0.002007,-5.619e-06,0.0002944,4.849e-07,0.000197,2.251e-05,0.0004512,0.002651,0.03334
-7.70122,0.0009315,0.007863,0.00183,0.01539,5.959e-06,0.4841,8.423e-05,1.158,0.004213,0.04485,3.835e-05,0.0246,6.132e-05,0.05994,0.0001182,0.001408,0.001545,0.003781,0.0007746,0.004345,0.02244,0.03932,8.33,43.07,0.0002237,0.0007549,1.225e-07,0.001864,1.199e-05,0.0001644,0.0001091,0.000345,0.01293,0.03196
-7.59622,0.001493,-0.008028,0.002939,0.1199,2.862e-05,0.4631,0.000192,1.15,0.00636,0.07176,9.814e-05,0.02754,0.0001323,0.05355,0.0001824,0.002722,0.002506,0.01134,0.001263,0.005636,0.03873,0.04151,18.47,51.09,0.0003865,-0.002841,4.063e-05,0.005441,3.171e-05,0.0001706,0.0001851,-0.0001019,0.02211,0.02565
-7.49022,0.001595,0.1219,0.003118,0.4361,6.366e-05,0.2599,0.0002718,0.5322,0.005913,0.1877,0.0001392,0.02655,0.0001717,0.02365,0.0001648,0.0104,0.002458,0.04292,0.00124,0.01775,0.03951,0.1309,23.9,51.23,0.0003683,0.002056,0.000143,0.01268,4.426e-05,0.001625,0.0001721,0.0007027,0.02173,0.02203
-7.38422,0.002581,0.7908,0.005077,0.8784,0.0001185,0.3353,0.0004111,0.1764,0.008035,0.384,0.0001496,0.04641,0.0001815,0.04168,0.0001513,0.02457,0.002985,0.1098,0.001479,0.05648,0.03729,0.3202,24.4,60.77,0.0002711,0.04226,0.0003003,0.02264,4.268e-05,0.005608,0.000113,0.007417,0.01714,0.02147
-7.27822,0.005837,1.781,0.01175,1.111,0.000194,0.5879,0.0008231,0.1809,0.0173,0.448,0.0001341,0.08423,0.0002089,0.09916,0.0001857,0.03237,0.005544,0.1669,0.002734,0.09489,0.04609,0.3922,25.39,83.55,0.0003503,0.1095,0.0004729,0.0291,4.125e-05,0.009617,8.346e-05,0.01987,0.01449,0.02451
-7.17222,0.009918,1.869,0.02028,0.9628,0.0002632,0.6542,0.001424,0.202,0.02872,0.2967,7.099e-05,0.1035,0.0002751,0.1084,0.0001816,0.03104,0.009524,0.142,0.004645,0.07912,0.0621,0.2301,28.84,110.6,0.0008759,0.1377,0.0006035,0.03702,5.704e-05,0.01199,0.0001104,0.02697,0.01351,0.02962
-7.06622,0.01236,0.9458,0.02583,0.6348,0.001006,0.5416,0.002947,0.161,0.03283,0.2324,0.0002913,0.08672,0.0003293,0.06198,0.0001764,0.03363,0.02339,0.06818,0.009929,0.03173,0.09293,0.05798,32.93,122,0.003006,0.113,0.0007044,0.06087,9.991e-05,0.01527,0.0002,0.0251,0.01386,0.0297
-6.96022,0.0164,0.2424,0.03433,0.4072,0.004352,0.3938,0.008669,0.1343,0.03263,0.4104,0.00187,0.05759,0.0003603,0.02545,0.0005813,0.05098,0.07309,0.03934,0.028,0.01133,0.1737,0.00795,38.68,113,0.01079,0.08777,0.001089,0.09802,0.0001763,0.01947,0.0003481,0.02582,0.01499,0.022
