x_A,y_A,value
-3.96406,-1.66086,-0.0011588034
-3.89796,-1.66086,-0.0013327555
-3.83186,-1.66086,-0.0015005788
-3.76577,-1.66086,-0.0016832257
-3.69967,-1.66086,-0.0019047353
-3.63357,-1.66086,-0.0021462797
-3.56747,-1.66086,-0.0023971938
-3.50138,-1.66086,-0.0026863699
-3.43528,-1.66086,-0.0029868283
-3.36918,-1.66086,-0.0032071299
-3.30309,-1.66086,-0.0034557364
-3.23699,-1.66086,-0.0037287856
-3.17089,-1.66086,-0.0038724646
-3.10479,-1.66086,-0.0039511211
-3.03870,-1.66086,-0.00410095
-2.97260,-1.66086,-0.0041666245
-2.90650,-1.66086,-0.0040321085
-2.84041,-1.66086,-0.00376337
-2.77431,-1.66086,-0.0034047889
-2.70821,-1.66086,-0.0029290321
-2.64211,-1.66086,-0.0023251139
-2.57602,-1.66086,-0.0016551599
-2.50992,-1.66086,-0.0009813502
-2.44382,-1.66086,-0.00030123725
-2.37773,-1.66086,0.00042956349
-2.31163,-1.66086,0.0011929817
-2.24553,-1.66086,0.0018170079
-2.17943,-1.66086,0.0024376898
-2.11334,-1.66086,0.0031087492
-2.04724,-1.66086,0.0035147036
-1.98114,-1.66086,0.0038711962
-1.91505,-1.66086,0.0042368136
-1.84895,-1.66086,0.0044382368
-1.78285,-1.66086,0.0044848006
-1.71675,-1.66086,0.004528719
-1.65066,-1.66086,0.0045259898
-1.58456,-1.66086,0.0042851176
-1.51846,-1.66086,0.0040171607
-1.45237,-1.66086,0.0037304203
-1.38627,-1.66086,0.0032362838
-1.32017,-1.66086,0.0026599469
-1.25408,-1.66086,0.002140841
-1.18798,-1.66086,0.0016276373
-1.12188,-1.66086,0.0011014956
-1.05578,-1.66086,0.00075856759
-0.98969,-1.66086,0.00060114398
-0.92359,-1.66086,0.00049746549
-0.85749,-1.66086,0.00053095515
-0.79140,-1.66086,0.00071023044
-0.72530,-1.66086,0.0008478472
-0.65920,-1.66086,0.00092902058
-0.59310,-1.66086,0.0010032915
-0.52701,-1.66086,0.00098788692
-0.46091,-1.66086,0.00090626249
