x_A,y_A,charge_total_Al16,charge_total_undoped,magnetization_Al16,magnetization_undoped,spin_down_Al16,spin_down_undoped,spin_up_Al16,spin_up_undoped
-3.96406,-1.66086,-0.0011588034,-0.0012673389,0.00010040677,-0.00016413805,-0.00062960509,-0.00055160042,-0.00052919827,-0.00071573845
-3.89796,-1.66086,-0.0013327555,-0.0014920485,0.00022123987,-8.1144732e-05,-0.00077699771,-0.00070545188,-0.00055575784,-0.00078659662
-3.83186,-1.66086,-0.0015005788,-0.0017446516,0.00039094096,5.7473491e-05,-0.00094575988,-0.00090106257,-0.00055481895,-0.00084358902
-3.76577,-1.66086,-0.0016832257,-0.0020186712,0.00058936921,0.00022897411,-0.0011362975,-0.0011238226,-0.00054692826,-0.00089484855
-3.69967,-1.66086,-0.0019047353,-0.002343093,0.00085486186,0.00046678973,-0.0013797986,-0.0014049414,-0.00052493671,-0.00093815167
-3.63357,-1.66086,-0.0021462797,-0.0027200233,0.0012202382,0.00080768613,-0.0016832589,-0.0017638546,-0.00046302075,-0.00095616857
-3.56747,-1.66086,-0.0023971938,-0.0031443706,0.0016714928,0.0012442946,-0.0020343433,-0.0021943327,-0.00036285049,-0.00095003803
-3.50138,-1.66086,-0.0026863699,-0.0036371714,0.0022467223,0.001802617,-0.0024665461,-0.0027198941,-0.00021982379,-0.00091727718
-3.43528,-1.66086,-0.0029868283,-0.00416659,0.0029396082,0.0024777567,-0.0029632184,-0.0033221734,-2.3610075e-05,-0.00084441667
-3.36918,-1.66086,-0.0032071299,-0.004646142,0.003681591,0.0032247624,-0.0034443606,-0.0039354521,0.00023723056,-0.00071068981
-3.30309,-1.66086,-0.0034557364,-0.0051456685,0.0045379885,0.0040863897,-0.0039968626,-0.0046160291,0.00054112601,-0.00052963942
-3.23699,-1.66086,-0.0037287856,-0.0056560389,0.0055036899,0.0050549796,-0.0046162377,-0.005355509,0.00088745216,-0.00030052965
