x_A,y_A,value
-3.96406,-1.66086,0.00010040677
-3.89796,-1.66086,0.00022123987
-3.83186,-1.66086,0.00039094096
-3.76577,-1.66086,0.00058936921
-3.69967,-1.66086,0.00085486186
-3.63357,-1.66086,0.0012202382
-3.56747,-1.66086,0.0016714928
-3.50138,-1.66086,0.0022467223
-3.43528,-1.66086,0.0029396082
-3.36918,-1.66086,0.003681591
-3.30309,-1.66086,0.0045379885
-3.23699,-1.66086,0.0055036899
-3.17089,-1.66086,0.0064301351
-3.10479,-1.66086,0.0073431404
-3.03870,-1.66086,0.0085302228
-2.97260,-1.66086,0.0097279316
-2.90650,-1.66086,0.01063694
-2.84041,-1.66086,0.011361866
-2.77431,-1.66086,0.011976498
-2.70821,-1.66086,0.012086718
-2.64211,-1.66086,0.011915154
-2.57602,-1.66086,0.011617969
-2.50992,-1.66086,0.010949321
-2.44382,-1.66086,0.010194328
-2.37773,-1.66086,0.0092795528
-2.31163,-1.66086,0.0081424089
-2.24553,-1.66086,0.0069187521
-2.17943,-1.66086,0.0056607896
-2.11334,-1.66086,0.0043876912
-2.04724,-1.66086,0.0032853021
-1.98114,-1.66086,0.0022463892
-1.91505,-1.66086,0.0013234173
-1.84895,-1.66086,0.00059113331
-1.78285,-1.66086,3.1356292e-05
-1.71675,-1.66086,-0.0003621465
-1.65066,-1.66086,-0.00058993552
-1.58456,-1.66086,-0.00055809529
-1.51846,-1.66086,-0.00039289441
-1.45237,-1.66086,-0.00013405429
-1.38627,-1.66086,0.00036414346
-1.32017,-1.66086,0.00088906055
-1.25408,-1.66086,0.0013103815
-1.18798,-1.66086,0.0016972719
-1.12188,-1.66086,0.0019448913
-1.05578,-1.66086,0.0019627728
-0.98969,-1.66086,0.001784784
-0.92359,-1.66086,0.0014199852
-0.85749,-1.66086,0.0010080473
-0.79140,-1.66086,0.00052565744
-0.72530,-1.66086,0.00011883921
-0.65920,-1.66086,-0.00017235384
-0.59310,-1.66086,-0.00036739366
-0.52701,-1.66086,-0.00042601171
-0.46091,-1.66086,-0.00038568091
-0.39481,-1.66086,-0.00028909236
-0.32872,-1.66086,-0.00018993978
-0.26262,-1.66086,-7.2555558e-05
-0.19652,-1.66086,4.0718358e-05
-0.13042,-1.66086,0.00011611898
-0.06433,-1.66086,0.0001722179
0.00177,-1.66086,0.00021482697
0.06787,-1.66086,0.00023989499
0.13396,-1.66086,0.00024928272
0.20006,-1.66086,0.00021052266
0.26616,-1.66086,0.00014844073
0.33226,-1.66086,6.9468595e-05
0.39835,-1.66086,-6.9656206e-05
0.46445,-1.66086,-0.00022645538
0.53055,-1.66086,-0.00037141342
0.59664,-1.66086,-0.00053161988
0.66274,-1.66086,-0.00075461698
0.72884,-1.66086,-0.00093059562
0.79493,-1.66086,-0.0010662781
0.86103,-1.66086,-0.0012350102
0.92713,-1.66086,-0.0013417738
0.99323,-1.66086,-0.0013738819
1.05932,-1.66086,-0.0013855516
1.12542,-1.66086,-0.0013658234
1.19152,-1.66086,-0.0012828142
1.25761,-1.66086,-0.001184162
