x_A,y_A,value
-3.96406,-1.66086,-0.00016413805
-3.89796,-1.66086,-8.1144732e-05
-3.83186,-1.66086,5.7473491e-05
-3.76577,-1.66086,0.00022897411
-3.69967,-1.66086,0.00046678973
-3.63357,-1.66086,0.00080768613
-3.56747,-1.66086,0.0012442946
-3.50138,-1.66086,0.001802617
-3.43528,-1.66086,0.0024777567
-3.36918,-1.66086,0.0032247624
-3.30309,-1.66086,0.0040863897
-3.23699,-1.66086,0.0050549796
-3.17089,-1.66086,0.0059930817
-3.10479,-1.66086,0.0069351383
-3.03870,-1.66086,0.0081675434
-2.97260,-1.66086,0.0094112437
-2.90650,-1.66086,0.010371448
-2.84041,-1.66086,0.011147922
-2.77431,-1.66086,0.011791955
-2.70821,-1.66086,0.011859016
-2.64211,-1.66086,0.011628052
-2.57602,-1.66086,0.011242324
-2.50992,-1.66086,0.010426302
-2.44382,-1.66086,0.0095093176
-2.37773,-1.66086,0.008407197
-2.31163,-1.66086,0.0070921713
-2.24553,-1.66086,0.005677464
-2.17943,-1.66086,0.004229222
-2.11334,-1.66086,0.0028258688
-2.04724,-1.66086,0.0016351015
-1.98114,-1.66086,0.00053635327
-1.91505,-1.66086,-0.00036857059
-1.84895,-1.66086,-0.00096164463
-1.78285,-1.66086,-0.0012735144
-1.71675,-1.66086,-0.0013393251
-1.65066,-1.66086,-0.0011446509
-1.58456,-1.66086,-0.00041338909
-1.51846,-1.66086,0.00044788086
-1.45237,-1.66086,0.0013753992
-1.38627,-1.66086,0.0028473914
-1.32017,-1.66086,0.0042356593
-1.25408,-1.66086,0.00524492
-1.18798,-1.66086,0.0061488585
-1.12188,-1.66086,0.0068726931
-1.05578,-1.66086,0.0070705069
-0.98969,-1.66086,0.0067271492
-0.92359,-1.66086,0.0063005756
-0.85749,-1.66086,0.0058264085
-0.79140,-1.66086,0.0050295601
-0.72530,-1.66086,0.0044562323
-0.65920,-1.66086,0.0040272647
-0.59310,-1.66086,0.0034980713
-0.52701,-1.66086,0.0032250669
-0.46091,-1.66086,0.0031596117
-0.39481,-1.66086,0.0029088759
-0.32872,-1.66086,0.0027102756
-0.26262,-1.66086,0.0025668347
-0.19652,-1.66086,0.0022971823
-0.13042,-1.66086,0.0020757935
-0.06433,-1.66086,0.0018678119
0.00177,-1.66086,0.0016071171
0.06787,-1.66086,0.0014033065
0.13396,-1.66086,0.0012163888
0.20006,-1.66086,0.00098870322
0.26616,-1.66086,0.00081072701
0.33226,-1.66086,0.0006510992
0.39835,-1.66086,0.00047049377
0.46445,-1.66086,0.00032433978
0.53055,-1.66086,0.00019561857
0.59664,-1.66086,6.3994179e-05
0.66274,-1.66086,-6.7596309e-05
0.72884,-1.66086,-0.00017805115
0.79493,-1.66086,-0.00027555996
0.86103,-1.66086,-0.00037156531
0.92713,-1.66086,-0.00044846677
0.99323,-1.66086,-0.00050591648
1.05932,-1.66086,-0.0005476154
1.12542,-1.66086,-0.00057903701
1.19152,-1.66086,-0.00059674541
1.25761,-1.66086,-0.00061516033
1.32371,-1.66086,-0.00061641814
1.38981,-1.66086,-0.00061172899
1.45591,-1.66086,-0.0006107653
1.52200,-1.66086,-0.00059764867
1.58810,-1.66086,-0.00057156075
1.65420,-1.66086,-0.00053475949
1.72029,-1.66086,-0.00049125962
1.78639,-1.66086,-0.00043904359
1.85249,-1.66086,-0.00037813047
1.91859,-1.66086,-0.00031402864
1.98468,-1.66086,-0.00025448954
2.05078,-1.66086,-0.00018946677
2.11688,-1.66086,-0.00012773504
2.18297,-1.66086,-7.3776631e-05
2.24907,-1.66086,-2.6013469e-05
2.31517,-1.66086,1.0783616e-05
2.38127,-1.66086,3.5443118e-05
2.44736,-1.66086,4.8174956e-05
2.51346,-1.66086,5.1840667e-05
2.57956,-1.66086,4.7911439e-05
2.64565,-1.66086,4.2392887e-05
2.71175,-1.66086,3.7845952e-05
2.77785,-1.66086,2.7097763e-05
2.84394,-1.66086,2.1624446e-05
2.91004,-1.66086,2.3595618e-05
2.97614,-1.66086,2.6812348e-05
3.04224,-1.66086,3.6950743e-05
3.10833,-1.66086,4.7964735e-05
3.17443,-1.66086,5.630574e-05
3.24053,-1.66086,6.3049018e-05
3.30662,-1.66086,5.9649017e-05
3.37272,-1.66086,2.8040424e-05
3.43882,-1.66086,-3.6132249e-05
3.50492,-1.66086,-0.00013586732
3.57101,-1.66086,-0.00029944823
3.63711,-1.66086,-0.00058368366
3.70321,-1.66086,-0.0009822289
3.76930,-1.66086,-0.0015158427
3.83540,-1.66086,-0.0024655112
3.90150,-1.66086,-0.0037702713
-3.96406,-1.61672,-0.00019483233
-3.89796,-1.61672,-0.00012150877
-3.83186,-1.61672,4.2972279e-05
-3.76577,-1.61672,0.00026582688
-3.69967,-1.61672,0.00054400892
-3.63357,-1.61672,0.0009562737
-3.56747,-1.61672,0.0014633469
-3.50138,-1.61672,0.0020582129
-3.43528,-1.61672,0.0028248299
-3.36918,-1.61672,0.0036674242
-3.30309,-1.61672,0.0046180356
-3.23699,-1.61672,0.0059902938
-3.17089,-1.61672,0.0074145314
-3.10479,-1.61672,0.008892999
-3.03870,-1.61672,0.010342417
-2.97260,-1.61672,0.011726697
-2.90650,-1.61672,0.012866662
-2.84041,-1.61672,0.013620064
-2.77431,-1.61672,0.014236973
-2.70821,-1.61672,0.014551807
-2.64211,-1.61672,0.014540149
-2.57602,-1.61672,0.014204384
-2.50992,-1.61672,0.013509064
-2.44382,-1.61672,0.012184816
-2.37773,-1.61672,0.010672593
-2.31163,-1.61672,0.0090357186
-2.24553,-1.61672,0.0072917696
-2.17943,-1.61672,0.0055374266
-2.11334,-1.61672,0.0038126186
-2.04724,-1.61672,0.0023700912
-1.98114,-1.61672,0.0010814113
-1.91505,-1.61672,-7.6192933e-05
-1.84895,-1.61672,-0.00081395992
-1.78285,-1.61672,-0.0011687925
-1.71675,-1.61672,-0.0013223349
-1.65066,-1.61672,-0.00117861
-1.58456,-1.61672,-0.00041507548
-1.51846,-1.61672,0.0005793923
-1.45237,-1.61672,0.001579268
-1.38627,-1.61672,0.0030037495
-1.32017,-1.61672,0.0047137327
-1.25408,-1.61672,0.0058968337
-1.18798,-1.61672,0.0068615335
-1.12188,-1.61672,0.0079273758
-1.05578,-1.61672,0.0084148645
-0.98969,-1.61672,0.0083311656
-0.92359,-1.61672,0.0075281258
-0.85749,-1.61672,0.0070425402
-0.79140,-1.61672,0.0062190075
-0.72530,-1.61672,0.0050458112
-0.65920,-1.61672,0.0046798298
-0.59310,-1.61672,0.0041817958
-0.52701,-1.61672,0.0035153364
-0.46091,-1.61672,0.0034347959
-0.39481,-1.61672,0.0031817635
-0.32872,-1.61672,0.0027287267
-0.26262,-1.61672,0.0025616072
-0.19652,-1.61672,0.0023252112
-0.13042,-1.61672,0.0020027494
-0.06433,-1.61672,0.0018213633
0.00177,-1.61672,0.001591161
0.06787,-1.61672,0.0013277096
0.13396,-1.61672,0.0011579319
0.20006,-1.61672,0.00095682556
0.26616,-1.61672,0.00075621763
0.33226,-1.61672,0.00061892037
0.39835,-1.61672,0.00046785039
0.46445,-1.61672,0.0003038526
0.53055,-1.61672,0.00018029501
0.59664,-1.61672,6.0301918e-05
0.66274,-1.61672,-7.9836238e-05
0.72884,-1.61672,-0.00018590434
0.79493,-1.61672,-0.00027572399
0.86103,-1.61672,-0.0003590509
0.92713,-1.61672,-0.00042430931
0.99323,-1.61672,-0.00047461898
1.05932,-1.61672,-0.00051330781
1.12542,-1.61672,-0.00054577179
1.19152,-1.61672,-0.00056719739
1.25761,-1.61672,-0.00058153539
1.32371,-1.61672,-0.00058907364
1.38981,-1.61672,-0.00058601238
1.45591,-1.61672,-0.00057667191
1.52200,-1.61672,-0.00056110322
1.58810,-1.61672,-0.00053095538
1.65420,-1.61672,-0.00049758609
1.72029,-1.61672,-0.00045880009
1.78639,-1.61672,-0.00040924057
1.85249,-1.61672,-0.00035852086
1.91859,-1.61672,-0.00029812928
1.98468,-1.61672,-0.00023539652
2.05078,-1.61672,-0.00017540473
2.11688,-1.61672,-0.00011411526
2.18297,-1.61672,-6.3085725e-05
2.24907,-1.61672,-2.2727791e-05
2.31517,-1.61672,7.2572693e-06
2.38127,-1.61672,2.5326039e-05
2.44736,-1.61672,3.5743844e-05
2.51346,-1.61672,3.5268742e-05
2.57956,-1.61672,1.7855427e-05
2.64565,-1.61672,-2.8316656e-06
2.71175,-1.61672,-1.2922228e-05
2.77785,-1.61672,-2.3069202e-05
2.84394,-1.61672,-3.2808948e-05
2.91004,-1.61672,-2.5653e-05
2.97614,-1.61672,-1.8609138e-05
3.04224,-1.61672,-1.2015799e-05
3.10833,-1.61672,-2.1298119e-07
3.17443,-1.61672,1.1081916e-06
3.24053,-1.61672,-6.7650412e-06
3.30662,-1.61672,-2.7721037e-05
3.37272,-1.61672,-7.1656163e-05
3.43882,-1.61672,-0.00014000012
3.50492,-1.61672,-0.00025741124
3.57101,-1.61672,-0.00043763401
3.63711,-1.61672,-0.00069512415
3.70321,-1.61672,-0.0011225846
3.76930,-1.61672,-0.0016702831
3.83540,-1.61672,-0.0024119676
3.90150,-1.61672,-0.003608864
-3.96406,-1.57258,-0.00022747375
-3.89796,-1.57258,-0.00012859015
-3.83186,-1.57258,3.2257241e-05
-3.76577,-1.57258,0.00029312837
-3.69967,-1.57258,0.00061336614
-3.63357,-1.57258,0.0010232959
-3.56747,-1.57258,0.001595117
-3.50138,-1.57258,0.0023037989
-3.43528,-1.57258,0.0032660612
-3.36918,-1.57258,0.0044577792
-3.30309,-1.57258,0.005820821
-3.23699,-1.57258,0.0073748953
-3.17089,-1.57258,0.0090288613
-3.10479,-1.57258,0.010678809
-3.03870,-1.57258,0.01236636
-2.97260,-1.57258,0.013931017
-2.90650,-1.57258,0.015476606
-2.84041,-1.57258,0.017086932
-2.77431,-1.57258,0.018146576
-2.70821,-1.57258,0.018672535
-2.64211,-1.57258,0.018625962
-2.57602,-1.57258,0.017875262
-2.50992,-1.57258,0.016808655
-2.44382,-1.57258,0.015275336
-2.37773,-1.57258,0.013318917
-2.31163,-1.57258,0.011348065
-2.24553,-1.57258,0.0093171885
-2.17943,-1.57258,0.0072050984
-2.11334,-1.57258,0.0051122229
-2.04724,-1.57258,0.0032560367
-1.98114,-1.57258,0.0017545965
-1.91505,-1.57258,0.00041189624
-1.84895,-1.57258,-0.00064419635
-1.78285,-1.57258,-0.0010592089
-1.71675,-1.57258,-0.0012590105
-1.65066,-1.57258,-0.0011892992
-1.58456,-1.57258,-0.00047900889
-1.51846,-1.57258,0.00056640961
-1.45237,-1.57258,0.001728433
-1.38627,-1.57258,0.0030987225
-1.32017,-1.57258,0.0049813199
-1.25408,-1.57258,0.0065772058
-1.18798,-1.57258,0.0075915926
-1.12188,-1.57258,0.0087828552
-1.05578,-1.57258,0.009267604
-0.98969,-1.57258,0.0092185624
-0.92359,-1.57258,0.0087171765
-0.85749,-1.57258,0.0078789294
-0.79140,-1.57258,0.0072752158
-0.72530,-1.57258,0.0062943865
-0.65920,-1.57258,0.0053613498
-0.59310,-1.57258,0.004880656
-0.52701,-1.57258,0.0041238288
-0.46091,-1.57258,0.0035290949
