x_A,y_A,value
-3.96406,-1.66086,-0.00052919827
-3.89796,-1.66086,-0.00055575784
-3.83186,-1.66086,-0.00055481895
-3.76577,-1.66086,-0.00054692826
-3.69967,-1.66086,-0.00052493671
-3.63357,-1.66086,-0.00046302075
-3.56747,-1.66086,-0.00036285049
-3.50138,-1.66086,-0.00021982379
-3.43528,-1.66086,-2.3610075e-05
-3.36918,-1.66086,0.00023723056
-3.30309,-1.66086,0.00054112601
-3.23699,-1.66086,0.00088745216
-3.17089,-1.66086,0.0012788352
-3.10479,-1.66086,0.0016960097
-3.03870,-1.66086,0.0022146364
-2.97260,-1.66086,0.0027806535
-2.90650,-1.66086,0.0033024156
-2.84041,-1.66086,0.003799248
-2.77431,-1.66086,0.0042858548
-2.70821,-1.66086,0.0045788432
-2.64211,-1.66086,0.00479502
-2.57602,-1.66086,0.0049814046
-2.50992,-1.66086,0.0049839853
-2.44382,-1.66086,0.0049465452
-2.37773,-1.66086,0.004854558
-2.31163,-1.66086,0.0046676951
-2.24553,-1.66086,0.0043678801
-2.17943,-1.66086,0.0040492397
-2.11334,-1.66086,0.0037482202
-2.04724,-1.66086,0.0034000028
-1.98114,-1.66086,0.0030587926
-1.91505,-1.66086,0.0027801155
-1.84895,-1.66086,0.002514685
-1.78285,-1.66086,0.0022580784
-1.71675,-1.66086,0.0020832862
-1.65066,-1.66086,0.0019680271
-1.58456,-1.66086,0.0018635112
-1.51846,-1.66086,0.0018121331
-1.45237,-1.66086,0.001798183
-1.38627,-1.66086,0.0018002136
-1.32017,-1.66086,0.0017745037
-1.25408,-1.66086,0.0017256113
-1.18798,-1.66086,0.0016624546
-1.12188,-1.66086,0.0015231934
-1.05578,-1.66086,0.0013606702
-0.98969,-1.66086,0.001192964
-0.92359,-1.66086,0.00095872534
-0.85749,-1.66086,0.0007695012
-0.79140,-1.66086,0.00061794394
-0.72530,-1.66086,0.0004833432
-0.65920,-1.66086,0.00037833338
-0.59310,-1.66086,0.0003179489
-0.52701,-1.66086,0.00028093759
-0.46091,-1.66086,0.00026029081
-0.39481,-1.66086,0.00025105083
-0.32872,-1.66086,0.00023193714
-0.26262,-1.66086,0.00020837312
-0.19652,-1.66086,0.00018141279
-0.13042,-1.66086,0.00014897177
-0.06433,-1.66086,0.00011783045
0.00177,-1.66086,8.9704823e-05
0.06787,-1.66086,6.8471272e-05
0.13396,-1.66086,5.1928961e-05
0.20006,-1.66086,3.8556638e-05
0.26616,-1.66086,2.6388698e-05
0.33226,-1.66086,1.5246404e-05
0.39835,-1.66086,6.3007392e-06
0.46445,-1.66086,-1.8732462e-06
0.53055,-1.66086,-1.0495467e-05
0.59664,-1.66086,-1.9500614e-05
0.66274,-1.66086,-3.1675911e-05
0.72884,-1.66086,-4.6970614e-05
0.79493,-1.66086,-6.4569729e-05
0.86103,-1.66086,-8.7453343e-05
0.92713,-1.66086,-0.0001145837
0.99323,-1.66086,-0.00014457828
1.05932,-1.66086,-0.0001814384
1.12542,-1.66086,-0.00022060462
1.19152,-1.66086,-0.00026263981
1.25761,-1.66086,-0.0003057241
1.32371,-1.66086,-0.00034099029
1.38981,-1.66086,-0.00037723366
1.45591,-1.66086,-0.00040207154
1.52200,-1.66086,-0.0004177104
1.58810,-1.66086,-0.00042967976
1.65420,-1.66086,-0.00042875251
1.72029,-1.66086,-0.00042562358
1.78639,-1.66086,-0.00041499548
1.85249,-1.66086,-0.00040231907
1.91859,-1.66086,-0.00039389552
1.98468,-1.66086,-0.00037917888
2.05078,-1.66086,-0.00036665457
2.11688,-1.66086,-0.00035814135
2.18297,-1.66086,-0.0003493946
2.24907,-1.66086,-0.00033530858
2.31517,-1.66086,-0.00031950412
2.38127,-1.66086,-0.00030188393
2.44736,-1.66086,-0.00027514336
2.51346,-1.66086,-0.00024529593
2.57956,-1.66086,-0.0002136757
2.64565,-1.66086,-0.00017936344
2.71175,-1.66086,-0.00014532117
2.77785,-1.66086,-0.00011155105
2.84394,-1.66086,-7.8336758e-05
2.91004,-1.66086,-4.9973376e-05
2.97614,-1.66086,-2.2718221e-05
3.04224,-1.66086,4.8243678e-06
3.10833,-1.66086,2.6352538e-05
3.17443,-1.66086,4.5382629e-05
3.24053,-1.66086,6.2561543e-05
3.30662,-1.66086,7.4854972e-05
3.37272,-1.66086,8.0774545e-05
3.43882,-1.66086,8.1164922e-05
3.50492,-1.66086,7.6904056e-05
3.57101,-1.66086,6.4527747e-05
3.63711,-1.66086,3.9513354e-05
3.70321,-1.66086,4.799349e-06
3.76930,-1.66086,-3.7737609e-05
3.83540,-1.66086,-0.00010978668
3.90150,-1.66086,-0.00020063364
-3.96406,-1.61672,-0.00059288467
-3.89796,-1.61672,-0.00062439544
-3.83186,-1.61672,-0.00063218939
-3.76577,-1.61672,-0.00062727823
-3.69967,-1.61672,-0.00060879835
-3.63357,-1.61672,-0.00054281636
-3.56747,-1.61672,-0.00042473996
-3.50138,-1.61672,-0.00026706525
-3.43528,-1.61672,-5.5645825e-05
-3.36918,-1.61672,0.00023336278
-3.30309,-1.61672,0.00057727587
-3.23699,-1.61672,0.0010177151
-3.17089,-1.61672,0.0015319379
-3.10479,-1.61672,0.0021211228
-3.03870,-1.61672,0.0027318625
-2.97260,-1.61672,0.0033697952
-2.90650,-1.61672,0.0039893296
-2.84041,-1.61672,0.0045155231
-2.77431,-1.61672,0.0050332723
-2.70821,-1.61672,0.0054444545
-2.64211,-1.61672,0.0057698293
-2.57602,-1.61672,0.0060174814
-2.50992,-1.61672,0.0061138468
-2.44382,-1.61672,0.0059715183
-2.37773,-1.61672,0.0057712449
-2.31163,-1.61672,0.0055141952
-2.24553,-1.61672,0.0051144524
-2.17943,-1.61672,0.0047030123
-2.11334,-1.61672,0.0042862054
-2.04724,-1.61672,0.0038687731
-1.98114,-1.61672,0.0034439336
-1.91505,-1.61672,0.003039439
