system	state	pair_role	atom1_index	atom2_index	distance_A	energy_eV_rel_EF	spin	pCOHP_raw	minus_pCOHP	source_file
pristine	*O	Coact-Oads	21	347	1.743233	-15.03759	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-15.03759	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-15.03759	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-15.03759	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-15.03759	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-15.03759	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.98747	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.98747	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.98747	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.98747	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.98747	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.98747	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.93734	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.93734	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.93734	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.93734	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.93734	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.93734	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.88722	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.88722	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.88722	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.88722	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.88722	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.88722	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.83709	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.83709	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.83709	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.83709	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.83709	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.83709	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.78697	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.78697	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.78697	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.78697	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.78697	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.78697	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.73684	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.73684	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.73684	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.73684	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.73684	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.73684	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.68672	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.68672	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.68672	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.68672	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.68672	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.68672	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.63659	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.63659	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.63659	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.63659	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.63659	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.63659	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.58647	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.58647	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.58647	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.58647	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.58647	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.58647	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.53634	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.53634	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.53634	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.53634	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.53634	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.53634	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.48622	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.48622	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
