state	constraint_scope	direction	undoped_eV	Al16_eV	Al_minus_undoped_eV	status
OH	Co-only	N-1	4.913867	4.889379	-0.024488	valid
OH	Co-only	N+1	4.397178	4.454942	+0.057764	valid
O	Co-only	N-1	5.255931	5.146837	-0.109094	valid
O	Co-only	N+1	4.822150	4.141331	-0.680819	valid
OOH	Co-only	N-1	5.269218	5.080396	-0.188822	valid
OOH	Co-only	N+1	4.315024	4.165019	-0.150005	valid
OH	Co+adsorbate	N-1	3.102077	3.385023	+0.282946	valid
OH	Co+adsorbate	N+1	3.216547	3.771411	+0.554864	valid
O	Co+adsorbate	N-1	3.311917	3.389370	+0.077453	valid
O	Co+adsorbate	N+1	3.657029	3.389767	-0.267262	valid
OOH	Co+adsorbate	N-1	3.240959	2.873528	-0.367431	valid
OOH	Co+adsorbate	N+1	2.590033	2.697286	+0.107253	valid
O	Co-only-spin	M-2	0.869876	NA	NA	Al16_rejected_spin_branch_discontinuity
O	Co-only-spin	M+2	2.899188	4.036604	+1.137416	valid
