material	atom	orbital	population	spin	OH_e	O_e	delta_e
Undoped	Co	3d_xy	Mulliken	up	0.9900	0.9600	-0.0300
Undoped	Co	3d_xy	Mulliken	down	0.3800	0.4300	0.0500
Undoped	Co	3d_xy	Loewdin	up	0.9900	0.9600	-0.0300
Undoped	Co	3d_xy	Loewdin	down	0.3800	0.4300	0.0500
Undoped	Co	3d_yz	Mulliken	up	0.9500	0.9800	0.0300
Undoped	Co	3d_yz	Mulliken	down	0.3000	0.3400	0.0400
Undoped	Co	3d_yz	Loewdin	up	0.9500	0.9800	0.0300
Undoped	Co	3d_yz	Loewdin	down	0.3100	0.3500	0.0400
Undoped	Co	3d_z^2	Mulliken	up	1.0000	1.0000	0.0000
Undoped	Co	3d_z^2	Mulliken	down	0.6700	0.5400	-0.1300
Undoped	Co	3d_z^2	Loewdin	up	1.0000	1.0000	0.0000
Undoped	Co	3d_z^2	Loewdin	down	0.6700	0.5400	-0.1300
Undoped	Co	3d_xz	Mulliken	up	0.9700	0.9500	-0.0200
Undoped	Co	3d_xz	Mulliken	down	0.3600	0.4400	0.0800
Undoped	Co	3d_xz	Loewdin	up	0.9700	0.9500	-0.0200
Undoped	Co	3d_xz	Loewdin	down	0.3600	0.4500	0.0900
Undoped	Co	3d_x^2-y^2	Mulliken	up	0.9800	0.9900	0.0100
Undoped	Co	3d_x^2-y^2	Mulliken	down	0.2900	0.3400	0.0500
Undoped	Co	3d_x^2-y^2	Loewdin	up	0.9800	0.9900	0.0100
Undoped	Co	3d_x^2-y^2	Loewdin	down	0.2900	0.3400	0.0500
Undoped	Oads	2p_y	Mulliken	up	0.9400	0.9600	0.0200
Undoped	Oads	2p_y	Mulliken	down	0.8300	0.4200	-0.4100
Undoped	Oads	2p_y	Loewdin	up	0.9300	0.9600	0.0300
Undoped	Oads	2p_y	Loewdin	down	0.8200	0.4200	-0.4000
Undoped	Oads	2p_z	Mulliken	up	0.8400	0.9300	0.0900
Undoped	Oads	2p_z	Mulliken	down	0.7700	0.7700	0.0000
Undoped	Oads	2p_z	Loewdin	up	0.8400	0.9300	0.0900
Undoped	Oads	2p_z	Loewdin	down	0.7600	0.7700	0.0100
Undoped	Oads	2p_x	Mulliken	up	0.8500	0.9000	0.0500
Undoped	Oads	2p_x	Mulliken	down	0.8200	0.5700	-0.2500
Undoped	Oads	2p_x	Loewdin	up	0.8500	0.9000	0.0500
Undoped	Oads	2p_x	Loewdin	down	0.8200	0.5700	-0.2500
Al16	Co	3d_xy	Mulliken	up	1.0000	1.0000	0.0000
Al16	Co	3d_xy	Mulliken	down	0.3400	0.4200	0.0800
Al16	Co	3d_xy	Loewdin	up	1.0000	1.0000	0.0000
Al16	Co	3d_xy	Loewdin	down	0.3400	0.4200	0.0800
Al16	Co	3d_yz	Mulliken	up	1.0000	1.0000	0.0000
Al16	Co	3d_yz	Mulliken	down	0.2900	0.3200	0.0300
Al16	Co	3d_yz	Loewdin	up	1.0000	1.0000	0.0000
Al16	Co	3d_yz	Loewdin	down	0.2900	0.3200	0.0300
Al16	Co	3d_z^2	Mulliken	up	1.0000	1.0000	0.0000
Al16	Co	3d_z^2	Mulliken	down	0.6900	0.5000	-0.1900
Al16	Co	3d_z^2	Loewdin	up	1.0000	1.0000	0.0000
Al16	Co	3d_z^2	Loewdin	down	0.6900	0.5000	-0.1900
Al16	Co	3d_xz	Mulliken	up	1.0000	1.0000	0.0000
Al16	Co	3d_xz	Mulliken	down	0.3200	0.4200	0.1000
Al16	Co	3d_xz	Loewdin	up	1.0000	1.0000	0.0000
Al16	Co	3d_xz	Loewdin	down	0.3300	0.4300	0.1000
Al16	Co	3d_x^2-y^2	Mulliken	up	1.0000	1.0000	0.0000
Al16	Co	3d_x^2-y^2	Mulliken	down	0.2900	0.3100	0.0200
Al16	Co	3d_x^2-y^2	Loewdin	up	1.0000	1.0000	0.0000
Al16	Co	3d_x^2-y^2	Loewdin	down	0.2900	0.3100	0.0200
Al16	Oads	2p_y	Mulliken	up	0.9400	0.9900	0.0500
Al16	Oads	2p_y	Mulliken	down	0.8200	0.3600	-0.4600
Al16	Oads	2p_y	Loewdin	up	0.9300	0.9900	0.0600
Al16	Oads	2p_y	Loewdin	down	0.8100	0.3600	-0.4500
Al16	Oads	2p_z	Mulliken	up	0.8500	1.0000	0.1500
Al16	Oads	2p_z	Mulliken	down	0.7600	0.7400	-0.0200
Al16	Oads	2p_z	Loewdin	up	0.8400	0.9900	0.1500
Al16	Oads	2p_z	Loewdin	down	0.7600	0.7400	-0.0200
Al16	Oads	2p_x	Mulliken	up	0.9700	0.9900	0.0200
Al16	Oads	2p_x	Mulliken	down	0.7500	0.5500	-0.2000
Al16	Oads	2p_x	Loewdin	up	0.9700	0.9900	0.0200
Al16	Oads	2p_x	Loewdin	down	0.7500	0.5500	-0.2000
