system	state	role	atom	element	orbital_group	scheme	spin_up_e	spin_down_e	total_e	spin_moment_e	status
pristine_OH	*OH	Coact	21	Co	3d	Mulliken	4.89000000	2.00000000	6.89000000	2.89000000	available_global_basis
pristine_OH	*OH	Coact	21	Co	4s	Mulliken	0.16000000	0.15000000	0.31000000	0.01000000	available_global_basis
pristine_OH	*OH	Coact	21	Co	4p	Mulliken					not_in_recommended_basis
pristine_OH	*OH	Coact	21	Co	3d	Loewdin	4.89000000	2.01000000	6.90000000	2.88000000	available_global_basis
pristine_OH	*OH	Coact	21	Co	4s	Loewdin	0.23000000	0.22000000	0.45000000	0.01000000	available_global_basis
pristine_OH	*OH	Coact	21	Co	4p	Loewdin					not_in_recommended_basis
pristine_OH	*OH	Oads	348	O	2s	Mulliken	0.95000000	0.94000000	1.89000000	0.01000000	available_global_basis
pristine_OH	*OH	Oads	348	O	2p	Mulliken	2.63000000	2.42000000	5.05000000	0.21000000	available_global_basis
pristine_OH	*OH	Oads	348	O	2s	Loewdin	0.89000000	0.88000000	1.77000000	0.01000000	available_global_basis
pristine_OH	*OH	Oads	348	O	2p	Loewdin	2.62000000	2.40000000	5.02000000	0.22000000	available_global_basis
pristine_OH	*OH	Obridge	259	O	2s	Mulliken	0.94000000	0.93000000	1.87000000	0.01000000	available_global_basis
pristine_OH	*OH	Obridge	259	O	2p	Mulliken	2.68000000	2.55000000	5.23000000	0.13000000	available_global_basis
pristine_OH	*OH	Obridge	259	O	2s	Loewdin	0.87000000	0.86000000	1.73000000	0.01000000	available_global_basis
pristine_OH	*OH	Obridge	259	O	2p	Loewdin	2.68000000	2.55000000	5.23000000	0.13000000	available_global_basis
pristine_OH	*OH	neighbor	23	Co	3d	Mulliken	4.98000000	2.25000000	7.23000000	2.73000000	available_global_basis
pristine_OH	*OH	neighbor	23	Co	4s	Mulliken	0.20000000	0.18000000	0.38000000	0.02000000	available_global_basis
pristine_OH	*OH	neighbor	23	Co	4p	Mulliken					not_in_recommended_basis
pristine_OH	*OH	neighbor	23	Co	3d	Loewdin	4.98000000	2.26000000	7.24000000	2.72000000	available_global_basis
pristine_OH	*OH	neighbor	23	Co	4s	Loewdin	0.24000000	0.23000000	0.47000000	0.01000000	available_global_basis
pristine_OH	*OH	neighbor	23	Co	4p	Loewdin					not_in_recommended_basis
pristine_O	*O	Coact	21	Co	3d	Mulliken	4.88000000	2.09000000	6.97000000	2.79000000	available_global_basis
pristine_O	*O	Coact	21	Co	4s	Mulliken	0.14000000	0.14000000	0.28000000	0.00000000	available_global_basis
pristine_O	*O	Coact	21	Co	4p	Mulliken					not_in_recommended_basis
pristine_O	*O	Coact	21	Co	3d	Loewdin	4.88000000	2.11000000	6.99000000	2.77000000	available_global_basis
pristine_O	*O	Coact	21	Co	4s	Loewdin	0.22000000	0.22000000	0.44000000	0.00000000	available_global_basis
pristine_O	*O	Coact	21	Co	4p	Loewdin					not_in_recommended_basis
pristine_O	*O	Oads	347	O	2s	Mulliken	0.98000000	0.97000000	1.95000000	0.01000000	available_global_basis
pristine_O	*O	Oads	347	O	2p	Mulliken	2.79000000	1.76000000	4.55000000	1.03000000	available_global_basis
pristine_O	*O	Oads	347	O	2s	Loewdin	0.97000000	0.96000000	1.93000000	0.01000000	available_global_basis
pristine_O	*O	Oads	347	O	2p	Loewdin	2.79000000	1.76000000	4.55000000	1.03000000	available_global_basis
pristine_O	*O	Obridge	258	O	2s	Mulliken	0.94000000	0.93000000	1.87000000	0.01000000	available_global_basis
pristine_O	*O	Obridge	258	O	2p	Mulliken	2.64000000	2.58000000	5.22000000	0.06000000	available_global_basis
pristine_O	*O	Obridge	258	O	2s	Loewdin	0.87000000	0.86000000	1.73000000	0.01000000	available_global_basis
pristine_O	*O	Obridge	258	O	2p	Loewdin	2.63000000	2.57000000	5.20000000	0.06000000	available_global_basis
pristine_O	*O	neighbor	23	Co	3d	Mulliken	4.97000000	2.26000000	7.23000000	2.71000000	available_global_basis
pristine_O	*O	neighbor	23	Co	4s	Mulliken	0.20000000	0.18000000	0.38000000	0.02000000	available_global_basis
pristine_O	*O	neighbor	23	Co	4p	Mulliken					not_in_recommended_basis
pristine_O	*O	neighbor	23	Co	3d	Loewdin	4.97000000	2.26000000	7.23000000	2.71000000	available_global_basis
pristine_O	*O	neighbor	23	Co	4s	Loewdin	0.24000000	0.23000000	0.47000000	0.01000000	available_global_basis
pristine_O	*O	neighbor	23	Co	4p	Loewdin					not_in_recommended_basis
Al16_OH	*OH	Coact	16	Co	3d	Mulliken	5.00000000	1.93000000	6.93000000	3.07000000	available_global_basis
Al16_OH	*OH	Coact	16	Co	4s	Mulliken	0.15000000	0.14000000	0.29000000	0.01000000	available_global_basis
Al16_OH	*OH	Coact	16	Co	4p	Mulliken					not_in_recommended_basis
Al16_OH	*OH	Coact	16	Co	3d	Loewdin	5.00000000	1.94000000	6.94000000	3.06000000	available_global_basis
Al16_OH	*OH	Coact	16	Co	4s	Loewdin	0.22000000	0.21000000	0.43000000	0.01000000	available_global_basis
Al16_OH	*OH	Coact	16	Co	4p	Loewdin					not_in_recommended_basis
Al16_OH	*OH	Oads	348	O	2s	Mulliken	0.95000000	0.93000000	1.88000000	0.02000000	available_global_basis
Al16_OH	*OH	Oads	348	O	2p	Mulliken	2.76000000	2.33000000	5.09000000	0.43000000	available_global_basis
Al16_OH	*OH	Oads	348	O	2s	Loewdin	0.89000000	0.87000000	1.76000000	0.02000000	available_global_basis
Al16_OH	*OH	Oads	348	O	2p	Loewdin	2.74000000	2.32000000	5.06000000	0.42000000	available_global_basis
Al16_OH	*OH	Obridge	259	O	2s	Mulliken	0.93000000	0.92000000	1.85000000	0.01000000	available_global_basis
Al16_OH	*OH	Obridge	259	O	2p	Mulliken	2.64000000	2.55000000	5.19000000	0.09000000	available_global_basis
Al16_OH	*OH	Obridge	259	O	2s	Loewdin	0.85000000	0.84000000	1.69000000	0.01000000	available_global_basis
Al16_OH	*OH	Obridge	259	O	2p	Loewdin	2.62000000	2.55000000	5.17000000	0.07000000	available_global_basis
Al16_OH	*OH	neighbor	51	Al	3s	Mulliken	0.33000000	0.33000000	0.66000000	0.00000000	available_global_basis
Al16_OH	*OH	neighbor	51	Al	3p	Mulliken	0.48000000	0.45000000	0.93000000	0.03000000	available_global_basis
Al16_OH	*OH	neighbor	51	Al	3d	Mulliken					not_in_recommended_basis
Al16_OH	*OH	neighbor	51	Al	3s	Loewdin	0.34000000	0.34000000	0.68000000	0.00000000	available_global_basis
Al16_OH	*OH	neighbor	51	Al	3p	Loewdin	0.65000000	0.64000000	1.29000000	0.01000000	available_global_basis
Al16_OH	*OH	neighbor	51	Al	3d	Loewdin					not_in_recommended_basis
Al16_O	*O	Coact	16	Co	3d	Mulliken	5.00000000	1.97000000	6.97000000	3.03000000	available_global_basis
Al16_O	*O	Coact	16	Co	4s	Mulliken	0.14000000	0.14000000	0.28000000	0.00000000	available_global_basis
Al16_O	*O	Coact	16	Co	4p	Mulliken					not_in_recommended_basis
Al16_O	*O	Coact	16	Co	3d	Loewdin	5.00000000	1.98000000	6.98000000	3.02000000	available_global_basis
Al16_O	*O	Coact	16	Co	4s	Loewdin	0.21000000	0.21000000	0.42000000	0.00000000	available_global_basis
Al16_O	*O	Coact	16	Co	4p	Loewdin					not_in_recommended_basis
Al16_O	*O	Oads	347	O	2s	Mulliken	0.98000000	0.97000000	1.95000000	0.01000000	available_global_basis
Al16_O	*O	Oads	347	O	2p	Mulliken	2.98000000	1.65000000	4.63000000	1.33000000	available_global_basis
Al16_O	*O	Oads	347	O	2s	Loewdin	0.97000000	0.95000000	1.92000000	0.02000000	available_global_basis
Al16_O	*O	Oads	347	O	2p	Loewdin	2.97000000	1.65000000	4.62000000	1.32000000	available_global_basis
Al16_O	*O	Obridge	258	O	2s	Mulliken	0.93000000	0.92000000	1.85000000	0.01000000	available_global_basis
Al16_O	*O	Obridge	258	O	2p	Mulliken	2.64000000	2.56000000	5.20000000	0.08000000	available_global_basis
Al16_O	*O	Obridge	258	O	2s	Loewdin	0.85000000	0.84000000	1.69000000	0.01000000	available_global_basis
Al16_O	*O	Obridge	258	O	2p	Loewdin	2.62000000	2.56000000	5.18000000	0.06000000	available_global_basis
