system	state	spin	E_EF_eV	minusCOHP	minusICOHP
pristine_OH	*OH	up	-15.03759000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.98747000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.93734000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.88722000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.83709000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.78697000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.73684000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.68672000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.63659000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.58647000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.53634000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.48622000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.43609000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.38596000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.33584000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.28571000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.23559000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.18546000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.13534000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.08521000	-0.00000000	3.01129000
pristine_OH	*OH	up	-14.03509000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.98496000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.93484000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.88471000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.83459000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.78446000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.73434000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.68421000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.63409000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.58396000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.53383000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.48371000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.43358000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.38346000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.33333000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.28321000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.23308000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.18296000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.13283000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.08271000	-0.00000000	3.01129000
pristine_OH	*OH	up	-13.03258000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.98246000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.93233000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.88221000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.83208000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.78195000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.73183000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.68170000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.63158000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.58145000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.53133000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.48120000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.43108000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.38095000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.33083000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.28070000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.23058000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.18045000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.13033000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.08020000	-0.00000000	3.01129000
pristine_OH	*OH	up	-12.03008000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.97995000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.92982000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.87970000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.82957000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.77945000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.72932000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.67920000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.62907000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.57895000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.52882000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.47870000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.42857000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.37845000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.32832000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.27820000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.22807000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.17794000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.12782000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.07769000	-0.00000000	3.01129000
pristine_OH	*OH	up	-11.02757000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.97744000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.92732000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.87719000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.82707000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.77694000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.72682000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.67669000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.62657000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.57644000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.52632000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.47619000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.42607000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.37594000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.32581000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.27569000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.22556000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.17544000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.12531000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.07519000	-0.00000000	3.01129000
pristine_OH	*OH	up	-10.02506000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.97494000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.92481000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.87469000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.82456000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.77444000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.72431000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.67419000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.62406000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.57393000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.52381000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.47368000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.42356000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.37343000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.32331000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.27318000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.22306000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.17293000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.12281000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.07268000	-0.00000000	3.01129000
pristine_OH	*OH	up	-9.02256000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.97243000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.92231000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.87218000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.82206000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.77193000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.72180000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.67168000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.62155000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.57143000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.52130000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.47118000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.42105000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.37093000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.32080000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.27068000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.22055000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.17043000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.12030000	0.00000000	3.01129000
pristine_OH	*OH	up	-8.07018000	0.00000000	3.01129000
pristine_OH	*OH	up	-8.02005000	0.00001000	3.01129000
pristine_OH	*OH	up	-7.96992000	0.00029000	3.01130000
pristine_OH	*OH	up	-7.91980000	0.00167000	3.01139000
pristine_OH	*OH	up	-7.86967000	0.00268000	3.01152000
pristine_OH	*OH	up	-7.81955000	0.00328000	3.01169000
pristine_OH	*OH	up	-7.76942000	0.00662000	3.01202000
pristine_OH	*OH	up	-7.71930000	0.05095000	3.01457000
pristine_OH	*OH	up	-7.66917000	0.47268000	3.03827000
pristine_OH	*OH	up	-7.61905000	1.25897000	3.10137000
pristine_OH	*OH	up	-7.56892000	0.85466000	3.14421000
pristine_OH	*OH	up	-7.51880000	0.23593000	3.15604000
pristine_OH	*OH	up	-7.46867000	0.16676000	3.16440000
pristine_OH	*OH	up	-7.41855000	0.26416000	3.17764000
pristine_OH	*OH	up	-7.36842000	0.33280000	3.19432000
