system	state	feature_id	E_peak_EF	spin	axial_minusCOHP_signed	equatorial_minusCOHP_signed	axial_abs_COHP	equatorial_abs_COHP	axial_fraction	Oads_weight	Obridge_weight	spectator_weight	Co_weight	occupation_evidence	assignment	confidence
pristine_OH	*OH	UF1	-0.09663345	up	-1.66573000	-1.51487000	1.66573000	1.51487000	0.52371565	0.34199030	0.07486495	0.44650048	0.17043562	occupied	mixed axial/equatorial antibonding	low
pristine_OH	*OH	UF2	-0.72963345	up	-0.14938000	-0.57138000	0.24062000	0.57138000	0.29633005	0.07046516	0.04540258	0.24439032	0.02360358	occupied	e_perp* majority candidate	high
pristine_OH	*OH	UF3	-1.36163345	up	-0.08226000	-0.14008000	0.09548000	0.14008000	0.40533197	0.01373275	0.06363597	0.24680563	0.01389025	occupied	e_perp* majority candidate	medium
pristine_OH	*OH	UF4	-1.88963345	up	-0.28540000	-0.38437000	0.28540000	0.38437000	0.42611643	0.10338837	0.03426385	0.32552378	0.03972066	occupied	mixed axial/equatorial antibonding	low
pristine_O	*O	UF1	0.03177505	up	-5.66572000	-2.06559000	5.66572000	2.06559000	0.73282794	0.13998996	0.05614661	0.23528836	0.20424170	frontier/unoccupied on sampled grid	e_parallel* majority candidate	high
pristine_O	*O	UF2	-0.71022495	up	-0.20165000	-0.41257000	0.22749000	0.41257000	0.35541980	0.12476685	0.03639703	0.24944457	0.03417167	occupied	e_perp* majority candidate	medium
pristine_O	*O	UF3	-1.34522495	up	-0.06882000	-0.18989000	0.06882000	0.18989000	0.26601214	0.14406460	0.05277157	0.36496966	0.01598088	occupied	e_perp* majority candidate	high
Al16_OH	*OH	UF1	-0.55015882	up	-0.55100000	-1.06804000	0.55100000	1.06804000	0.34032513	0.36081265	0.01790509	0.50572904	0.19845996	occupied	e_perp* majority candidate	medium
Al16_OH	*OH	UF2	-1.43315882	up	-0.14940000	-0.35925000	0.14940000	0.35925000	0.29371867	0.02397120	0.02398900	0.38275047	0.02919022	occupied	e_perp* majority candidate	high
Al16_OH	*OH	UF3	-1.76415882	up	-0.08280000	-0.10537000	0.08280000	0.15595000	0.34680628	0.03039338	0.04984333	0.31521540	0.01306945	occupied	mixed axial/equatorial antibonding	low
Al16_O	*O	UF1	-0.44082564	up	-2.57278000	-0.91715000	2.57278000	0.91715000	0.73720103	0.18690009	0.01905490	0.28487747	0.23694386	occupied	e_parallel* majority candidate	high
Al16_O	*O	UF2	-1.10482564	up	-0.45819000	-0.03266000	0.45819000	0.08646000	0.84125585	0.26241518	0.00893169	0.23308516	0.01038563	occupied	e_parallel* majority candidate	high
Al16_O	*O	UF3	-1.87882564	up	-0.08342000	-0.06656000	0.08342000	0.10184000	0.45028608	0.02047981	0.05687792	0.24248401	0.00817036	occupied	mixed axial/equatorial antibonding	low
