system	spin	rank	E_EF_eV	Coact_3d	Coact_4s	Coact_4p	Oads_2p	Obridge_2p	Osp4_2p	parent_assignment	confidence
pristine_OH	down	1	1.59136700	5.75480000	0.00019540	0.01859900	0.16873400	0.07769000	0.46113800	empty eg-like or mixed d state	medium
pristine_OH	down	2	2.01236700	1.97204000	0.00015840	0.01865900	0.54284000	0.10084700	0.24334739	empty eg-like or mixed d state	medium
pristine_O	down	1	1.62077500	5.83180000	0.00027830	0.02893700	0.65580000	0.05113444	0.16592200	empty eg-like or mixed d state	medium
pristine_O	down	2	2.04477500	1.80165000	0.00432700	0.05637100	0.69209000	0.10684000	0.36797760	empty eg-like or mixed d state	medium
pristine_O	down	3	0.34977500	0.15637680	0.00000259	0.00062710	1.41726000	0.00042780	1.06279030	ligand-p / mixed framework state	low
Al16_OH	down	1	1.65584100	5.65000000	0.00069760	0.02109800	0.18140100	0.04223800	0.43129600	empty eg-like or mixed d state	medium
Al16_OH	down	2	2.09684100	2.20852000	0.00045790	0.02949600	0.50462000	0.05048200	0.19624940	empty eg-like or mixed d state	medium
Al16_O	down	1	1.99117400	4.99070000	0.00075960	0.02941200	0.56200000	0.02431200	0.09367604	empty eg-like or mixed d state	medium
Al16_O	down	2	0.55417400	0.20765900	0.00005019	0.00012427	1.47673600	0.00070978	0.88920543	ligand-p / mixed framework state	low
Al16_O	down	3	2.54417400	1.54590000	0.00682600	0.07377700	0.54956000	0.02992600	0.26841500	empty eg-like or mixed d state	medium
