system	state	feature_id	spin	E_peak_EF	centroid_EF	Oads2p_weight	Coact3d_weight	Obridge2p_weight	neighbor_weight	Oads2p_fraction	Coact3d_fraction	Obridge2p_fraction	neighbor_fraction	Coact-Oads_minusCOHP_mean	Coact-Oads_minusCOHP_integral	Coact-Oads_sign_consistency	Coact-Obridge_minusCOHP_mean	Coact-Obridge_minusCOHP_integral	Coact-Obridge_sign_consistency	neighbor-Obridge_minusCOHP_mean	neighbor-Obridge_minusCOHP_integral	neighbor-Obridge_sign_consistency	bonding_class	dominant_character	peak_prominence	relative_prominence	confidence	detection_source	energy_spacing_eV
pristine_OH	*OH	UF1	up	-0.09663345	-0.08836334	0.34199030	0.17043562	0.07486495	0.07940597	0.51296223	0.25564186	0.11229235	0.11910356	-1.20193200	-0.24703453	1.00000000	-0.43123800	-0.08625341	1.00000000	-0.20193200	-0.04142615	1.00000000	strongly antibonding	O-rich weakly antibonding frontier	1.41853463	0.95370196	high	Oads	0.10500000
pristine_OH	*OH	UF2	up	-0.72963345	-0.72714585	0.07046516	0.02360358	0.04540258	0.09417959	0.30158307	0.10102071	0.19431800	0.40307822	-0.15535500	-0.02531786	1.00000000	0.02930250	0.00495761	1.00000000	-0.25596750	-0.03956834	1.00000000	strongly antibonding	extended Co-O-Co magnetic mixed state	0.18097696	0.41609054	high	neighbor	0.10500000
pristine_OH	*OH	UF3	up	-1.36163345	-1.36501483	0.01373275	0.01389025	0.06363597	0.07888097	0.08071442	0.08164017	0.37402133	0.46362408	-0.00087200	0.00016024	0.40000000	-0.07074400	-0.01473551	1.00000000	-0.14607800	-0.02634878	1.00000000	strongly antibonding	extended Co-O-Co magnetic mixed state	0.11188085	0.34003502	high	Obridge	0.10500000
pristine_OH	*OH	UF4	up	-1.88963345	-1.89034568	0.10338837	0.03972066	0.03426385	0.07065949	0.41683417	0.16014305	0.13814266	0.28488011	-0.22121400	-0.04393147	1.00000000	-0.05697800	-0.01199060	1.00000000	-0.07842200	-0.01621693	1.00000000	strongly antibonding	mixed local frontier state	0.12141478	0.08162896	low	Oads	0.10500000
pristine_OH	*OH	DF1	down	-0.09663345	-0.08538889	0.29397955	0.00068114	0.00293093	-0.00104696	0.99135000	0.00229694	0.00988360	-0.00353054	-0.00140200	-0.00034486	1.00000000	-0.00530400	-0.00130651	1.00000000	-0.00420000	-0.00103358	1.00000000	approximately nonbonding	O-rich nonbonding frontier	1.23267371	1.00472132	high	Oads	0.10500000
pristine_OH	*OH	DF2	down	-0.94063345	-0.94078371	0.09023229	0.03897065	0.05732689	0.58550186	0.11687640	0.05047805	0.07425458	0.75839097	0.15668600	0.03254317	1.00000000	-0.23817800	-0.05054476	1.00000000	-0.12633200	-0.02624671	1.00000000	strongly antibonding	extended Co-O-Co magnetic mixed state	2.56704010	0.96032905	high	neighbor	0.10500000
pristine_O	*O	UF1	up	0.03177505	0.03527915	0.13998996	0.20424170	0.05614661	0.03643151	0.32048266	0.46757584	0.12853790	0.08340361	-2.45381200	-0.56451167	1.00000000	-0.79346000	-0.18304280	1.00000000	-0.10018600	-0.02254081	1.00000000	strongly antibonding	Co-O strongly antibonding mixed state	0.87498489	0.97091171	high	Coact	0.10600000
pristine_O	*O	UF2	up	-0.71022495	-0.71103985	0.12476685	0.03417167	0.03639703	0.08861007	0.43940404	0.12034583	0.12818310	0.31206703	-0.18591400	-0.03904564	1.00000000	0.00989200	0.00216656	0.60000000	-0.20621600	-0.04015488	1.00000000	strongly antibonding	O-rich weakly antibonding frontier	0.06413000	0.09741529	low	Oads	0.10600000
pristine_O	*O	UF3	up	-1.34522495	-1.34944161	0.14406460	0.01598088	0.05277157	0.09371831	0.46997710	0.05213388	0.17215492	0.30573409	-0.06280400	-0.01144430	1.00000000	-0.02019800	-0.00430349	1.00000000	-0.20203000	-0.03704128	1.00000000	weakly antibonding	O-rich weakly antibonding frontier	0.59174324	0.89887472	high	Oads	0.10600000
pristine_O	*O	DF1	down	0.34977505	0.36595437	0.25367099	0.02790910	0.00010879	0.00008421	0.90026692	0.09904814	0.00038608	0.00029885	0.67857000	0.16616391	1.00000000	0.00674400	0.00165137	1.00000000	-0.00070400	-0.00017243	1.00000000	bonding	O-rich Co-O mixed frontier	0.15913107	0.14834891	moderate	Oads	0.10600000
