system	file	local_mirror	remote_source	size_bytes	sha256	access
pristine_OH	DOSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\undoped_OH\DOSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/undoped_control/OH/DOSCAR	23925201	f1180d16af4faea6bc719c2967ff71f98a982fff668493c1809a6a237e3d9875	read_only
pristine_OH	POSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\undoped_OH\POSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/undoped_control/OH/POSCAR	38594	164a4ba0e8a646d45d7fa3a02b01a9b70738f4cf6cb9920d88f675a046d7fd5a	read_only
pristine_OH	COHPCAR.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\undoped_OH\COHPCAR.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/OH_pair_corrected_nomadelung/COHPCAR.lobster	100614	e92dd7749d593b3052d1cd22cbbba645150e5e266af02829197abb38cef24c85	read_only
pristine_OH	ICOHPLIST.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\undoped_OH\ICOHPLIST.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/OH_pair_corrected_nomadelung/ICOHPLIST.lobster	608	954d043224f4ca1f512630004128609b6b12181547655e36cb4cb97049831eca	read_only
pristine_OH	lobsterout	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\undoped_OH\lobsterout	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/OH_pair_corrected_nomadelung/lobsterout	2891	e070f473658a486ceef1508451f605aaff9c9cd225c2092cf2d30e02b4cdcd61	read_only
pristine_O	DOSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\undoped_O\DOSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/undoped_control/O/DOSCAR	23856503	932accf4d869323360eebc882eb6a6cccf5d4450dd0baadc41f1c1d79b44429d	read_only
pristine_O	POSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\undoped_O\POSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/undoped_control/O/POSCAR	38484	785ad59d7baf2faa8ddff8bac75c4150e1965ead7a361c09feb4c5f80775b093	read_only
pristine_O	COHPCAR.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\undoped_O\COHPCAR.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/COHPCAR.lobster	100614	45aa8c5bdd7ead1063a68b95c118bdc0b8f3a17622cf8f91f5a0b8abfb816df4	read_only
pristine_O	ICOHPLIST.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\undoped_O\ICOHPLIST.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/ICOHPLIST.lobster	608	44966c9bdc7f604829303c0c9cacb25a0e0dc5be436222281360aa5e0f7c0cbf	read_only
pristine_O	lobsterout	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\undoped_O\lobsterout	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/lobsterout	2503	0e47dd019c48abf5956293916b8668fe408d2bae4af4cb04cfe9cb984a8ee275	read_only
