system	state	feature_id	spin	E_peak_EF	atomic_H	atomic_Osp4	atomic_Oads	atomic_Coact	atomic_Obridge	atomic_neighbor	bond_H_Oads	bond_Oads_Coact	bond_Coact_Osp4	bond_Coact_Obridge	bond_Obridge_neighbor	qualitative_span	normalization_note
pristine_OH	*OH	UF1	up	-0.09663345	0.00011243	0.40105224	0.30717991	0.15308738	0.06724462	0.07132342	0.03778686	0.35435623	0.42887678	0.11723072	0.06174940	bond-local	atomic PDOS and bond COHP normalized separately; never added together
pristine_OH	*OH	UF2	up	-0.72963345	0.00324162	0.50957550	0.14692611	0.04921556	0.09466841	0.19637280	0.04423250	0.16846361	0.49362430	0.03941185	0.25426774	framework extended	atomic PDOS and bond COHP normalized separately; never added together
pristine_OH	*OH	UF3	up	-1.36163345	0.00235716	0.59054200	0.03285892	0.03323577	0.15226440	0.18874174	0.07810912	0.01919336	0.40674816	0.25805047	0.23789889	framework extended	atomic PDOS and bond COHP normalized separately; never added together
pristine_OH	*OH	UF4	up	-1.88963345	0.00106581	0.56694856	0.18006638	0.06917950	0.05967564	0.12306412	0.03909727	0.26566642	0.48058265	0.09117279	0.12348087	bond-local	atomic PDOS and bond COHP normalized separately; never added together
pristine_OH	*OH	DF1	down	-0.09663345	0.00011570	0.38596395	0.60646879	0.00140517	0.00604640	0.00000000	0.11894896	0.03668519	0.59545225	0.13906013	0.10985346	bond-local	atomic PDOS and bond COHP normalized separately; never added together
pristine_OH	*OH	DF2	down	-0.94063345	0.00411387	0.26950834	0.08489643	0.03666613	0.05393688	0.55087836	0.05559167	0.16338848	0.34916307	0.27527049	0.15658629	framework extended	atomic PDOS and bond COHP normalized separately; never added together
pristine_O	*O	UF1	up	0.03177505	0.00000000	0.35008036	0.20828797	0.30388672	0.08353930	0.05420564	0.00000000	0.54044638	0.26140687	0.17656818	0.02157857	axial extended	atomic PDOS and bond COHP normalized separately; never added together
pristine_O	*O	UF2	up	-0.71022495	0.00000000	0.46765871	0.23391291	0.06406505	0.06823716	0.16612617	0.00000000	0.26744693	0.51424049	0.01610390	0.20220868	three-center	atomic PDOS and bond COHP normalized separately; never added together
pristine_O	*O	UF3	up	-1.34522495	0.00000000	0.54350995	0.21453987	0.02379860	0.07858701	0.13956457	0.00000000	0.11750466	0.52836751	0.07398648	0.28014135	framework extended	atomic PDOS and bond COHP normalized separately; never added together
pristine_O	*O	DF1	down	0.34977505	0.00000000	0.40336687	0.53712907	0.05909540	0.00023035	0.00017831	0.00000000	0.52396001	0.47028921	0.00520623	0.00054455	bond-local	atomic PDOS and bond COHP normalized separately; never added together
