system	parent_orbital	DFT_feature	energy_EF_eV	columns_spanned	bonding_antibonding	spin	formal_occupancy	OH_to_O_correlation	confidence	bookkeeping_note
pristine_OH	mixed axial/equatorial antibonding	UF1	-0.09663345	bond-local	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	low	one periodic feature may span multiple columns and is counted once
pristine_OH	e_perp* majority candidate	UF2	-0.72963345	framework extended	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	high	one periodic feature may span multiple columns and is counted once
pristine_OH	e_perp* majority candidate	UF3	-1.36163345	framework extended	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	medium	one periodic feature may span multiple columns and is counted once
pristine_OH	mixed axial/equatorial antibonding	UF4	-1.88963345	bond-local	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	low	one periodic feature may span multiple columns and is counted once
pristine_OH	ligand-field / dpi-like mixed parent	DF1	-0.09663345	bond-local	approximately nonbonding	down	occupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
pristine_OH	ligand-field / dpi-like mixed parent	DF2	-0.94063345	framework extended	strongly antibonding	down	occupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
pristine_O	e_parallel* majority candidate	UF1	0.03177505	axial extended	strongly antibonding	up	frontier/unoccupied-like	see state_correlation_OH_to_O.tsv	high	one periodic feature may span multiple columns and is counted once
pristine_O	e_perp* majority candidate	UF2	-0.71022495	three-center	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	medium	one periodic feature may span multiple columns and is counted once
pristine_O	e_perp* majority candidate	UF3	-1.34522495	framework extended	weakly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	high	one periodic feature may span multiple columns and is counted once
pristine_O	ligand-field / dpi-like mixed parent	DF1	0.34977505	bond-local	bonding	down	frontier/unoccupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
pristine_O	ligand-field / dpi-like mixed parent	DF2	0.03177505	bond-local	bonding	down	frontier/unoccupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
pristine_O	ligand-field / dpi-like mixed parent	DF3	-1.02722495	framework extended	strongly antibonding	down	occupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
pristine_O	ligand-field / dpi-like mixed parent	DF4	-1.76922495	axial extended	bonding	down	occupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
Al16_OH	e_perp* majority candidate	UF1	-0.55015882	bond-local	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	medium	one periodic feature may span multiple columns and is counted once
Al16_OH	e_perp* majority candidate	UF2	-1.43315882	bond-local	weakly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	high	one periodic feature may span multiple columns and is counted once
Al16_OH	mixed axial/equatorial antibonding	UF3	-1.76415882	bond-local	weakly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	low	one periodic feature may span multiple columns and is counted once
Al16_OH	ligand-field / dpi-like mixed parent	DF1	0.00084118	axial extended	weakly antibonding	down	frontier/unoccupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
Al16_OH	ligand-field / dpi-like mixed parent	DF2	-1.21215882	axial extended	bonding	down	occupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
Al16_O	e_parallel* majority candidate	UF1	-0.44082564	bond-local	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	high	one periodic feature may span multiple columns and is counted once
Al16_O	e_parallel* majority candidate	UF2	-1.10482564	axial extended	strongly antibonding	up	occupied-like	see state_correlation_OH_to_O.tsv	high	one periodic feature may span multiple columns and is counted once
Al16_O	mixed axial/equatorial antibonding	UF3	-1.87882564	bond-local	approximately nonbonding	up	occupied-like	see state_correlation_OH_to_O.tsv	low	one periodic feature may span multiple columns and is counted once
Al16_O	ligand-field / dpi-like mixed parent	DF1	0.00117436	bond-local	bonding	down	frontier/unoccupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
Al16_O	ligand-field / dpi-like mixed parent	DF2	-1.87882564	bond-local	bonding	down	occupied-like	see state_correlation_OH_to_O.tsv	medium spatial / low local-symmetry	one periodic feature may span multiple columns and is counted once
