system	file	size_bytes	sha256	role
pristine_OH	COHPCAR.lobster	2916140	bfa99af580ab7556eb5e5fccb50577d614e274aaead9068d0a4561baa219990e	read-only local mirror of completed source
pristine_OH	ICOHPLIST.lobster	16141	9accb556ddeb5fac64bf18d2bbd7e7e3d6a3de9f4c7bc3b701627dae31e1d1db	read-only local mirror of completed source
pristine_OH	DOSCAR.lobster	10111682	e6d765084813871d5040c7b26a66c7706fc24330d5cc90aa98320913223e14cf	read-only local mirror of completed source
pristine_OH	GROSSPOP.lobster	130875	5e938bf13fb9a9be977c17828311eb1f6f8a7b244a0d332ad96a625dda97df47	read-only local mirror of completed source
pristine_OH	lobsterin	468	35dac69f27fc840e86fc5aed4076c2680f73ba2fadcac58c9bbab325ad66777c	read-only local mirror of completed source
pristine_OH	lobsterout	2891	48c5def1f4eaf0736fc0aea9608bb03f1f863a613391b6e3cc4d91cc79eb361a	read-only local mirror of completed source
pristine_OH	POSCAR	38594	164a4ba0e8a646d45d7fa3a02b01a9b70738f4cf6cb9920d88f675a046d7fd5a	read-only local mirror of completed source
pristine_O	COHPCAR.lobster	2835717	f621c56869de782935f9060a880548251143f094bf781854b9ca032f52790202	read-only local mirror of completed source
pristine_O	ICOHPLIST.lobster	15706	72d9b452306ce8f210b40cd19470acc77b9c6a6f67607bf059f98e5e9523a46c	read-only local mirror of completed source
pristine_O	DOSCAR.lobster	10099566	01a82790f2a8d07ddcecb99b6000985e2465b3f88efd95eb371cda426f1b4d2f	read-only local mirror of completed source
pristine_O	GROSSPOP.lobster	130691	f5493771ca5cc88aee0ffbd030ddd0dec628447335ff18ad56bde794026a1f0e	read-only local mirror of completed source
pristine_O	lobsterin	426	f5b940511403b14c81a9198ccf5f396c70d8dd5ee5fe4de6904995d741ba859b	read-only local mirror of completed source
pristine_O	lobsterout	2504	475f870eba4f4fa65c6c4a12059fd2d4aba2a9ff97f964eb83fbdc4becf4c1fe	read-only local mirror of completed source
pristine_O	POSCAR	38484	785ad59d7baf2faa8ddff8bac75c4150e1965ead7a361c09feb4c5f80775b093	read-only local mirror of completed source
Al16_OH	COHPCAR.lobster	2787396	3ebad7d37eda97474883fc53c392cfddf3410111e89634ce4ef12697cc395ef1	read-only local mirror of completed source
Al16_OH	ICOHPLIST.lobster	15401	080005079ac08af0708a663e075e172f098898e263db80257ed7d5fdea2dd776	read-only local mirror of completed source
Al16_OH	DOSCAR.lobster	9951072	9902708881093e43497782d263808042411ae40d02833b9454b883fa210049a3	read-only local mirror of completed source
Al16_OH	GROSSPOP.lobster	129055	06243cd45887a9c594d1122671a0147351009197828312d92adcc47d03747d89	read-only local mirror of completed source
Al16_OH	lobsterin	468	469905fd2c9766843fb5f49bf0c09c07f4f8a762a41f744d809b92df954fcba1	read-only local mirror of completed source
Al16_OH	lobsterout	2555	8f68ed5f724217e7aebebbec31607a44458fd658b5c6f3ac5b0ae889727f1a4e	read-only local mirror of completed source
Al16_OH	POSCAR	38605	260ae59983e1700179dba19b4a89ebdbfeb0302853816ebca48f700d8131a1ed	read-only local mirror of completed source
Al16_O	COHPCAR.lobster	2706973	109464b284be0c8276b10ef03e8b5b9f11b50854a4784f56c77368cb76dc928f	read-only local mirror of completed source
Al16_O	ICOHPLIST.lobster	14966	5f8f760ca6c452fff902fdace39bdf515ab30ea6d0faf8eeeb747457e3775167	read-only local mirror of completed source
Al16_O	DOSCAR.lobster	9938956	b0af4f40efe0dc2c30ef24150d0a2e89b1ebb8c1ce70e5195efb5af6a4302374	read-only local mirror of completed source
Al16_O	GROSSPOP.lobster	128871	2e75f8adc578b5c4f53c76e3235f6c296707fd83bc03c5df1ac075b92ba600ed	read-only local mirror of completed source
Al16_O	lobsterin	426	3ed20a34ddff359b072839b6765d777bf0b4fa66543e903f4748cfa48b8dd9e6	read-only local mirror of completed source
Al16_O	lobsterout	2554	d99827d7ce419ff4105f023069692aad543ec29df1915cc0007c4aeeb1293eb3	read-only local mirror of completed source
Al16_O	POSCAR	38495	b4f723aca55176908925267e4e7500123e5efcde7cbd7a3147acc1ec94cf27e5	read-only local mirror of completed source
