material	atom	orbital	spin	OH_occupied_weight	O_occupied_weight	delta_occupied_weight	OH_center_eV	O_center_eV	delta_center_eV
Undoped	Co	dxy	up	0.96780933	0.92881149	-0.03899784	-6.03984939	-5.81042574	0.22942365
Undoped	Co	dxy	down	0.37779115	0.42040378	0.04261263	-3.35334313	-3.43295470	-0.07961157
Undoped	Co	dyz	up	0.89450005	0.95690545	0.06240540	-5.89906479	-5.55846635	0.34059844
Undoped	Co	dyz	down	0.31126081	0.34706740	0.03580659	-3.50513054	-3.54482777	-0.03969723
Undoped	Co	dz2	up	0.97441373	0.97733270	0.00291897	-5.32192624	-5.47052564	-0.14859941
Undoped	Co	dz2	down	0.65342798	0.52600541	-0.12742257	-3.01415091	-2.95204765	0.06210326
Undoped	Co	dxz	up	0.92969715	0.90129673	-0.02840042	-6.00464639	-5.82110288	0.18354351
Undoped	Co	dxz	down	0.35615008	0.42917927	0.07302920	-3.45863820	-3.68959785	-0.23095965
Undoped	Co	dx2-y2	up	0.95637269	0.96646725	0.01009456	-6.13741576	-5.89941779	0.23799796
Undoped	Co	dx2-y2	down	0.28542062	0.33330993	0.04788931	-3.26985217	-3.35204840	-0.08219624
Undoped	Oads	py	up	0.57553100	0.68240654	0.10687554	-2.37810091	-2.90526051	-0.52715961
Undoped	Oads	py	down	0.48614116	0.25032041	-0.23582076	-2.57603941	-3.01931978	-0.44328037
Undoped	Oads	pz	up	0.56005711	0.62720068	0.06714358	-3.92373249	-2.49060544	1.43312706
Undoped	Oads	pz	down	0.48591047	0.42189184	-0.06401863	-4.21035390	-2.49993821	1.71041569
Undoped	Oads	px	up	0.38958954	0.60629751	0.21670797	-2.54815805	-3.06907576	-0.52091771
Undoped	Oads	px	down	0.42911352	0.34652398	-0.08258955	-2.36685232	-3.27510042	-0.90824810
Al16	Co	dxy	up	0.88794242	0.94638917	0.05844675	-5.69772737	-5.35127825	0.34644912
Al16	Co	dxy	down	0.33713611	0.41460243	0.07746632	-3.31760259	-3.16526859	0.15233400
Al16	Co	dyz	up	0.97057938	0.96693138	-0.00364800	-5.30546154	-5.14634830	0.15911324
Al16	Co	dyz	down	0.29794614	0.32398131	0.02603517	-3.41079703	-3.41196800	-0.00117097
Al16	Co	dz2	up	0.95021108	0.94387198	-0.00633910	-5.21760807	-5.31647455	-0.09886648
Al16	Co	dz2	down	0.66325099	0.47426747	-0.18898351	-2.87017563	-2.72467307	0.14550255
Al16	Co	dxz	up	0.91915213	0.91416206	-0.00499007	-5.57360610	-5.14246414	0.43114196
Al16	Co	dxz	down	0.32135221	0.40746694	0.08611473	-3.45386299	-3.40472719	0.04913580
Al16	Co	dx2-y2	up	0.97937687	0.98785997	0.00848310	-5.98313974	-5.64114452	0.34199522
Al16	Co	dx2-y2	down	0.28267448	0.30357939	0.02090491	-3.25578582	-3.21274569	0.04304013
Al16	Oads	py	up	0.61772671	0.70804359	0.09031688	-2.49765121	-2.75723989	-0.25958868
Al16	Oads	py	down	0.47362789	0.20504271	-0.26858518	-2.78422387	-2.94094307	-0.15671920
Al16	Oads	pz	up	0.57231851	0.69146074	0.11914222	-3.94051486	-2.23920916	1.70130570
Al16	Oads	pz	down	0.47424618	0.35322260	-0.12102358	-4.45164462	-2.34492083	2.10672380
Al16	Oads	px	up	0.66791990	0.69677994	0.02886004	-1.82733095	-2.55155102	-0.72422006
Al16	Oads	px	down	0.36250098	0.30908815	-0.05341283	-2.63782322	-2.96408837	-0.32626514
