task	case	image	segment	H_acceptor_A	energy_Ha	relative_eV
0	al16	0	initial	3.492257	-7694.902970154271	0.000000
1	al16	1	rotated	1.580988	-7694.843029858364	1.631059
2	al16	2	transfer_0.20	1.461222	-7694.835184399635	1.844544
3	al16	3	transfer_0.40	1.341457	-7694.820952844932	2.231805
4	al16	4	transfer_0.60	1.221691	-7694.807033826959	2.610560
5	al16	5	transfer_0.80	1.101925	-7694.794698424759	2.946224
6	al16	6	transfer_1.00	0.982160	-7694.779406462454	3.362339
7	undoped	0	initial	1.813332	-8840.257179948905	0.000000
8	undoped	1	rotated	1.725284	-8840.250167631946	0.190815
9	undoped	2	transfer_0.20	1.580267	-8840.242486281400	0.399835
10	undoped	3	transfer_0.40	1.435250	-8840.230143585635	0.735697
11	undoped	4	transfer_0.60	1.290233	-8840.224377119781	0.892610
12	undoped	5	transfer_0.80	1.145216	-8840.228169133354	0.789425
13	undoped	6	transfer_1.00	1.000198	-8840.231139065732	0.708609
