system	state	pair_role	atom1_index	atom2_index	distance_A	ICOHP_spin_up_eV	ICOHP_spin_down_eV	ICOHP_total_eV	minus_ICOHP_total_eV	source_file	validation_status
Al16	*OH	Coact-Obridge	16	259	2.069958	-0.46155	-0.75311	-1.21466	1.21466	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/ICOHPLIST.lobster	validated
Al16	*OH	neighbor-Obridge	51	259	2.112332	-1.78694	-1.80194	-3.58888	3.58888	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/ICOHPLIST.lobster	validated
Al16	*OH	Coact-Oads	16	348	1.875883	-0.45504	-1.47507	-1.93011	1.93011	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/ICOHPLIST.lobster	validated
pristine	*O	Coact-Obridge	21	258	2.069958	-0.61525	-0.81379	-1.42904	1.42904	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/ICOHPLIST.lobster	validated
pristine	*O	neighbor-Obridge	23	258	2.112332	-0.44612	-0.72457	-1.17069	1.17069	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/ICOHPLIST.lobster	validated
pristine	*O	Coact-Oads	21	347	1.743233	-1.05645	-2.33612	-3.39257	3.39257	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/O_nomadelung/ICOHPLIST.lobster	validated
Al16	*O	Coact-Obridge	16	258	2.069958	-0.45384	-0.72600	-1.17984	1.17984	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/O_nomadelung/ICOHPLIST.lobster	validated
Al16	*O	neighbor-Obridge	51	258	2.112332	-1.79013	-1.80602	-3.59615	3.59615	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/O_nomadelung/ICOHPLIST.lobster	validated
Al16	*O	Coact-Oads	16	347	1.743233	-0.66391	-2.37854	-3.04245	3.04245	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/O_nomadelung/ICOHPLIST.lobster	validated
pristine	*OH	Coact-Obridge	21	259	2.069958	-0.50467	-0.85410	-1.35877	1.35877	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/OH_pair_corrected_nomadelung/ICOHPLIST.lobster	validated
pristine	*OH	neighbor-Obridge	23	259	2.112332	-0.43606	-0.73025	-1.16631	1.16631	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/OH_pair_corrected_nomadelung/ICOHPLIST.lobster	validated
pristine	*OH	Coact-Oads	21	348	1.875883	-0.49618	-1.43149	-1.92767	1.92767	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/undoped_control/OH_pair_corrected_nomadelung/ICOHPLIST.lobster	validated

