pair_role,energy_eV_rel_EF,minus_pCOHP_total,system,state
Coact-Oads,-5.96491,0.02175,pristine,*OH
Coact-Oads,-5.91479,0.021830000000000002,pristine,*OH
Coact-Oads,-5.86466,0.03381,pristine,*OH
Coact-Oads,-5.81454,0.017259999999999998,pristine,*OH
Coact-Oads,-5.76441,0.00753,pristine,*OH
Coact-Oads,-5.71429,0.034910000000000004,pristine,*OH
Coact-Oads,-5.66416,0.07137,pristine,*OH
Coact-Oads,-5.61404,0.20582,pristine,*OH
Coact-Oads,-5.56391,0.6697900000000001,pristine,*OH
Coact-Oads,-5.51378,0.82305,pristine,*OH
Coact-Oads,-5.46366,0.96659,pristine,*OH
Coact-Oads,-5.41353,1.12245,pristine,*OH
Coact-Oads,-5.36341,0.6016699999999999,pristine,*OH
Coact-Oads,-5.31328,0.25043000000000004,pristine,*OH
Coact-Oads,-5.26316,0.2329,pristine,*OH
Coact-Oads,-5.21303,0.19515000000000002,pristine,*OH
Coact-Oads,-5.16291,0.10429000000000001,pristine,*OH
Coact-Oads,-5.11278,0.12243000000000001,pristine,*OH
Coact-Oads,-5.06266,0.14981999999999998,pristine,*OH
Coact-Oads,-5.01253,0.13323,pristine,*OH
Coact-Oads,-4.96241,0.13951,pristine,*OH
Coact-Oads,-4.91228,0.10505,pristine,*OH
Coact-Oads,-4.86216,0.0336,pristine,*OH
Coact-Oads,-4.81203,0.012360000000000001,pristine,*OH
Coact-Oads,-4.7619,0.032499999999999994,pristine,*OH
Coact-Oads,-4.71178,0.07249,pristine,*OH
Coact-Oads,-4.66165,0.14489,pristine,*OH
Coact-Oads,-4.61153,0.19344,pristine,*OH
Coact-Oads,-4.5614,0.17101,pristine,*OH
Coact-Oads,-4.51128,0.14662999999999998,pristine,*OH
Coact-Oads,-4.46115,0.1518,pristine,*OH
Coact-Oads,-4.41103,0.09878,pristine,*OH
Coact-Oads,-4.3609,0.0594,pristine,*OH
Coact-Oads,-4.31078,0.013050000000000003,pristine,*OH
Coact-Oads,-4.26065,-0.00119,pristine,*OH
Coact-Oads,-4.21053,0.02917,pristine,*OH
Coact-Oads,-4.1604,0.05446,pristine,*OH
Coact-Oads,-4.11028,0.06846,pristine,*OH
Coact-Oads,-4.06015,0.11460000000000001,pristine,*OH
Coact-Oads,-4.01003,0.13132,pristine,*OH
Coact-Oads,-3.9599,0.08928,pristine,*OH
Coact-Oads,-3.90977,0.04368,pristine,*OH
Coact-Oads,-3.85965,0.054079999999999996,pristine,*OH
Coact-Oads,-3.80952,0.06795000000000001,pristine,*OH
Coact-Oads,-3.7594,0.052680000000000005,pristine,*OH
Coact-Oads,-3.70927,0.01363,pristine,*OH
Coact-Oads,-3.65915,0.019790000000000002,pristine,*OH
Coact-Oads,-3.60902,0.05748,pristine,*OH
Coact-Oads,-3.5589,0.08607999999999999,pristine,*OH
Coact-Oads,-3.50877,0.08929000000000001,pristine,*OH
Coact-Oads,-3.45865,0.06854,pristine,*OH
Coact-Oads,-3.40852,0.045040000000000004,pristine,*OH
