system,state,site_role,orbital,spin,rank_by_height,peak_energy_eV_rel_EF,peak_PDOS,method
pristine,*OH,Coact,dxy,up,1,-0.09663,0.1713,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dxy,down,1,-1.99463,0.2455,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dxy,down,2,-0.94063,0.1097,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dyz,up,1,0.00937,0.491,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dyz,up,2,-0.72963,0.04913,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dyz,up,3,-1.88963,0.04839,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dyz,down,1,-2.20563,0.1264,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dz2,up,1,-2.31163,0.04253,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dz2,down,1,-1.99463,0.5572,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dxz,up,1,0.00937,0.309,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dxz,up,2,-1.67863,0.07377,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dxz,up,3,-1.15063,0.03232,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dxz,down,1,-1.99463,0.08462,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dx2-y2,up,1,0.00937,0.1766,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dx2-y2,up,2,-1.99463,0.08435,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Coact,dx2-y2,down,1,-1.99463,0.1113,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,px,up,1,0.00937,1.333,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,px,up,2,-1.88963,0.2256,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,px,down,1,-0.09663,0.9908,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,px,down,2,-0.94063,0.1082,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,py,up,1,-0.20163,0.5504,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,py,up,2,-0.72963,0.2943,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,py,up,3,-1.88963,0.1225,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,py,down,1,-0.09663,0.4019,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,py,down,2,-0.94063,0.359,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,py,down,3,-1.67863,0.1129,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,pz,up,1,-0.20163,0.3272,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,pz,up,2,-1.78363,0.2,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,pz,up,3,-0.72963,0.04936,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,pz,down,1,-0.09663,0.2954,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,pz,down,2,-1.99463,0.1477,discrete local-maximum candidate; no peak-shape fit
pristine,*OH,Oads,pz,down,3,-1.67863,0.09133,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxy,up,1,0.03178,0.2633,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxy,down,1,-2.08722,0.1983,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxy,down,2,0.34978,0.04329,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dyz,up,1,-0.18022,0.3462,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dyz,up,2,-0.81522,0.08727,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dyz,down,1,-2.08722,0.1184,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dz2,down,1,-1.87522,0.5375,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxz,up,1,0.03178,0.4024,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxz,up,2,-0.81522,0.05641,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxz,down,1,0.03178,0.0713,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxz,down,2,-1.87522,0.06001,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dxz,down,3,-2.29922,0.05089,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dx2-y2,up,1,-0.07422,0.1371,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dx2-y2,down,1,-1.98122,0.133,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Coact,dx2-y2,down,2,0.34978,0.09409,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,px,up,1,0.03178,0.3739,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,px,up,2,-0.71022,0.2435,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,px,up,3,-1.34522,0.2151,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,px,down,1,0.34978,0.4342,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,px,down,2,0.03178,0.3026,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,py,up,1,-1.34522,0.3248,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,py,up,2,-0.60422,0.1561,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,py,up,3,0.03178,0.1334,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,py,down,1,0.34978,1.02,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,py,down,2,-0.07422,0.1718,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,pz,up,1,-0.92122,0.2668,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,pz,up,2,-1.55722,0.2608,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,pz,up,3,0.13778,0.2593,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,pz,down,1,0.03178,0.8292,discrete local-maximum candidate; no peak-shape fit
pristine,*O,Oads,pz,down,2,-1.76922,0.2259,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dxy,up,1,-0.55016,0.1595,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dxy,down,1,-1.98416,0.2911,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dxy,down,2,-1.21216,0.2477,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dyz,up,1,-0.44016,0.6356,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dyz,up,2,-2.20516,0.05306,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dyz,down,1,-2.20516,0.2244,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dyz,down,2,-1.21216,0.03526,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dz2,down,1,-1.98416,0.9538,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dxz,up,1,-0.44016,0.283,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dxz,up,2,-1.43316,0.1122,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dxz,down,1,-1.98416,0.05065,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dx2-y2,up,1,-0.44016,0.219,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dx2-y2,up,2,-2.20516,0.1161,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Coact,dx2-y2,down,1,-2.09516,0.1969,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,px,up,1,-0.44016,1.386,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,px,up,2,-2.20516,0.2561,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,px,down,1,0.00084,0.9524,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,px,down,2,-2.09516,0.1282,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,px,down,3,-1.21216,0.1146,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,py,up,1,-0.66116,0.7874,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,py,up,2,-2.20516,0.142,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,py,down,1,-1.21216,0.5544,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,py,down,2,0.00084,0.371,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,py,down,3,-1.76416,0.1251,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,pz,up,1,-0.66116,0.3671,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,pz,up,2,-2.20516,0.2103,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,pz,up,3,-1.87416,0.08173,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,pz,down,1,0.00084,0.2846,discrete local-maximum candidate; no peak-shape fit
Al16,*OH,Oads,pz,down,2,-2.20516,0.1608,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dxy,up,1,-0.33083,0.2214,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dxy,down,1,-1.98883,0.5988,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dxy,down,2,0.55417,0.0689,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dyz,up,1,-0.55183,0.4537,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dyz,down,1,-1.98883,0.1332,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dyz,down,2,0.00117,0.03479,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dz2,down,1,-1.87883,0.6683,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dxz,up,1,-0.44083,0.3667,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dxz,down,1,-1.87883,0.1308,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dxz,down,2,0.00117,0.1207,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dx2-y2,up,1,-0.44083,0.167,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dx2-y2,down,1,-1.98883,0.3148,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Coact,dx2-y2,down,2,0.55417,0.1163,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,px,up,1,-0.33083,0.7073,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,px,up,2,-1.32583,0.2585,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,px,up,3,-1.10483,0.2277,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,px,down,1,0.00117,0.4311,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,px,down,2,0.55417,0.3919,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,px,down,3,-2.09983,0.03958,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,py,up,1,-1.32583,0.5538,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,py,up,2,-0.33083,0.2606,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,py,down,1,0.55417,1.087,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,py,down,2,0.00117,0.158,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,py,down,3,-1.87883,0.08878,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,pz,up,1,-0.99383,0.9648,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,pz,up,2,-0.33083,0.2279,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,pz,up,3,-1.87883,0.07782,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,pz,down,1,0.00117,0.9859,discrete local-maximum candidate; no peak-shape fit
Al16,*O,Oads,pz,down,2,-1.87883,0.4718,discrete local-maximum candidate; no peak-shape fit
