material,atom,orbital,population,spin,OH_e,O_e,delta_e
Undoped,Co,3d_xy,Mulliken,up,0.99,0.96,-0.03
Undoped,Co,3d_xy,Mulliken,down,0.38,0.43,0.05
Undoped,Co,3d_xy,Loewdin,up,0.99,0.96,-0.03
Undoped,Co,3d_xy,Loewdin,down,0.38,0.43,0.05
Undoped,Co,3d_yz,Mulliken,up,0.95,0.98,0.03
Undoped,Co,3d_yz,Mulliken,down,0.30,0.34,0.04
Undoped,Co,3d_yz,Loewdin,up,0.95,0.98,0.03
Undoped,Co,3d_yz,Loewdin,down,0.31,0.35,0.04
Undoped,Co,3d_z^2,Mulliken,up,1.00,1.00,0.00
Undoped,Co,3d_z^2,Mulliken,down,0.67,0.54,-0.13
Undoped,Co,3d_z^2,Loewdin,up,1.00,1.00,0.00
Undoped,Co,3d_z^2,Loewdin,down,0.67,0.54,-0.13
Undoped,Co,3d_xz,Mulliken,up,0.97,0.95,-0.02
Undoped,Co,3d_xz,Mulliken,down,0.36,0.44,0.08
Undoped,Co,3d_xz,Loewdin,up,0.97,0.95,-0.02
Undoped,Co,3d_xz,Loewdin,down,0.36,0.45,0.09
Undoped,Co,3d_x^2-y^2,Mulliken,up,0.98,0.99,0.01
Undoped,Co,3d_x^2-y^2,Mulliken,down,0.29,0.34,0.05
Undoped,Co,3d_x^2-y^2,Loewdin,up,0.98,0.99,0.01
Undoped,Co,3d_x^2-y^2,Loewdin,down,0.29,0.34,0.05
Undoped,Oads,2p_y,Mulliken,up,0.94,0.96,0.02
Undoped,Oads,2p_y,Mulliken,down,0.83,0.42,-0.41
Undoped,Oads,2p_y,Loewdin,up,0.93,0.96,0.03
Undoped,Oads,2p_y,Loewdin,down,0.82,0.42,-0.40
Undoped,Oads,2p_z,Mulliken,up,0.84,0.93,0.09
Undoped,Oads,2p_z,Mulliken,down,0.77,0.77,0.00
Undoped,Oads,2p_z,Loewdin,up,0.84,0.93,0.09
Undoped,Oads,2p_z,Loewdin,down,0.76,0.77,0.01
Undoped,Oads,2p_x,Mulliken,up,0.85,0.90,0.05
Undoped,Oads,2p_x,Mulliken,down,0.82,0.57,-0.25
Undoped,Oads,2p_x,Loewdin,up,0.85,0.90,0.05
Undoped,Oads,2p_x,Loewdin,down,0.82,0.57,-0.25
Al16,Co,3d_xy,Mulliken,up,1.00,1.00,0.00
Al16,Co,3d_xy,Mulliken,down,0.34,0.42,0.08
Al16,Co,3d_xy,Loewdin,up,1.00,1.00,0.00
Al16,Co,3d_xy,Loewdin,down,0.34,0.42,0.08
Al16,Co,3d_yz,Mulliken,up,1.00,1.00,0.00
Al16,Co,3d_yz,Mulliken,down,0.29,0.32,0.03
Al16,Co,3d_yz,Loewdin,up,1.00,1.00,0.00
Al16,Co,3d_yz,Loewdin,down,0.29,0.32,0.03
Al16,Co,3d_z^2,Mulliken,up,1.00,1.00,0.00
Al16,Co,3d_z^2,Mulliken,down,0.69,0.50,-0.19
Al16,Co,3d_z^2,Loewdin,up,1.00,1.00,0.00
Al16,Co,3d_z^2,Loewdin,down,0.69,0.50,-0.19
Al16,Co,3d_xz,Mulliken,up,1.00,1.00,0.00
Al16,Co,3d_xz,Mulliken,down,0.32,0.42,0.10
Al16,Co,3d_xz,Loewdin,up,1.00,1.00,0.00
Al16,Co,3d_xz,Loewdin,down,0.33,0.43,0.10
Al16,Co,3d_x^2-y^2,Mulliken,up,1.00,1.00,0.00
Al16,Co,3d_x^2-y^2,Mulliken,down,0.29,0.31,0.02
Al16,Co,3d_x^2-y^2,Loewdin,up,1.00,1.00,0.00
Al16,Co,3d_x^2-y^2,Loewdin,down,0.29,0.31,0.02
Al16,Oads,2p_y,Mulliken,up,0.94,0.99,0.05
Al16,Oads,2p_y,Mulliken,down,0.82,0.36,-0.46
Al16,Oads,2p_y,Loewdin,up,0.93,0.99,0.06
Al16,Oads,2p_y,Loewdin,down,0.81,0.36,-0.45
Al16,Oads,2p_z,Mulliken,up,0.85,1.00,0.15
Al16,Oads,2p_z,Mulliken,down,0.76,0.74,-0.02
Al16,Oads,2p_z,Loewdin,up,0.84,0.99,0.15
Al16,Oads,2p_z,Loewdin,down,0.76,0.74,-0.02
Al16,Oads,2p_x,Mulliken,up,0.97,0.99,0.02
Al16,Oads,2p_x,Mulliken,down,0.75,0.55,-0.20
Al16,Oads,2p_x,Loewdin,up,0.97,0.99,0.02
Al16,Oads,2p_x,Loewdin,down,0.75,0.55,-0.20
