material,atom,population,spin,delta_e
Al16,Co,Loewdin,down,0.04000000000000001
Al16,Co,Loewdin,up,0.0
Al16,Co,Mulliken,down,0.04000000000000001
Al16,Co,Mulliken,up,0.0
Al16,Oads,Loewdin,down,-0.67
Al16,Oads,Loewdin,up,0.22999999999999998
Al16,Oads,Mulliken,down,-0.68
Al16,Oads,Mulliken,up,0.21999999999999997
Undoped,Co,Loewdin,down,0.09999999999999999
Undoped,Co,Loewdin,up,-0.01
Undoped,Co,Mulliken,down,0.09
Undoped,Co,Mulliken,up,-0.01
Undoped,Oads,Loewdin,down,-0.64
Undoped,Oads,Loewdin,up,0.16999999999999998
Undoped,Oads,Mulliken,down,-0.6599999999999999
Undoped,Oads,Mulliken,up,0.16
